Driver	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
COL4A1	R-HSA-9734767	Developmental Cell Lineages	15/249	151/11230	0.0993377483443709	4.48017234500918	6.48318198789784	1.24182520382243e-06	0.000824571935338	0.0007424807534433	COL2A1/CA2/CALML5/SLPI/PDIA2/SPINK5/VTN/PLA2G1B/PRSS1/SPINK1/LGALS7B/CPB1/SERPINA4/KRT14/KLK5	15
COL4A1	R-HSA-1592389	Activation of Matrix Metalloproteinases	7/249	33/11230	0.212121212121212	9.56675185590848	7.42115644217674	6.32111286670239e-06	0.0019369923358693	0.0017441528959635	CTSV/PRSS2/ELANE/CMA1/CTSG/PRSS1/MMP13	7
COL4A1	R-HSA-209968	Thyroxine biosynthesis	5/249	14/11230	0.357142857142857	16.1072862880092	8.51688426156159	8.751471397e-06	0.0019369923358693	0.0017441528959635	DUOX2/DUOXA2/DUOX1/DUOXA1/CGA	5
COL4A1	R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins	5/249	17/11230	0.294117647058824	13.2648240018899	7.6203363146332	2.56130224172434e-05	0.0033034325800234	0.0029745556522722	CPB2/CMA1/CTSG/ACE2/CPB1	5
COL4A1	R-HSA-5683826	Surfactant metabolism	6/249	29/11230	0.206896551724138	9.33111757374325	6.76430423711916	3.46279809497711e-05	0.0033034325800234	0.0029745556522722	SFTPB/SFTPD/SFTPA2/SFTPA1/DMBT1/SFTPC	6
COL4A1	R-HSA-5083625	Defective GALNT3 causes HFTC	5/249	18/11230	0.277777777777778	12.5278893351183	7.37044611455512	3.48253434641027e-05	0.0033034325800234	0.0029745556522722	MUC6/MUC5AC/MUC5B/MUC2/MUC3A	5
COL4A1	R-HSA-5083636	Defective GALNT12 causes CRCS1	5/249	18/11230	0.277777777777778	12.5278893351183	7.37044611455512	3.48253434641027e-05	0.0033034325800234	0.0029745556522722	MUC6/MUC5AC/MUC5B/MUC2/MUC3A	5
COL4A1	R-HSA-5083632	Defective C1GALT1C1 causes TNPS	5/249	19/11230	0.263157894736842	11.8685267385331	7.13961134602482	4.64119934204962e-05	0.0038521954539011	0.0034686858240581	MUC6/MUC5AC/MUC5B/MUC2/MUC3A	5
COL4A1	R-HSA-1474228	Degradation of the extracellular matrix	12/249	138/11230	0.0869565217391304	3.92177405273267	5.20032527768131	5.56820828241448e-05	0.0041081003328035	0.0036991138063291	COL2A1/CAPN6/CTSV/CAPN9/PRSS2/ELANE/CMA1/CTSG/COL25A1/PRSS1/FBN3/MMP13	12
COL4A1	R-HSA-9925561	Developmental Lineage of Pancreatic Acinar Cells	6/249	32/11230	0.1875	8.45632530120482	6.3603186357019	6.24781456457694e-05	0.004148548870879	0.003735535444926	PDIA2/PLA2G1B/PRSS1/SPINK1/CPB1/SERPINA4	6
COL4A1	R-HSA-9820448	Developmental Cell Lineages of the Exocrine Pancreas	9/249	84/11230	0.107142857142857	4.83218588640275	5.30855057705451	9.69006182100079e-05	0.0052126065853613	0.0046936597027349	COL2A1/CA2/PDIA2/VTN/PLA2G1B/PRSS1/SPINK1/CPB1/SERPINA4	9
COL4A1	R-HSA-209776	Metabolism of amine-derived hormones	5/249	22/11230	0.227272727272727	10.2500912741877	6.53947021525348	9.95389117369416e-05	0.0052126065853613	0.0046936597027349	DUOX2/DUOXA2/DUOX1/DUOXA1/CGA	5
