Driver	Status	Passed	Failed
TP53	SKIPPED	10	0
TTN	BUILT	5	0
MUC16	BUILT	5	0
KRAS	BUILT	5	0
RYR2	BUILT	5	0
COL3A1	BUILT	5	0
COL6A3	BUILT	5	0
ZFHX4	BUILT	5	0
ACTB	BUILT	5	0
AHNAK	BUILT	5	0
KEAP1	BUILT	5	0
COL1A2	BUILT	5	0
VCAN	BUILT	5	0
FN1	BUILT	5	0
PLEC	BUILT	5	0
EGFR	BUILT	5	0
FLNA	BUILT	5	0
COL11A1	BUILT	5	0
EEF1A1	BUILT	5	0
ACTG1	BUILT	5	0
COL1A1	BUILT	5	0
SFTPB	BUILT	5	0
B2M	BUILT	5	0
FTL	BUILT	5	0
MXRA5	BUILT	5	0
IGHG1	BUILT	5	0
IGKC	BUILT	5	0
SYNE2	BUILT	5	0
MYH9	BUILT	5	0
DST	BUILT	5	0
EEF2	BUILT	5	0
HUWE1	BUILT	5	0
GNAS	BUILT	5	0
MACF1	BUILT	5	0
PSAP	BUILT	5	0
IGHA1	BUILT	5	0
ADAMTS12	BUILT	5	0
LRP1	BUILT	5	0
SRRM2	BUILT	5	0
ENO1	BUILT	5	0
HSP90AB1	BUILT	5	0
HLA-B	BUILT	5	0
RPL8	BUILT	5	0
A2M	BUILT	5	0
SLC34A2	BUILT	5	0
RPL3	BUILT	5	0
COL5A2	BUILT	5	0
COL4A1	BUILT	5	0
COL4A2	BUILT	5	0
AHNAK2	BUILT	5	0
