pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	7.72700710086042e-44	3.86350355043021e-42	1.72683078321339	0.824277193427973	2.68743069672742	199
HALLMARK_G2M_CHECKPOINT	1.17001240389113e-39	2.92503100972783e-38	1.6407416852705	0.808189660593852	2.63423114139153	198
HALLMARK_MITOTIC_SPINDLE	3.26752506703133e-11	5.44587511171889e-10	0.851339057116899	0.622527119373264	2.02782469877059	197
HALLMARK_MYC_TARGETS_V1	3.20126211954657e-10	4.00157764943321e-09	0.814035837847908	0.596150673238948	1.94365879816989	199
HALLMARK_SPERMATOGENESIS	2.77198264123688e-09	2.77198264123688e-08	0.774939030136436	0.678177156307343	2.07668531525904	104
HALLMARK_P53_PATHWAY	7.93729666196964e-08	6.6144138849747e-07	0.704975715167238	-0.53373569586792	-1.89849445317015	199
HALLMARK_FATTY_ACID_METABOLISM	1.00073196878187e-07	7.14808549129907e-07	0.704975715167238	-0.59248653703045	-2.047166892295	146
HALLMARK_MTORC1_SIGNALING	8.06522067780841e-07	5.04076292363026e-06	0.659444398037935	0.537822175803026	1.75348758422258	199
HALLMARK_ADIPOGENESIS	1.47034999968361e-06	8.16861110935337e-06	0.643551836150722	-0.507666520059056	-1.81110054779148	195
HALLMARK_COAGULATION	4.84859769022933e-06	2.42429884511466e-05	0.610526878385931	-0.560055023151397	-1.92048715397672	127
HALLMARK_XENOBIOTIC_METABOLISM	8.54572553369164e-06	3.88442069713256e-05	0.593325476396405	-0.475278138862497	-1.6914497125549	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.14054624394237e-05	8.91894268309321e-05	0.575610261071129	-0.47215663149513	-1.67945811543178	199
HALLMARK_BILE_ACID_METABOLISM	0.000132037104945071	0.000507835019019504	0.518848077743792	-0.537712367137959	-1.79363363382976	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000200650296652105	0.000716608202328947	0.518848077743792	-0.44520354583939	-1.58225812812917	197
HALLMARK_MYC_TARGETS_V2	0.000767736096010675	0.00255912032003558	0.477270815362862	0.610686575117468	1.72448673230836	57
HALLMARK_IL2_STAT5_SIGNALING	0.000998937022280585	0.00312167819462683	0.45505986738723	-0.416908107835862	-1.48262694309895	196
HALLMARK_DNA_REPAIR	0.00222173302657502	0.00653450890169122	0.431707695803346	0.468267014896155	1.4932119840641	148
HALLMARK_PEROXISOME	0.002692193790362	0.0074783160843389	0.431707695803346	-0.467967438628567	-1.56037921439816	103
HALLMARK_HEME_METABOLISM	0.00667962554904544	0.0175779619711722	0.407017918923954	-0.38315738295255	-1.36071748905962	183
HALLMARK_ANGIOGENESIS	0.00791626408932171	0.0197906602233043	0.380730400722792	-0.637814991379032	-1.73976476676099	34
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0095459181531537	0.0227283765551279	0.380730400722792	-0.372608845231926	-1.32508795774089	196
HALLMARK_GLYCOLYSIS	0.0202908374385244	0.04611553963301	0.352487857583619	0.409706181737947	1.3332751314247	195
HALLMARK_MYOGENESIS	0.027615961858127	0.0600346996915805	0.352487857583619	-0.361404431154127	-1.28136578306228	182
HALLMARK_UV_RESPONSE_DN	0.0332758115312882	0.0693246073568504	0.321775918075361	-0.38120529938586	-1.32462406084287	143
HALLMARK_KRAS_SIGNALING_UP	0.0368221237314304	0.0736442474628609	0.321775918075361	-0.344417391502995	-1.22483227050898	196
HALLMARK_PANCREAS_BETA_CELLS	0.0411755276984276	0.0791837071123608	0.321775918075361	-0.598988699495083	-1.53693488200116	26
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.101960784313725	0.182072829131653	0.282013350011725	-0.336718177415906	-1.19767070458738	200
HALLMARK_UV_RESPONSE_UP	0.101671309192201	0.182072829131653	0.163180127180689	0.382420641730115	1.2174237259542	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.121255349500713	0.209060947415023	0.150169802128406	0.392959689609833	1.21699301361346	112
HALLMARK_HYPOXIA	0.150943396226415	0.251572327044025	0.224966093540314	-0.316997918156085	-1.13215539411435	193
HALLMARK_ALLOGRAFT_REJECTION	0.184387617765814	0.297399383493249	0.114750719227023	0.34740323952874	1.13056528540924	194
