pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	6.15791634188149e-43	3.07895817094075e-41	1.70874828719195	0.824277193427973	2.69140393419894	199
HALLMARK_G2M_CHECKPOINT	5.08650083517625e-38	1.27162520879406e-36	1.60243114923556	0.808189660593852	2.64016792115455	198
HALLMARK_MITOTIC_SPINDLE	2.14270792517399e-11	3.57117987528998e-10	0.863415391606693	0.622527119373264	2.03087688308015	197
HALLMARK_MYC_TARGETS_V1	1.02821239579746e-09	1.28526549474682e-08	0.788186810800237	0.596150673238948	1.94653240453977	199
HALLMARK_SPERMATOGENESIS	3.01204492095232e-09	3.01204492095232e-08	0.774939030136436	0.678177156307343	2.05604823058533	104
HALLMARK_FATTY_ACID_METABOLISM	1.11355253371473e-07	9.27960444762279e-07	0.704975715167238	-0.59248653703045	-2.02459157578122	146
HALLMARK_P53_PATHWAY	3.86625784657361e-07	2.76161274755258e-06	0.674962860011025	-0.53373569586792	-1.91721350449366	199
HALLMARK_MTORC1_SIGNALING	1.99734414393876e-06	1.24834008996173e-05	0.627256739718528	0.537822175803026	1.7560800315679	199
HALLMARK_ADIPOGENESIS	9.12992027746844e-06	5.07217793192691e-05	0.593325476396405	-0.507666520059056	-1.81701775705373	195
HALLMARK_COAGULATION	2.08084949593159e-05	0.000104042474796579	0.575610261071129	-0.560055023151397	-1.87145909091298	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.84450744887233e-05	0.00030586011539618	0.538434096309916	-0.47215663149513	-1.6960174804623	199
HALLMARK_XENOBIOTIC_METABOLISM	7.34064276950831e-05	0.00030586011539618	0.538434096309916	-0.475278138862497	-1.67760586930164	185
HALLMARK_BILE_ACID_METABOLISM	0.000356100741593455	0.00136961823689791	0.49849310876659	-0.537712367137959	-1.74629106189201	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000428717548749595	0.00153113410267712	0.49849310876659	-0.44520354583939	-1.59371449548254	197
HALLMARK_MYC_TARGETS_V2	0.00164826013536783	0.00549420045122611	0.45505986738723	0.610686575117468	1.69124761431243	57
HALLMARK_IL2_STAT5_SIGNALING	0.00308757838123864	0.00964868244137074	0.431707695803346	-0.416908107835862	-1.49322495013822	196
HALLMARK_DNA_REPAIR	0.0045787969281304	0.0134670497886188	0.407017918923954	0.468267014896155	1.48092453834167	148
HALLMARK_PEROXISOME	0.00710350988872091	0.0197319719131136	0.407017918923954	-0.467967438628567	-1.52126414243098	103
HALLMARK_HEME_METABOLISM	0.0139080476751948	0.0366001254610389	0.380730400722792	-0.38315738295255	-1.3463788654982	183
HALLMARK_ANGIOGENESIS	0.0156544090659111	0.0391360226647778	0.352487857583619	-0.637814991379032	-1.74331735368238	34
HALLMARK_GLYCOLYSIS	0.0264849060713548	0.0630593001698923	0.352487857583619	0.409706181737947	1.33347267319299	195
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0281441988206111	0.0639640882286616	0.352487857583619	-0.372608845231926	-1.33455985596124	196
HALLMARK_UV_RESPONSE_DN	0.0439188656503301	0.0954757948920218	0.321775918075361	-0.38120529938586	-1.2970835686888	143
HALLMARK_PANCREAS_BETA_CELLS	0.053920103420344	0.112333548792383	0.321775918075361	-0.598988699495083	-1.57406579723772	26
HALLMARK_MYOGENESIS	0.0583909885351764	0.116781977070353	0.321775918075361	-0.361404431154127	-1.27048776159652	182
HALLMARK_KRAS_SIGNALING_UP	0.067718429851133	0.128769647716013	0.287805130535564	-0.344417391502995	-1.2335875282528	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0695356097666471	0.128769647716013	0.287805130535564	-0.336718177415906	-1.20998201803088	200
HALLMARK_UV_RESPONSE_UP	0.0878378378378378	0.156853281853282	0.173747838999571	0.382420641730115	1.21865258555675	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.123055162659123	0.212164073550212	0.148261500475107	0.392959689609833	1.20506276315333	112
HALLMARK_HYPOXIA	0.171428571428571	0.285714285714286	0.219250346703755	-0.316997918156085	-1.13253667905842	193
HALLMARK_ALLOGRAFT_REJECTION	0.191798941798942	0.309353131933777	0.11101149245045	0.34740323952874	1.13030688392604	194
HALLMARK_NOTCH_SIGNALING	0.230563002680965	0.360254691689008	0.149207542435322	-0.418177338636133	-1.14710507032662	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.272596843615495	0.413025520629538	0.0943563635421779	0.360999285324619	1.09346823131763	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.318248175182482	0.468012022327179	0.0865399737444125	0.35736897581661	1.07288927537181	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.34185303514377	0.488361478776814	0.132147260608774	-0.328071955864522	-1.05039079987529	85
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.382089552238806	0.530679933665008	0.119348440591015	-0.326831389081015	-1.02886052771822	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.406044678055191	0.544464609800363	0.0683110858318647	0.314033993161155	1.02587612205646	198
HALLMARK_KRAS_SIGNALING_DN	0.413793103448276	0.544464609800363	0.0678338263479455	0.317588317538461	1.01630409105617	166
HALLMARK_PROTEIN_SECRETION	0.437956204379562	0.561482313307131	0.0697792517076235	0.339809132911956	1.01810873758797	96
HALLMARK_COMPLEMENT	0.461538461538462	0.576923076923077	0.127505315300183	-0.273886733369288	-0.980283391340335	195
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.475920679886686	0.580391073032543	0.101713902282311	-0.336305861927332	-0.980365430880594	48
HALLMARK_APICAL_SURFACE	0.556748466257669	0.635946622185154	0.0605092988656667	0.353328413946304	0.940903349463633	43
HALLMARK_INFLAMMATORY_RESPONSE	0.54356846473029	0.635946622185154	0.11776578836269	-0.264442182646561	-0.946635182130611	197
