Pathway	LeadingEdge
HALLMARK_E2F_TARGETS	TRIP13;KIF2C;BARD1;CDCA8;DCLRE1B;STMN1;GINS4;GINS1;DONSON;TCF19;PSMC3IP;MCM6;BRCA1;CENPE;CDKN2A;KPNA2;DEPDC1;MYBL2;NUP205;NASP;TOP2A;SPC24;MMS22L;PRIM2;CHEK1;CCNE1;ASF1B;HELLS;KIF18B;RFC2;SPAG5;CSE1L;ORC6;MCM7;MCM2;TACC3;EZH2;MCM4;BRCA2;CCNB2;TUBG1;PLK4;DLGAP5;GINS3;RAD51AP1;USP1;KIF22;DSCC1;MELK;SPC25;CDKN3;RAD51C;TUBB;CDC20;KIF4A;UBE2T;POLA2;MSH2;MAD2L1;BUB1B;EED;BIRC5;CDK1;TK1;MCM3;ZW10;HMGB2;RANBP1;ATAD2;DIAPH3;DEK;CDC25A;AURKB;PLK1;E2F8;SMC6;RPA3;ESPL1;CENPM;HMMR;MKI67;CKS1B;RRM2;SUV39H1;MCM5;XPO1;DNMT1;PRKDC;CHEK2;TIMELESS;POLD3;CDCA3;POP7;SMC4;PAICS;LMNB1;RACGAP1;H2AZ1;CDKN2C;CNOT9;RFC3;HMGA1;POLE;PCNA;H2AX;TIPIN;AURKA;RAD1;LIG1;CTPS1;ANP32E;TFRC;MRE11;UBE2S;SSRP1;NCAPD2;LYAR;TBRG4;CKS2;SLBP;UNG;PRPS1;TMPO;NUP153;TRA2B
HALLMARK_G2M_CHECKPOINT	CDC7;KIF2C;TTK;BARD1;STIL;MTF2;RAD54L;RBL1;STMN1;DBF4;UBE2C;MCM6;NDC80;TRAIP;CENPE;KIF23;E2F1;KPNA2;POLQ;TPX2;MYBL2;NASP;TOP2A;INCENP;PRIM2;CHEK1;FBXO5;E2F2;CENPA;CDC45;CDC6;KIF15;ORC6;BUB1;MCM2;TACC3;EZH2;BRCA2;CCNB2;SMC2;PLK4;CCNF;KIF22;CDKN3;CCNA2;CDC20;KIF4A;CENPF;FANCC;CHAF1A;POLA2;NEK2;MAD2L1;TROAP;KIF11;BIRC5;CDK1;MCM3;E2F3;DTYMK;KIF20B;TENT4A;CDC25A;AURKB;PLK1;GINS2;KNL1;ESPL1;HMMR;MKI67;EXO1;CKS1B;SUV39H1;MCM5;XPO1;DKC1;HMGN2;CASP8AP2;NSD2;SMC4;LMNB1;RACGAP1;H2AZ1;CDKN2C;PRC1;CBX1;HMGA1;RASAL2;POLE;ORC5;H2AX;AURKA
HALLMARK_MITOTIC_SPINDLE	SASS6;KIF2C;TTK;NDC80;CENPE;KIF23;TPX2;TOP2A;INCENP;FBXO5;KIF15;BUB1;BRCA2;CCNB2;DLGAP5;KNTC1;ANLN;KIF22;KIF4A;CENPF;TRIO;NEK2;KIF11;BIRC5;CDK1;KIF20B;CEP72;PLK1;ESPL1;PIF1;WASF1;SMC4;LMNB1;RACGAP1;PRC1;RASAL2;KIF3C;AURKA;RICTOR;ECT2;STAU1;DST;KIF1B;MAPRE1;CEP131;CDC27;FSCN1;CKAP5;CDK5RAP2;TUBD1;ARHGAP29;TLK1;CCDC88A;CEP192;ARHGAP10;KATNA1;LLGL1;LRPPRC;SMC3;SMC1A;CEP250;NOTCH2;NET1;WASL;CAPZB;ALMS1;TUBA4A;RASA2
HALLMARK_MYC_TARGETS_V1	RFC4;IFRD1;MCM6;KPNA2;CDC45;CCT5;MCM7;MCM2;MCM4;USP1;CCNA2;CDC20;MAD2L1;HPRT1;RANBP1;DEK;MCM5;XPO1;CDK2;PSMB2;H2AZ1;PSMD3;HDAC2;TYMS;SSB;PCNA;PSMB3;EIF3B;NCBP2;CTPS1;PSMD14;CAD;PPM1G;TOMM70;VBP1;PSMD1;PSMC4;CBX3;RRM1;HNRNPA2B1;GLO1;HNRNPR;SET;PSMA2;TRA2B;POLD2;EIF2S2;KPNB1;ABCE1;SSBP1;TCP1;SERBP1;POLE3;HNRNPD;SNRPA1;YWHAQ;HDGF;DDX18;EIF4H;SNRPD1;CSTF2;TARDBP;MRPL9;PSMA7;PSMC6;ILF2;PPIA;NCBP1;HNRNPA3;TFDP1;UBA2;VDAC3;SRPK1;UBE2L3;FBL;SRSF1;PSMA6;BUB3;SYNCRIP;SRM;SNRPG;SRSF2;RAN;PRPS2;PSMD7;STARD7;CUL1;CCT4;NOP56;SNRPB2;EIF2S1;SF3B3;RNPS1;HSPE1;LSM2;CLNS1A;RAD23B;PGK1;HSPD1
HALLMARK_SPERMATOGENESIS	RFC4;KIF2C;SCG3;TTK;DBF4;RPL39L;TOPBP1;CNIH2;BUB1;EZH2;CCNB2;CDKN3;MAST2;NCAPH;IL12RB2;DDX25;NEK2;DMC1;CDK1;PARP2;ACRV1;MLF1;NEFH;TSN;AURKA;TKTL1;SLC2A5;GSTM3;YBX2;MTOR;CHRM4;BRAF
HALLMARK_FATTY_ACID_METABOLISM	ODC1;HSD17B4;CBR1;HSD17B11;HMGCS2;MAOA;CA2;INMT;ALDH3A2;SUCLG2;ACADS;EPHX1;ACAA1;ALDH3A1;LTC4S;HPGD;ACADL;PDHB;SLC22A5;ACSM3;RETSAT;CA4;AQP7;ALAD;FASN;MLYCD;GLUL;ACSS1;AOC3;AUH;ADH1C;GPD1;MGLL;ALDH9A1;DLST;PCBD1;HADH;ACSL5;ERP29;ACADVL;ECI2;CD36;MCEE;GABARAPL1;ENO3
HALLMARK_P53_PATHWAY	RPS27L;BTG2;AK1;BTG1;CD81;CCNG1;CYFIP2;PMM1;DDB2;XPC;ISCU;MDM2;TOB1;EPHX1;TSC22D1;PRKAB1;DRAM1;ZBTB16;RRP8;AEN;FDXR;CDKN1A;FOS;RACK1;KIF13B;VWA5A;ANKRA2;RETSAT;STOM;PITPNC1;CEBPA;ZMAT3;TXNIP;PTPRE;SESN1;RAB40C;CDKN2AIP;HINT1;CTSD;BAIAP2;TSPYL2;ATF3;POLH;MXD4;SAT1;RNF19B;NOTCH1;RPS12;TP53;ALOX15B;RGS16;RPL18;DCXR;ACVR1B;BMP2;KLF4;HBEGF;TM7SF3;IP6K2
HALLMARK_MTORC1_SIGNALING	IFRD1;NUP205;SRD5A1;PSPH;CCT6A;BUB1;MCM2;MCM4;TUBG1;CCNF;YKT6;PDAP1;HPRT1;CDC25A;PLK1;PSMC2;GCLC;RRM2;PSMD12;GMPS;MLLT11;SKAP2;ENO1;AURKA;PSMD14;PDK1;PSAT1;TFRC;HMGCS1;P4HA1;DHCR7;STIP1;TES;PSMC4;ASNS;UNG;PHGDH;GSK3B;EIF2S2;AK4;PLOD2;MTHFD2;SLC2A1;PNO1;PSMG1;NAMPT;NMT1;ABCF2;HMBS;WARS1;TOMM40;PITPNB;PSMC6;PIK3R3;SLC7A5;PPIA;TUBA4A;ELOVL5;ACLY;POLR3G;ACTR3;EGLN3;G6PD;PSME3;GLA;TRIB3;DHFR;ERO1A
HALLMARK_ADIPOGENESIS	LPL;EPHX2;MTARC2;CAT;CYP4B1;TOB1;ALDH2;ACADS;REEP5;SLC27A1;LTC4S;ACADL;ORM1;SPARCL1;DHRS7B;PIM3;FABP4;RETSAT;STOM;CD302;ITIH5;CAVIN2;TST;UQCRQ;SULT1A1;C3;MGLL;DGAT1;GPX3;ETFB;DNAJC15;CD151;ARAF;GPHN;QDPR;ANGPT1;PTGER3;HADH;FAH;ENPP2;PDCD4;ADCY6;CD36;RMDN3;NKIRAS1
HALLMARK_COAGULATION	HMGCS2;CPB2;ACOX2;ISCU;SERPINA1;LTA4H;C2;APOA1;ANG;CLU;F11;CFD;CPQ;A2M;VWF;CTSH;RAPGEF3;CSRP1;GSN;MMP1;PECAM1;THBD;C3;HPN;CTSE;CFI;CTSO;FGG;F8;CAPN5;LGMN;C8B;SERPINB2;TMPRSS6;RGN;KLKB1;FURIN;MMP8;DUSP6;F10;S100A1;FGA;C8A
