pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.16000026530969e-42	5.80000132654846e-41	1.7026781142338	0.824277193427973	2.69418621961041	199
HALLMARK_G2M_CHECKPOINT	1.1049232815071e-39	2.76230820376776e-38	1.6407416852705	0.808189660593852	2.64130499994461	198
HALLMARK_MITOTIC_SPINDLE	1.69552484829128e-11	2.82587474715214e-10	0.863415391606693	0.622527119373264	2.03303629915516	197
HALLMARK_MYC_TARGETS_V1	8.52675118962459e-10	1.06584389870307e-08	0.801215574617779	0.596150673238948	1.94854466611199	199
HALLMARK_SPERMATOGENESIS	1.46521679188121e-09	1.46521679188121e-08	0.788186810800237	0.678177156307343	2.07456481405109	104
HALLMARK_FATTY_ACID_METABOLISM	2.74041217773044e-08	2.28367681477537e-07	0.73376198835648	-0.59248653703045	-2.05130753377136	146
HALLMARK_P53_PATHWAY	5.01381374175104e-08	3.58129552982217e-07	0.719512826338911	-0.53373569586792	-1.92638254837073	199
HALLMARK_MTORC1_SIGNALING	1.56870732841974e-06	9.80442080262338e-06	0.643551836150722	0.537822175803026	1.75789540970239	199
HALLMARK_ADIPOGENESIS	3.04623258999214e-06	1.69235143888452e-05	0.627256739718528	-0.507666520059056	-1.82745970230195	195
HALLMARK_COAGULATION	5.08086313053693e-06	2.54043156526847e-05	0.610526878385931	-0.560055023151397	-1.91401275993268	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.41101332576399e-05	0.000109591514807454	0.575610261071129	-0.47215663149513	-1.70412865778198	199
HALLMARK_XENOBIOTIC_METABOLISM	2.72342471654705e-05	0.000113476029856127	0.575610261071129	-0.475278138862497	-1.70541334932526	185
HALLMARK_BILE_ACID_METABOLISM	0.00019008255749041	0.000678866276751465	0.518848077743792	-0.537712367137959	-1.76858094248999	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000180269535217196	0.000678866276751465	0.518848077743792	-0.44520354583939	-1.60447506563523	197
HALLMARK_IL2_STAT5_SIGNALING	0.00114037633202857	0.0035636760375893	0.45505986738723	-0.416908107835862	-1.50056362786877	196
HALLMARK_MYC_TARGETS_V2	0.00108784798937778	0.0035636760375893	0.45505986738723	0.610686575117468	1.69197383989735	57
HALLMARK_DNA_REPAIR	0.00364239336134399	0.0104234816459768	0.431707695803346	0.468267014896155	1.48378651350431	148
HALLMARK_PEROXISOME	0.00375245339255166	0.0104234816459768	0.431707695803346	-0.467967438628567	-1.54284211675751	103
HALLMARK_ANGIOGENESIS	0.0052267846101101	0.013754696342395	0.407017918923954	-0.637814991379032	-1.74407794518188	34
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00721827696196837	0.0180456924049209	0.407017918923954	-0.372608845231926	-1.34111875031545	196
HALLMARK_HEME_METABOLISM	0.00962049563872522	0.0229059419969648	0.380730400722792	-0.38315738295255	-1.37087745074319	183
HALLMARK_GLYCOLYSIS	0.0131358147873845	0.0298541245167829	0.380730400722792	0.409706181737947	1.33629661886571	195
HALLMARK_UV_RESPONSE_DN	0.0237082760379373	0.051539730517255	0.352487857583619	-0.38120529938586	-1.32145185232143	143
HALLMARK_PANCREAS_BETA_CELLS	0.0281542116003512	0.0586546075007316	0.352487857583619	-0.598988699495083	-1.54410273337284	26
HALLMARK_KRAS_SIGNALING_UP	0.0321010474623433	0.0642020949246866	0.321775918075361	-0.344417391502995	-1.23965017897495	196
HALLMARK_MYOGENESIS	0.0347722215224145	0.066869656773874	0.321775918075361	-0.361404431154127	-1.28980944262198	182
