pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	6.42439319880176e-42	3.21219659940088e-40	1.68433634284213	0.824277193427973	2.70411069470286	199
HALLMARK_G2M_CHECKPOINT	1.74138186253991e-38	4.35345465634977e-37	1.61530228892975	0.808189660593852	2.65311956142228	198
HALLMARK_MITOTIC_SPINDLE	6.5431443099302e-12	1.09052405165503e-10	0.887074988399873	0.622527119373264	2.03921473911496	197
HALLMARK_MYC_TARGETS_V1	1.40632792968223e-09	1.72990065264559e-08	0.788186810800237	0.596150673238948	1.95572244872575	199
HALLMARK_SPERMATOGENESIS	1.72990065264559e-09	1.72990065264559e-08	0.788186810800237	0.678177156307343	2.0566810447464	104
HALLMARK_FATTY_ACID_METABOLISM	1.3332929335057e-07	1.11107744458808e-06	0.690132458796796	-0.59248653703045	-2.03736199436622	146
HALLMARK_P53_PATHWAY	4.36370942210187e-07	3.11693530150134e-06	0.674962860011025	-0.53373569586792	-1.91451511474793	199
HALLMARK_ADIPOGENESIS	1.39935222622972e-06	8.74595141393576e-06	0.643551836150722	-0.507666520059056	-1.81496960265477	195
HALLMARK_MTORC1_SIGNALING	2.53759495485776e-06	1.40977497492098e-05	0.627256739718528	0.537822175803026	1.76437090463356	199
HALLMARK_COAGULATION	3.05675853265442e-06	1.52837926632721e-05	0.627256739718528	-0.560055023151397	-1.89789654654891	127
HALLMARK_XENOBIOTIC_METABOLISM	5.14589488544344e-05	0.000233904312974702	0.557332238758646	-0.475278138862497	-1.680937298582	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.45506125228774e-05	0.000268960885511989	0.538434096309916	-0.47215663149513	-1.69363041393729	199
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000275469604498697	0.00105949847884114	0.49849310876659	-0.44520354583939	-1.59428778577512	197
HALLMARK_BILE_ACID_METABOLISM	0.000415602396327182	0.00148429427259708	0.49849310876659	-0.537712367137959	-1.78028471441124	102
HALLMARK_MYC_TARGETS_V2	0.00102098597765154	0.0034032865921718	0.45505986738723	0.610686575117468	1.69002884133931	57
HALLMARK_ANGIOGENESIS	0.00208024399262011	0.00650076247693783	0.431707695803346	-0.637814991379032	-1.74229833464214	34
HALLMARK_IL2_STAT5_SIGNALING	0.00256486931137403	0.00754373326874715	0.431707695803346	-0.416908107835862	-1.4961850874114	196
HALLMARK_DNA_REPAIR	0.0031546732093227	0.0087629811370075	0.431707695803346	0.468267014896155	1.48833138896265	148
