pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	2.32399082245006e-42	1.16199541122503e-40	1.69658622309628	0.824277193427973	2.70941429816164	199
HALLMARK_G2M_CHECKPOINT	1.45115174069336e-38	3.62787935173341e-37	1.61530228892975	0.808189660593852	2.65582369733019	198
HALLMARK_MITOTIC_SPINDLE	2.95832741784369e-11	4.93054569640616e-10	0.851339057116899	0.622527119373264	2.046060339384	197
HALLMARK_MYC_TARGETS_V1	6.70988077435441e-10	8.38735096794301e-09	0.801215574617779	0.596150673238948	1.95955822969574	199
HALLMARK_SPERMATOGENESIS	1.5203520762311e-09	1.5203520762311e-08	0.788186810800237	0.678177156307343	2.07105599327515	104
HALLMARK_FATTY_ACID_METABOLISM	5.18732265932645e-08	4.32276888277204e-07	0.719512826338911	-0.59248653703045	-2.02669776506761	146
HALLMARK_P53_PATHWAY	1.43429997392279e-07	1.02449998137342e-06	0.690132458796796	-0.53373569586792	-1.90862471473311	199
HALLMARK_ADIPOGENESIS	1.13982555394983e-06	7.12390971218645e-06	0.643551836150722	-0.507666520059056	-1.80762829821369	195
HALLMARK_MTORC1_SIGNALING	2.03096832453712e-06	1.12831573585396e-05	0.627256739718528	0.537822175803026	1.76783138561562	199
HALLMARK_COAGULATION	7.09187764664252e-06	3.54593882332126e-05	0.610526878385931	-0.560055023151397	-1.8979133620334	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.819395165419e-05	0.000159141465225792	0.557332238758646	-0.47215663149513	-1.68841961119225	199
HALLMARK_XENOBIOTIC_METABOLISM	3.55481255676902e-05	0.000159141465225792	0.557332238758646	-0.475278138862497	-1.66846777802555	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000285519014987231	0.00109815005764319	0.49849310876659	-0.44520354583939	-1.59027978940461	197
HALLMARK_BILE_ACID_METABOLISM	0.000319688265386392	0.0011417438049514	0.49849310876659	-0.537712367137959	-1.78507921967687	102
HALLMARK_IL2_STAT5_SIGNALING	0.000886485989869856	0.0027702687183433	0.477270815362862	-0.416908107835862	-1.48535830233081	196
HALLMARK_MYC_TARGETS_V2	0.000853955330581489	0.0027702687183433	0.477270815362862	0.610686575117468	1.72449572929119	57
HALLMARK_ANGIOGENESIS	0.00348806865922716	0.00968907960896432	0.431707695803346	-0.637814991379032	-1.75208934669792	34
HALLMARK_DNA_REPAIR	0.00329698377980409	0.00968907960896432	0.431707695803346	0.468267014896155	1.49920140229344	148
HALLMARK_PEROXISOME	0.00392648821754711	0.0103328637303871	0.407017918923954	-0.467967438628567	-1.55412354136748	103
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0118093241764338	0.0281174385153185	0.380730400722792	-0.372608845231926	-1.32752909186653	196
HALLMARK_HEME_METABOLISM	0.0112862634412279	0.0281174385153185	0.380730400722792	-0.38315738295255	-1.3467994977988	183
HALLMARK_GLYCOLYSIS	0.0135175582246276	0.0307217232377901	0.380730400722792	0.409706181737947	1.34529867969569	195
HALLMARK_MYOGENESIS	0.019695721154541	0.0428167851185673	0.352487857583619	-0.361404431154127	-1.26943117108938	182
HALLMARK_UV_RESPONSE_DN	0.0260095012989953	0.0541864610395736	0.352487857583619	-0.38120529938586	-1.30154984001706	143
HALLMARK_KRAS_SIGNALING_UP	0.0381076525194632	0.0762153050389265	0.321775918075361	-0.344417391502995	-1.2270887092882	196
HALLMARK_PANCREAS_BETA_CELLS	0.0423109345047761	0.081367181739954	0.321775918075361	-0.598988699495083	-1.54196333504563	26
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0589048054371778	0.109082973031811	0.321775918075361	-0.336718177415906	-1.20580769928775	200
HALLMARK_UV_RESPONSE_UP	0.0978260869565217	0.174689440993789	0.16440575583821	0.382420641730115	1.22618705501329	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.120396600566572	0.207580345804435	0.150169802128406	0.392959689609833	1.21070081656238	112
HALLMARK_ALLOGRAFT_REJECTION	0.17574931880109	0.283466643227564	0.118815039412263	0.34740323952874	1.13895772406544	194
HALLMARK_HYPOXIA	0.174074074074074	0.283466643227564	0.206587922696891	-0.316997918156085	-1.12872058860474	193
HALLMARK_NOTCH_SIGNALING	0.244155844155844	0.381493506493506	0.142056643575821	-0.418177338636133	-1.14264037734584	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.264204545454545	0.400309917355372	0.0956031492204301	0.360999285324619	1.1008325621671	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.303405572755418	0.442919525888958	0.13880510939114	-0.328071955864522	-1.05542727673178	85
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.310043668122271	0.442919525888958	0.0878312634480124	0.35736897581661	1.07878184821135	97
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.36697247706422	0.509667927700715	0.12384217120105	-0.326831389081015	-1.0224189382396	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.378048780487805	0.509667927700715	0.0734381410838857	0.314033993161155	1.03195940441974	198
HALLMARK_KRAS_SIGNALING_DN	0.397540983606557	0.509667927700715	0.0713052987340038	0.317588317538461	1.0216932923071	166
HALLMARK_PROTEIN_SECRETION	0.391304347826087	0.509667927700715	0.0751181635276301	0.339809132911956	1.02719597655028	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.467032967032967	0.583791208791209	0.100990587455923	-0.336305861927332	-0.986690938055537	48
HALLMARK_COMPLEMENT	0.488721804511278	0.59600220062351	0.118287526124085	-0.273886733369288	-0.975217766351896	195
HALLMARK_APICAL_SURFACE	0.589622641509434	0.701931716082659	0.0589694466690997	0.353328413946304	0.935749990275255	43
HALLMARK_INFLAMMATORY_RESPONSE	0.619771863117871	0.70428620808849	0.103576326612592	-0.264442182646561	-0.944595034021991	197
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.613207547169811	0.70428620808849	0.0571258510018113	0.352610678148088	0.928743912319007	41
HALLMARK_ANDROGEN_RESPONSE	0.643086816720257	0.714540907466953	0.0913924325943768	-0.275748022838639	-0.912162152523224	98
HALLMARK_APOPTOSIS	0.713754646840149	0.759313454085265	0.0937465422491719	-0.262742643912271	-0.909807353213004	160
HALLMARK_HEDGEHOG_SIGNALING	0.701444622792937	0.759313454085265	0.0518457624865066	0.342671249053483	0.876721192052861	35
HALLMARK_APICAL_JUNCTION	0.946354883081155	0.98578633654287	0.0307752597613667	0.242602768877298	0.79299079037278	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0755015292281669	-0.207892483478512	-0.744475273435597	200
HALLMARK_TGF_BETA_SIGNALING	0.994082840236686	1	0.0642140881844605	-0.223449032242178	-0.661053335509697	54
