pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	3.2080997230994e-43	1.6040498615497e-41	1.71479697260989	0.824277193427973	2.70627527127351	199
HALLMARK_G2M_CHECKPOINT	3.3578091279386e-38	8.39452281984651e-37	1.60887959037681	0.808189660593852	2.65054107880406	198
HALLMARK_MITOTIC_SPINDLE	7.43484894965257e-12	1.23914149160876e-10	0.875325132024659	0.622527119373264	2.03903617204907	197
HALLMARK_MYC_TARGETS_V1	3.82593896526547e-10	4.78242370658184e-09	0.814035837847908	0.596150673238948	1.95728795822931	199
HALLMARK_SPERMATOGENESIS	2.03655117506393e-09	2.03655117506393e-08	0.774939030136436	0.678177156307343	2.08072486595648	104
HALLMARK_FATTY_ACID_METABOLISM	2.78021053165001e-08	2.31684210970834e-07	0.73376198835648	-0.59248653703045	-2.04798492686917	146
HALLMARK_P53_PATHWAY	1.71021754930053e-07	1.22158396378609e-06	0.690132458796796	-0.53373569586792	-1.91868593024065	199
HALLMARK_ADIPOGENESIS	7.99292737122894e-07	4.99557960701809e-06	0.659444398037935	-0.507666520059056	-1.82495717704508	195
HALLMARK_MTORC1_SIGNALING	9.98319570047704e-07	5.54621983359836e-06	0.643551836150722	0.537822175803026	1.76578324175778	199
HALLMARK_COAGULATION	3.18628096662915e-06	1.59314048331458e-05	0.627256739718528	-0.560055023151397	-1.90893706115251	127
HALLMARK_XENOBIOTIC_METABOLISM	2.51744198834211e-05	0.000114429181288278	0.575610261071129	-0.475278138862497	-1.69413602486342	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.13610221264042e-05	0.000130670925526684	0.557332238758646	-0.47215663149513	-1.69732002699649	199
HALLMARK_ESTROGEN_RESPONSE_EARLY	8.83012851124634e-05	0.000339620327355628	0.538434096309916	-0.44520354583939	-1.60211517043755	197
HALLMARK_BILE_ACID_METABOLISM	0.000157720618048895	0.000563287921603195	0.518848077743792	-0.537712367137959	-1.7746625374891	102
HALLMARK_IL2_STAT5_SIGNALING	0.000924633881185509	0.00288948087870472	0.477270815362862	-0.416908107835862	-1.50286287106455	196
HALLMARK_MYC_TARGETS_V2	0.000876152946208224	0.00288948087870472	0.477270815362862	0.610686575117468	1.73127726115226	57
HALLMARK_ANGIOGENESIS	0.00215786525181687	0.00634666250534375	0.431707695803346	-0.637814991379032	-1.75057359412135	34
HALLMARK_DNA_REPAIR	0.00275960761587952	0.00726212530494612	0.431707695803346	0.468267014896155	1.49246388842245	148
HALLMARK_PEROXISOME	0.00262157335531877	0.00726212530494612	0.431707695803346	-0.467967438628567	-1.55485795616798	103
HALLMARK_HEME_METABOLISM	0.0070146543571211	0.0175366358928028	0.407017918923954	-0.38315738295255	-1.36157736306143	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0129408469165693	0.030811540277546	0.380730400722792	-0.372608845231926	-1.34317368361127	196
HALLMARK_GLYCOLYSIS	0.014416372726901	0.0327644834702296	0.380730400722792	0.409706181737947	1.34104213840992	195
HALLMARK_MYOGENESIS	0.0241917282834308	0.0525907136596322	0.352487857583619	-0.361404431154127	-1.28006711128089	182
HALLMARK_PANCREAS_BETA_CELLS	0.0307128523827156	0.0618521840810865	0.352487857583619	-0.598988699495083	-1.5305846927143	26
HALLMARK_UV_RESPONSE_DN	0.0309260920405432	0.0618521840810865	0.352487857583619	-0.38120529938586	-1.31118671513499	143
HALLMARK_KRAS_SIGNALING_UP	0.0418785861538446	0.0805357426035474	0.321775918075361	-0.344417391502995	-1.24154963674283	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0530583665364225	0.0982562343267084	0.321775918075361	-0.336718177415906	-1.21222927863667	200
HALLMARK_UV_RESPONSE_UP	0.0793871866295265	0.141762833267012	0.186432558434075	0.382420641730115	1.22407191907496	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0981507823613087	0.169225486829843	0.16823816568964	0.392959689609833	1.22272743309345	112
HALLMARK_HYPOXIA	0.125490196078431	0.209150326797386	0.252961123069611	-0.316997918156085	-1.13873855233835	193
HALLMARK_ALLOGRAFT_REJECTION	0.186738836265223	0.301191671395521	0.114266502484433	0.34740323952874	1.1364593271301	194
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.245689655172414	0.383890086206897	0.100633389423036	0.360999285324619	1.11006998266863	103
HALLMARK_NOTCH_SIGNALING	0.265151515151515	0.401744719926538	0.133554954557592	-0.418177338636133	-1.12228468328515	32
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.281791907514451	0.41439986399184	0.0928481214159878	0.35736897581661	1.09419137085279	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.31044776119403	0.443496801705757	0.134273452883202	-0.328071955864522	-1.07935351763039	85
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.334328358208955	0.464344941956882	0.128788713061714	-0.326831389081015	-1.05123431478005	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.402144772117962	0.529137858049951	0.0697792517076235	0.314033993161155	1.02990676520522	198
HALLMARK_PROTEIN_SECRETION	0.393632416787265	0.529137858049951	0.0747385227439092	0.339809132911956	1.03837676487868	96
HALLMARK_KRAS_SIGNALING_DN	0.425824175824176	0.545928430543815	0.0681513438679483	0.317588317538461	1.02180681912112	166
HALLMARK_COMPLEMENT	0.473076923076923	0.583388266315096	0.122107920287081	-0.273886733369288	-0.984566718525323	195
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.478378378378378	0.583388266315096	0.0985499803531691	-0.336305861927332	-0.988018157222237	48
HALLMARK_APICAL_SURFACE	0.5311004784689	0.632262474367738	0.0646484568421928	0.353328413946304	0.944805175595466	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.570502431118314	0.663374919905017	0.0619762736001998	0.352610678148088	0.927663014723747	41
HALLMARK_INFLAMMATORY_RESPONSE	0.612403100775194	0.695912614517266	0.105520936843198	-0.264442182646561	-0.951625018446086	197
HALLMARK_HEDGEHOG_SIGNALING	0.669421487603306	0.743801652892562	0.0553642837725362	0.342671249053483	0.876713031809177	35
HALLMARK_ANDROGEN_RESPONSE	0.699029126213592	0.756079027355623	0.0870515867946735	-0.275748022838639	-0.914545971023459	98
HALLMARK_APOPTOSIS	0.710714285714286	0.756079027355623	0.0916795246008379	-0.262742643912271	-0.920843235086883	160
HALLMARK_APICAL_JUNCTION	0.943850267379679	0.983177361853833	0.0294936424723046	0.242602768877298	0.794984202013777	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0774767547848578	-0.207892483478512	-0.748440007650264	200
HALLMARK_TGF_BETA_SIGNALING	0.986111111111111	1	0.0615706755421678	-0.223449032242178	-0.676566980310052	54
