SYMBOL	ENTREZID	ENSEMBL
PGC	5225	ENSG00000096088
EDA2R	60401	ENSG00000131080
GKN2	200504	ENSG00000183607
COL2A1	1280	ENSG00000139219
PLA2G10	8399	ENSG00000069764
DUOX2	50506	ENSG00000140279
FAIM2	23017	ENSG00000135472
TNFRSF10C	8794	ENSG00000173535
REG4	83998	ENSG00000134193
HSD17B13	345275	ENSG00000170509
PCSK2	5126	ENSG00000125851
DUOXA2	405753	ENSG00000140274
AUNIP	79000	ENSG00000127423
ASPG	374569	ENSG00000166183
CACNA2D2	9254	ENSG00000007402
NPAS3	64067	ENSG00000151322
SLC46A2	57864	ENSG00000119457
DUOX1	53905	ENSG00000137857
MUC6	4588	ENSG00000184956
PTCHD4	442213	ENSG00000244694
RBFOX1	54715	ENSG00000078328
PAK3	5063	ENSG00000077264
CIT	11113	ENSG00000122966
ODC1	4953	ENSG00000115758
TRIP13	9319	ENSG00000071539
SELENBP1	8991	ENSG00000143416
SYBU	55638	ENSG00000147642
PDE4D	5144	ENSG00000113448
ALDOB	229	ENSG00000136872
GPC2	221914	ENSG00000213420
KIF2C	11004	ENSG00000142945
PADI3	51702	ENSG00000142619
DUOXA1	90527	ENSG00000140254
SLC16A11	162515	ENSG00000174326
SPATA18	132671	ENSG00000163071
SCG3	29106	ENSG00000104112
LPL	4023	ENSG00000175445
SLC26A9	115019	ENSG00000174502
CRHR2	1395	ENSG00000106113
VILL	50853	ENSG00000136059
TTK	7272	ENSG00000112742
CAPN6	827	ENSG00000077274
RHOBTB2	23221	ENSG00000008853
AHCYL2	23382	ENSG00000158467
SFTPB	6439	ENSG00000168878
KCNK17	89822	ENSG00000124780
PNMA5	114824	ENSG00000198883
CTSV	1515	ENSG00000136943
UPK2	7379	ENSG00000110375
NLGN4X	57502	ENSG00000146938
CBR1	873	ENSG00000159228
FSD1	79187	ENSG00000105255
WIF1	11197	ENSG00000156076
GLTPD2	388323	ENSG00000182327
HJURP	55355	ENSG00000123485
CHIA	27159	ENSG00000134216
OCA2	4948	ENSG00000104044
SLC14A2	8170	ENSG00000132874
NXF3	56000	ENSG00000147206
UBE2C	11065	ENSG00000175063
FSTL4	23105	ENSG00000053108
TFF1	7031	ENSG00000160182
STEAP1B	256227	ENSG00000105889
PLA2G4F	255189	ENSG00000168907
TMED6	146456	ENSG00000157315
INA	9118	ENSG00000148798
RPL39L	116832	ENSG00000163923
BPIFB2	80341	ENSG00000078898
CDKN2A	1029	ENSG00000147889
GREB1	9687	ENSG00000196208
RNF222	643904	ENSG00000189051
APOBEC3B	9582	ENSG00000179750
AFF3	3899	ENSG00000144218
SCGB3A2	117156	ENSG00000164265
ERN2	10595	ENSG00000134398
GALNTL6	442117	ENSG00000174473
PEBP4	157310	ENSG00000134020
SLC26A4	5172	ENSG00000091137
MYBL2	4605	ENSG00000101057
CAPN9	10753	ENSG00000135773
PLAC1	10761	ENSG00000170965
SHISA2	387914	ENSG00000180730
KLHL31	401265	ENSG00000124743
AQP5	362	ENSG00000161798
MEIOC	284071	ENSG00000180336
ZNF695	57116	ENSG00000197472
MUC5AC	4586	ENSG00000215182
HMGCS2	3158	ENSG00000134240
DGKB	1607	ENSG00000136267
MYO1A	4640	ENSG00000166866
C9orf152	401546	ENSG00000188959
SHOX2	6474	ENSG00000168779
TMEM229A	730130	ENSG00000234224
SOHLH2	54937	ENSG00000120669
CLDN6	9074	ENSG00000184697
PRMT8	56341	ENSG00000111218
HP	3240	ENSG00000257017
SCUBE2	57758	ENSG00000175356
ADGRD1	283383	ENSG00000111452
CLDN18	51208	ENSG00000066405
SLC30A2	7780	ENSG00000158014
SUN3	256979	ENSG00000164744
C16orf89	146556	ENSG00000153446
MSMB	4477	ENSG00000263639
WNT16	51384	ENSG00000002745
CKM	1158	ENSG00000104879
CPB2	1361	ENSG00000080618
OBP2A	29991	ENSG00000122136
SFTPD	6441	ENSG00000133661
CA2	760	ENSG00000104267
ALKAL2	285016	ENSG00000189292
BMP6	654	ENSG00000153162
RASD1	51655	ENSG00000108551
CHD5	26038	ENSG00000116254
CALML5	51806	ENSG00000178372
INSL6	11172	ENSG00000120210
AADAC	13	ENSG00000114771
NRG3	10718	ENSG00000185737
FCER2	2208	ENSG00000104921
CABP7	164633	ENSG00000100314
TFF2	7032	ENSG00000160181
TSPAN11	441631	ENSG00000110900
GCM1	8521	ENSG00000137270
EFHD1	80303	ENSG00000115468
FAM3D	131177	ENSG00000198643
GRIK5	2901	ENSG00000105737
FXYD4	53828	ENSG00000150201
NRCAM	4897	ENSG00000091129
IRX1	79192	ENSG00000170549
BPIFA1	51297	ENSG00000198183
BTNL9	153579	ENSG00000165810
MYT1	4661	ENSG00000196132
DHRS2	10202	ENSG00000100867
