pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.54359183333035e-43	7.71795916665176e-42	1.72082439707331	0.824277193427973	2.70729220394622	199
HALLMARK_G2M_CHECKPOINT	1.03553183072315e-38	2.58882957680787e-37	1.62169955075295	0.808189660593852	2.64974432517805	198
HALLMARK_MITOTIC_SPINDLE	1.07172269561158e-11	1.78620449268597e-10	0.875325132024659	0.622527119373264	2.04324977454989	197
HALLMARK_MYC_TARGETS_V1	3.08215595732857e-10	3.85269494666071e-09	0.814035837847908	0.596150673238948	1.95802344515325	199
HALLMARK_SPERMATOGENESIS	1.66623165294398e-09	1.66623165294398e-08	0.788186810800237	0.678177156307343	2.08033260857965	104
HALLMARK_FATTY_ACID_METABOLISM	5.35273762629323e-08	4.46061468857769e-07	0.719512826338911	-0.59248653703045	-2.09672677211055	146
HALLMARK_P53_PATHWAY	1.70121036020925e-07	1.21515025729232e-06	0.690132458796796	-0.53373569586792	-1.93161369328075	199
HALLMARK_MTORC1_SIGNALING	1.03595039617392e-06	6.47468997608702e-06	0.643551836150722	0.537822175803026	1.76644676726478	199
HALLMARK_ADIPOGENESIS	1.84897173546375e-06	1.02720651970208e-05	0.643551836150722	-0.507666520059056	-1.82464110535421	195
HALLMARK_COAGULATION	2.61387067937062e-06	1.30693533968531e-05	0.627256739718528	-0.560055023151397	-1.91456007132302	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.1649405081924e-05	0.000234770023099654	0.557332238758646	-0.47215663149513	-1.70875626612577	199
HALLMARK_XENOBIOTIC_METABOLISM	6.58041967346535e-05	0.000274184153061056	0.538434096309916	-0.475278138862497	-1.71360142595084	185
HALLMARK_BILE_ACID_METABOLISM	0.000119717508895493	0.000460451957290359	0.538434096309916	-0.537712367137959	-1.782255327713	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000578965837891863	0.00206773513532808	0.477270815362862	-0.44520354583939	-1.60993541739004	197
HALLMARK_MYC_TARGETS_V2	0.000738229331943754	0.00246076443981251	0.477270815362862	0.610686575117468	1.70883539731799	57
HALLMARK_IL2_STAT5_SIGNALING	0.00173636599871858	0.00542614374599558	0.45505986738723	-0.416908107835862	-1.50091754821641	196
HALLMARK_DNA_REPAIR	0.00345287497558279	0.010155514634067	0.431707695803346	0.468267014896155	1.48722177846949	148
HALLMARK_ANGIOGENESIS	0.00398481641713691	0.011068934492047	0.407017918923954	-0.637814991379032	-1.73912977488706	34
HALLMARK_PEROXISOME	0.00535875139367405	0.0141019773517738	0.407017918923954	-0.467967438628567	-1.55061813632554	103
HALLMARK_GLYCOLYSIS	0.0140749323202112	0.0351873308005281	0.380730400722792	0.409706181737947	1.34600852577264	195
HALLMARK_HEME_METABOLISM	0.0158468749042493	0.0377306545339269	0.352487857583619	-0.38315738295255	-1.37740424802307	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0166946501048881	0.0379423866020185	0.352487857583619	-0.372608845231926	-1.34143506426944	196
HALLMARK_PANCREAS_BETA_CELLS	0.0206696250162574	0.0449339674266465	0.352487857583619	-0.598988699495083	-1.56509593934118	26
HALLMARK_UV_RESPONSE_DN	0.022913593631447	0.0477366533988479	0.352487857583619	-0.38120529938586	-1.33461017043285	143
HALLMARK_MYOGENESIS	0.0256423427297453	0.0512846854594906	0.352487857583619	-0.361404431154127	-1.30053113103822	182
HALLMARK_KRAS_SIGNALING_UP	0.0624901908797828	0.120173443999582	0.321775918075361	-0.344417391502995	-1.2399425607268	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0908342969261247	0.168211660974305	0.287805130535564	-0.336718177415906	-1.22036132174569	200
HALLMARK_UV_RESPONSE_UP	0.094722598105548	0.16914749661705	0.166933848713193	0.382420641730115	1.2256461228833	155
HALLMARK_HYPOXIA	0.119521912350598	0.206072262673444	0.261663521711573	-0.316997918156085	-1.1420030645114	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.133426966292135	0.222378277153558	0.141225119642531	0.392959689609833	1.20999235096764	112
HALLMARK_ALLOGRAFT_REJECTION	0.184594953519256	0.297733795998801	0.11378726182188	0.34740323952874	1.13815820784657	194
HALLMARK_NOTCH_SIGNALING	0.257372654155496	0.402144772117962	0.140406238523342	-0.418177338636133	-1.13513669651061	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.282485875706215	0.428008902585174	0.0913924325943768	0.360999285324619	1.10492702635524	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.299694189602446	0.440726749415362	0.13880510939114	-0.328071955864522	-1.07268722941252	85
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.322108345534407	0.460154779334867	0.0860347242455604	0.35736897581661	1.0782330101517	97
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.373040752351097	0.50995544416597	0.124434168630393	-0.326831389081015	-1.0382918869181	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.387566137566138	0.50995544416597	0.0709609456938284	0.314033993161155	1.02959717485169	198
HALLMARK_KRAS_SIGNALING_DN	0.380952380952381	0.50995544416597	0.0732558655828455	0.317588317538461	1.02355413584493	166
HALLMARK_PROTEIN_SECRETION	0.411420204978038	0.527461801253895	0.0730744399126987	0.339809132911956	1.02534095038699	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.444141689373297	0.555177111716621	0.103576326612592	-0.336305861927332	-0.99232238869088	48
HALLMARK_COMPLEMENT	0.516528925619835	0.629913323926628	0.120985142145252	-0.273886733369288	-0.984396197446029	195
HALLMARK_APICAL_SURFACE	0.563182527301092	0.670455389644157	0.0607719451853533	0.353328413946304	0.948536320342948	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.577223088923557	0.671189638283206	0.0596037042575973	0.352610678148088	0.938525683754996	41
HALLMARK_INFLAMMATORY_RESPONSE	0.6	0.681818181818182	0.110122263835536	-0.264442182646561	-0.956270091901314	197
HALLMARK_HEDGEHOG_SIGNALING	0.636080870917574	0.706756523241749	0.0549073703290958	0.342671249053483	0.891884884797733	35
HALLMARK_ANDROGEN_RESPONSE	0.666666666666667	0.719884818429051	0.0897104652742981	-0.275748022838639	-0.908666198438881	98
HALLMARK_APOPTOSIS	0.676691729323308	0.719884818429051	0.09754492162472	-0.262742643912271	-0.931318591409743	160
HALLMARK_APICAL_JUNCTION	0.941489361702128	0.980718085106383	0.0293519190331994	0.242602768877298	0.795726784228862	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.995833333333333	0.995833333333333	0.0815265143256594	-0.207892483478512	-0.753460795808069	200
HALLMARK_TGF_BETA_SIGNALING	0.983050847457627	0.995833333333333	0.0625237414724762	-0.223449032242178	-0.680704351081494	54
