pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	7.46326567381287e-44	3.73163283690643e-42	1.72683078321339	0.824277193427973	2.70308075473966	199
HALLMARK_G2M_CHECKPOINT	6.31689222579194e-39	1.57922305644798e-37	1.62169955075295	0.808189660593852	2.65256328261715	198
HALLMARK_MITOTIC_SPINDLE	7.27191372185261e-12	1.21198562030877e-10	0.887074988399873	0.622527119373264	2.04307965273209	197
HALLMARK_MYC_TARGETS_V1	2.51827923945029e-10	3.14784904931286e-09	0.814035837847908	0.596150673238948	1.95497755440215	199
HALLMARK_SPERMATOGENESIS	2.38195264626584e-09	2.38195264626584e-08	0.774939030136436	0.678177156307343	2.08336121859072	104
HALLMARK_FATTY_ACID_METABOLISM	1.69108730804672e-08	1.40923942337227e-07	0.73376198835648	-0.59248653703045	-2.05474972844554	146
HALLMARK_P53_PATHWAY	3.17679236124146e-07	2.26913740088676e-06	0.674962860011025	-0.53373569586792	-1.92665765152553	199
HALLMARK_MTORC1_SIGNALING	5.96370300130535e-07	3.72731437581584e-06	0.659444398037935	0.537822175803026	1.76369889216449	199
HALLMARK_ADIPOGENESIS	2.10621803288872e-06	1.17012112938262e-05	0.627256739718528	-0.507666520059056	-1.82779473530879	195
HALLMARK_COAGULATION	6.28652872517604e-06	3.14326436258802e-05	0.610526878385931	-0.560055023151397	-1.89866433932993	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.8429622978237e-05	0.000174680104446532	0.557332238758646	-0.47215663149513	-1.70437202126673	199
HALLMARK_XENOBIOTIC_METABOLISM	9.30072832472828e-05	0.000387530346863678	0.538434096309916	-0.475278138862497	-1.70121546795923	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000146792084199916	0.000564584939230445	0.518848077743792	-0.44520354583939	-1.60726084949911	197
HALLMARK_BILE_ACID_METABOLISM	0.000282298077014829	0.0010082074179101	0.49849310876659	-0.537712367137959	-1.77113054990135	102
HALLMARK_MYC_TARGETS_V2	0.000785630803047134	0.00261876934349045	0.477270815362862	0.610686575117468	1.70085391156171	57
HALLMARK_IL2_STAT5_SIGNALING	0.00207414614077857	0.00648170668993303	0.431707695803346	-0.416908107835862	-1.50194973428032	196
HALLMARK_ANGIOGENESIS	0.00238368177440359	0.00668701772610236	0.431707695803346	-0.637814991379032	-1.74563844224648	34
HALLMARK_PEROXISOME	0.00240732638139685	0.00668701772610236	0.431707695803346	-0.467967438628567	-1.53600759301822	103
HALLMARK_DNA_REPAIR	0.00430338234413964	0.0113246903793148	0.407017918923954	0.468267014896155	1.49321138298058	148
HALLMARK_HEME_METABOLISM	0.00787843824021773	0.0196960956005443	0.380730400722792	-0.38315738295255	-1.36699328432414	183
HALLMARK_GLYCOLYSIS	0.0160510005589255	0.0382166679974416	0.352487857583619	0.409706181737947	1.34632792391805	195
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0176892696334993	0.0402028855306802	0.352487857583619	-0.372608845231926	-1.34235757369084	196
HALLMARK_UV_RESPONSE_DN	0.023009784170905	0.05002126993675	0.352487857583619	-0.38120529938586	-1.31529950538488	143
HALLMARK_PANCREAS_BETA_CELLS	0.0360474379933276	0.0750988291527658	0.321775918075361	-0.598988699495083	-1.53780219969634	26
HALLMARK_MYOGENESIS	0.0394127566202403	0.0788255132404806	0.321775918075361	-0.361404431154127	-1.29073324471546	182
HALLMARK_KRAS_SIGNALING_UP	0.0543250248087129	0.104471201555217	0.321775918075361	-0.344417391502995	-1.24079527341096	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0763037284003147	0.141303200741323	0.287805130535564	-0.336718177415906	-1.21714690647214	200
HALLMARK_UV_RESPONSE_UP	0.087431693989071	0.156128024980484	0.175204047558551	0.382420641730115	1.23197021920886	155
HALLMARK_HYPOXIA	0.129277566539924	0.222892356103317	0.245041785430996	-0.316997918156085	-1.13811257432596	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.136494252873563	0.227490421455939	0.141225119642531	0.392959689609833	1.21450150673315	112
HALLMARK_ALLOGRAFT_REJECTION	0.171159029649596	0.276062951047735	0.119887845115423	0.34740323952874	1.14150044237555	194
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.255847953216374	0.399762426900585	0.0992333343771191	0.360999285324619	1.10499375059084	103
HALLMARK_NOTCH_SIGNALING	0.26775956284153	0.405696307335652	0.13880510939114	-0.418177338636133	-1.13235485061445	32
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.282768777614138	0.415836437667851	0.0937465422491719	0.35736897581661	1.08575311598363	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.352601156069364	0.503715937241949	0.122679189568808	-0.328071955864522	-1.04622447402931	85
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.37687074829932	0.51046926046926	0.0738052724171275	0.314033993161155	1.03069252227361	198
HALLMARK_KRAS_SIGNALING_DN	0.377747252747253	0.51046926046926	0.0741758965588009	0.317588317538461	1.02758489979399	166
HALLMARK_PROTEIN_SECRETION	0.398818316100443	0.524760942237425	0.0751181635276301	0.339809132911956	1.03148318521049	96
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.421364985163205	0.540211519440006	0.112378519110475	-0.326831389081015	-1.01296863315312	73
HALLMARK_COMPLEMENT	0.490421455938697	0.613026819923372	0.119348440591015	-0.273886733369288	-0.986097584818223	195
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.502793296089385	0.613162556206568	0.09754492162472	-0.336305861927332	-0.961863726001794	48
HALLMARK_APICAL_SURFACE	0.535603715170279	0.637623470440808	0.0628003977812234	0.353328413946304	0.945201843339067	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.564387917329094	0.656265020150109	0.0615706755421678	0.352610678148088	0.931941361172716	41
HALLMARK_INFLAMMATORY_RESPONSE	0.609022556390977	0.692071086807929	0.103958471559957	-0.264442182646561	-0.954681450981167	197
HALLMARK_ANDROGEN_RESPONSE	0.684542586750789	0.728236794415733	0.086794975677172	-0.275748022838639	-0.897471047435262	98
HALLMARK_APOPTOSIS	0.677304964539007	0.728236794415733	0.0940503465727813	-0.262742643912271	-0.918821078215552	160
HALLMARK_HEDGEHOG_SIGNALING	0.66510172143975	0.728236794415733	0.0531298054705469	0.342671249053483	0.883288828761787	35
HALLMARK_APICAL_JUNCTION	0.922448979591837	0.960884353741497	0.0314928902471297	0.242602768877298	0.795252346995884	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.996240601503759	0.996240601503759	0.0760837160951725	-0.207892483478512	-0.751476190226994	200
HALLMARK_TGF_BETA_SIGNALING	0.988950276243094	0.996240601503759	0.0611692626746689	-0.223449032242178	-0.65828378604883	54
