ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
DOID:3324	mood disorder	20/210	226/8188	0.0884955752212389	3.45048461862621	6.06066306151495	1.22782392160307e-06	0.000314275742170417	0.000287096319070587	PDE4D/CRHR2/TTK/GALNTL6/PLA2G2A/GRIN2A/CNTNAP2/GRIK3/APOA1/HTR1B/L1CAM/GRIA1/ADCY2/ERBB4/NOS1/LHX2/CYP2B6/HCN1/GABRA3/HTR2C	20
DOID:2320	obstructive lung disease	19/210	207/8188	0.0917874396135266	3.57883597883598	6.09684655089585	1.32434011111742e-06	0.000314275742170417	0.000287096319070587	FAIM2/PDE4D/SFTPB/MUC5AC/HP/SFTPD/GRIK5/SLPI/SERPINA1/ELANE/CMA1/MUC5B/SFTPA1/ADCY2/CSF3/NOS1/CDHR3/SFTPC/ALB	19
DOID:850	lung disease	28/210	405/8188	0.0691358024691358	2.6956378600823	5.67821885995716	1.38447463511197e-06	0.000314275742170417	0.000287096319070587	FAIM2/PDE4D/SFTPB/CHIA/MUC5AC/HP/SFTPD/GRIK5/SLPI/PLA2G2A/SERPINA1/ELANE/CMA1/SFTPA2/MUC5B/SFTPA1/ACE2/APOA1/IL1A/ADCY2/CSF3/NOS1/AGTR2/CDHR3/MUC2/SFTPC/MMP13/ALB	28
DOID:3083	chronic obstructive pulmonary disease	18/210	205/8188	0.0878048780487805	3.42355400696864	5.70126981342357	4.79670984792686e-06	0.000816639851609549	0.000746014610559152	FAIM2/PDE4D/SFTPB/MUC5AC/HP/SFTPD/GRIK5/SLPI/SERPINA1/ELANE/CMA1/MUC5B/SFTPA1/ADCY2/CSF3/NOS1/SFTPC/ALB	18
DOID:1176	bronchial disease	23/210	336/8188	0.068452380952381	2.66899092970522	5.06825545256819	1.53936326417622e-05	0.00181589698369277	0.00165885326124496	PDE4D/CRHR2/SFTPB/CHIA/SCGB3A2/MUC5AC/HP/SFTPD/SERPINA1/CMA1/SCNN1G/SFTPA2/MUC5B/SPINK5/SFTPA1/IL1A/CSF3/NOS1/AGTR2/CDHR3/MUC2/SFTPC/HTR2C	23
DOID:874	bacterial pneumonia	7/210	33/8188	0.212121212121212	8.27070707070707	6.78963865233174	1.59990923673372e-05	0.00181589698369277	0.00165885326124496	SFTPB/SFTPD/SFTPA2/SFTPA1/IL1A/CSF3/SFTPC	7
DOID:28	endocrine system disease	26/210	428/8188	0.0607476635514019	2.36858032932799	4.71830861740654	3.41114804953599e-05	0.0033185597453343	0.00303156165003875	COL2A1/DUOX2/DUOXA2/DUOX1/CTSV/SLC26A4/CA2/SERPINA1/MSLN/IHH/NEFH/MKRN3/APOA1/L1CAM/HPGD/NOS1/PRSS1/PCSK1/FOXE1/PITX2/SPINK1/CASR/SERPINA6/ALB/CALCA/NR0B1	26
DOID:2841	asthma	22/210	332/8188	0.0662650602409639	2.58370625358577	4.77934039107199	3.92353177696201e-05	0.00333990642513891	0.00305106221076914	PDE4D/CRHR2/SFTPB/CHIA/SCGB3A2/MUC5AC/HP/SFTPD/SERPINA1/CMA1/SFTPA2/MUC5B/SPINK5/SFTPA1/IL1A/CSF3/NOS1/AGTR2/CDHR3/MUC2/SFTPC/HTR2C	22
DOID:12716	newborn respiratory distress syndrome	5/210	18/8188	0.277777777777778	10.8306878306878	6.773827866406	6.90313197772003e-05	0.00522336986314149	0.00477163859512577	SFTPB/SFTPD/SFTPA2/SFTPA1/SFTPC	5
DOID:1596	depressive disorder	14/210	175/8188	0.08	3.11923809523809	4.5975475726026	0.000153984400869298	0.00935877275431717	0.00854940056851603	PDE4D/CRHR2/GALNTL6/PLA2G2A/CNTNAP2/GRIK3/APOA1/HTR1B/L1CAM/GRIA1/NOS1/LHX2/CYP2B6/HTR2C	14
DOID:50	thyroid gland disease	13/210	156/8188	0.0833333333333333	3.24920634920635	4.60155668844387	0.000176635539531132	0.00935877275431717	0.00854940056851603	COL2A1/DUOX2/DUOXA2/DUOX1/CTSV/SLC26A4/NEFH/APOA1/L1CAM/PCSK1/FOXE1/PITX2/ALB	13
DOID:12120	pulmonary alveolar proteinosis	4/210	12/8188	0.333333333333333	12.9968253968254	6.74701299045089	0.000177062078878595	0.00935877275431717	0.00854940056851603	SFTPB/SFTPD/SFTPA1/SFTPC	4
DOID:1485	cystic fibrosis	10/210	97/8188	0.103092783505155	4.01963672066765	4.853605690838	0.000178654986499447	0.00935877275431717	0.00854940056851603	SFTPB/MUC5AC/SFTPD/MUC5B/SFTPA1/IL1A/NOS1/PRSS1/MUC2/SFTPC	10
DOID:0050127	sinusitis	5/210	24/8188	0.208333333333333	8.12301587301587	5.66947783232434	0.000302046975128011	0.0137129326708117	0.0125270008632038	CHIA/SCGB3A2/SFTPD/MUC5B/SFTPA1	5
DOID:1352	paranasal sinus disease	5/210	24/8188	0.208333333333333	8.12301587301587	5.66947783232434	0.000302046975128011	0.0137129326708117	0.0125270008632038	CHIA/SCGB3A2/SFTPD/MUC5B/SFTPA1	5
DOID:3587	pancreatic ductal carcinoma	8/210	68/8188	0.117647058823529	4.58711484593838	4.8188870799674	0.000322830455772409	0.0137404712738131	0.0125521578527298	MUC5AC/SERPINA1/MSLN/MUC5B/ACE2/L1CAM/MUC3A/ALB	8
DOID:552	pneumonia	9/210	87/8188	0.103448275862069	4.03349753694581	4.61486481349342	0.000366770814240535	0.0146924073234002	0.0134217678771614	SFTPB/SFTPD/SFTPA2/SFTPA1/IL1A/CSF3/MUC2/SFTPC/ALB	9
DOID:3082	interstitial lung disease	13/210	178/8188	0.0730337078651685	2.84761904761905	4.04325563555523	0.00063858205389097	0.0241596877055417	0.0220702920379861	SFTPB/CHIA/MUC5AC/SFTPD/ELANE/CMA1/SFTPA2/MUC5B/SFTPA1/APOA1/IL1A/SFTPC/MMP13	13
DOID:4897	bile duct carcinoma	10/210	115/8188	0.0869565217391304	3.39047619047619	4.1883300033802	0.000709648746878389	0.0254353050854833	0.0232355905487605	MUC6/CDKN2A/MUC5AC/MSLN/PRSS2/MUC5B/APOA1/MUC2/MUC3A/ALB	10
DOID:934	viral infectious disease	18/210	305/8188	0.059016393442623	2.30107728337237	3.75692285386126	0.000819974424863556	0.0279201291666041	0.0255055202681243	SFTPB/CDKN2A/HP/SFTPD/SLPI/PLA2G2A/SERPINA1/ELANE/SFTPA1/C4BPA/ACE2/CSF3/CEACAM8/CYP2B6/SFTPC/ALB/GJB6/CALCA	18
DOID:4606	bile duct cancer	10/210	119/8188	0.0840336134453782	3.2765106042417	4.05843250016724	0.0009268807518628	0.0300574186675508	0.0274579711454093	MUC6/CDKN2A/MUC5AC/MSLN/PRSS2/MUC5B/APOA1/MUC2/MUC3A/ALB	10
DOID:3312	bipolar disorder	7/210	63/8188	0.111111111111111	4.33227513227513	4.3074918915628	0.00108056016307059	0.0334482486841397	0.0305555529365895	TTK/GRIN2A/L1CAM/ADCY2/ERBB4/GABRA3/HTR2C	7
