pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.54552999856811e-42	7.72764999284053e-41	1.69658622309628	0.824277193427973	2.70225770078825	199
HALLMARK_G2M_CHECKPOINT	1.99724221869648e-38	4.9931055467412e-37	1.61530228892975	0.808189660593852	2.65213586968196	198
HALLMARK_MITOTIC_SPINDLE	1.43619708064759e-11	2.39366180107932e-10	0.875325132024659	0.622527119373264	2.04285527759158	197
HALLMARK_MYC_TARGETS_V1	1.58816189678195e-09	1.98520237097743e-08	0.788186810800237	0.596150673238948	1.95438228842712	199
HALLMARK_SPERMATOGENESIS	7.24620754540523e-09	7.24620754540522e-08	0.761460801445585	0.678177156307343	2.08130514042731	104
HALLMARK_FATTY_ACID_METABOLISM	6.04433753303348e-08	5.03694794419457e-07	0.704975715167238	-0.59248653703045	-2.07484333473572	146
HALLMARK_P53_PATHWAY	2.24354201727874e-07	1.60253001234195e-06	0.690132458796796	-0.53373569586792	-1.93059586306021	199
HALLMARK_ADIPOGENESIS	1.184349989651e-06	7.40218743531873e-06	0.643551836150722	-0.507666520059056	-1.82751594739459	195
HALLMARK_MTORC1_SIGNALING	2.07529233579884e-06	1.15294018655491e-05	0.627256739718528	0.537822175803026	1.76316186812636	199
HALLMARK_COAGULATION	1.20621573452905e-05	6.03107867264527e-05	0.593325476396405	-0.560055023151397	-1.91108339462094	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.28143627657382e-05	0.000194610739844264	0.557332238758646	-0.47215663149513	-1.70785586674816	199
HALLMARK_XENOBIOTIC_METABOLISM	9.77263607305769e-05	0.000407193169710737	0.538434096309916	-0.475278138862497	-1.70436580318968	185
HALLMARK_BILE_ACID_METABOLISM	0.000181164903500503	0.00069678809038655	0.518848077743792	-0.537712367137959	-1.78442340919061	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000243246791838705	0.000868738542281091	0.518848077743792	-0.44520354583939	-1.60803094571051	197
HALLMARK_MYC_TARGETS_V2	0.00124323830675526	0.00414412768918421	0.45505986738723	0.610686575117468	1.70755105103179	57
HALLMARK_IL2_STAT5_SIGNALING	0.00136663734522571	0.00427074170383033	0.45505986738723	-0.416908107835862	-1.5011372615345	196
HALLMARK_DNA_REPAIR	0.00365811255938347	0.0101614237760652	0.431707695803346	0.468267014896155	1.49806457816215	148
HALLMARK_PEROXISOME	0.00349471677792399	0.0101614237760652	0.431707695803346	-0.467967438628567	-1.55684985179755	103
HALLMARK_ANGIOGENESIS	0.00570882128325576	0.0150232139033046	0.407017918923954	-0.637814991379032	-1.76026624471043	34
HALLMARK_HEME_METABOLISM	0.00911528353504026	0.0227882088376007	0.380730400722792	-0.38315738295255	-1.3747016473828	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0121246089854728	0.0288681166320781	0.380730400722792	-0.372608845231926	-1.34163143158443	196
HALLMARK_GLYCOLYSIS	0.0197537518706244	0.0448948906150554	0.352487857583619	0.409706181737947	1.34287342498913	195
HALLMARK_MYOGENESIS	0.0340548017411429	0.0698537347258019	0.321775918075361	-0.361404431154127	-1.29469661935718	182
HALLMARK_PANCREAS_BETA_CELLS	0.0337642216115507	0.0698537347258019	0.321775918075361	-0.598988699495083	-1.53342045828501	26
HALLMARK_UV_RESPONSE_DN	0.0349268673629009	0.0698537347258019	0.321775918075361	-0.38120529938586	-1.32633855547232	143
HALLMARK_KRAS_SIGNALING_UP	0.0382925113246744	0.073639444855143	0.321775918075361	-0.344417391502995	-1.24012407096005	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0581480652827659	0.107681602375492	0.321775918075361	-0.336718177415906	-1.21911645282458	200
HALLMARK_UV_RESPONSE_UP	0.0880758807588076	0.157278358497871	0.173747838999571	0.382420641730115	1.22861045717129	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.102189781021898	0.176189277623962	0.166933848713193	0.392959689609833	1.21622254698696	112
HALLMARK_HYPOXIA	0.120967741935484	0.201612903225806	0.261663521711573	-0.316997918156085	-1.13399810170791	193
HALLMARK_ALLOGRAFT_REJECTION	0.184840425531915	0.298129718599863	0.11378726182188	0.34740323952874	1.1397896586956	194
HALLMARK_NOTCH_SIGNALING	0.267857142857143	0.405844155844156	0.133554954557592	-0.418177338636133	-1.13448475506725	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.26207906295754	0.405844155844156	0.0978773277424561	0.360999285324619	1.10333611797057	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.304477611940298	0.447761194029851	0.135740943810425	-0.328071955864522	-1.06556163320731	85
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.319402985074627	0.456289978678038	0.0875697115548511	0.35736897581661	1.07878598000519	97
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.377333333333333	0.515741805635423	0.0727141077934447	0.314033993161155	1.03052644468401	198
HALLMARK_KRAS_SIGNALING_DN	0.381648936170213	0.515741805635423	0.072003313661988	0.317588317538461	1.02962660993915	166
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.406940063091483	0.530171582803162	0.118815039412263	-0.326831389081015	-1.01596837588942	73
HALLMARK_PROTEIN_SECRETION	0.413533834586466	0.530171582803162	0.0741758965588009	0.339809132911956	1.02296753917269	96
HALLMARK_COMPLEMENT	0.4609375	0.576171875	0.125033367555272	-0.273886733369288	-0.985947178383867	195
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.484419263456091	0.590755199336696	0.100633389423036	-0.336305861927332	-0.979237843622286	48
HALLMARK_APICAL_SURFACE	0.561815336463224	0.65327364705026	0.0610363728309177	0.353328413946304	0.942168709639938	43
HALLMARK_INFLAMMATORY_RESPONSE	0.557312252964427	0.65327364705026	0.112843355675562	-0.264442182646561	-0.955138873041019	197
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.584905660377358	0.664665523156089	0.0593487680335629	0.352610678148088	0.930365425165928	41
HALLMARK_ANDROGEN_RESPONSE	0.667673716012085	0.717279174725983	0.0857844408075645	-0.275748022838639	-0.915959102506546	98
HALLMARK_APOPTOSIS	0.674242424242424	0.717279174725983	0.0982123351217438	-0.262742643912271	-0.929652650621495	160
HALLMARK_HEDGEHOG_SIGNALING	0.65751211631664	0.717279174725983	0.0551351763385257	0.342671249053483	0.871264550356791	35
HALLMARK_APICAL_JUNCTION	0.936085219707057	0.975088770528185	0.0297064584935533	0.242602768877298	0.795023083263941	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.99609375	0.99609375	0.0780892306943345	-0.207892483478512	-0.752692203825301	200
HALLMARK_TGF_BETA_SIGNALING	0.982905982905983	0.99609375	0.0629394692018967	-0.223449032242178	-0.670726451764121	54
