pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	4.57958091139443e-44	2.28979045569722e-42	1.72683078321339	0.824277193427973	2.71893157206611	199
HALLMARK_G2M_CHECKPOINT	2.21935424509315e-38	5.54838561273287e-37	1.61530228892975	0.808189660593852	2.66563553615514	198
HALLMARK_MITOTIC_SPINDLE	2.02388443571814e-11	3.3731407261969e-10	0.863415391606693	0.622527119373264	2.05313157234695	197
HALLMARK_MYC_TARGETS_V1	1.65653568023341e-10	2.07066960029177e-09	0.826657301178302	0.596150673238948	1.96644150790699	199
HALLMARK_SPERMATOGENESIS	1.69684784890136e-09	1.69684784890136e-08	0.788186810800237	0.678177156307343	2.08234605644088	104
HALLMARK_FATTY_ACID_METABOLISM	2.27672390944355e-07	1.62623136388825e-06	0.690132458796796	-0.59248653703045	-2.05256330811374	146
HALLMARK_P53_PATHWAY	2.00340627745737e-07	1.62623136388825e-06	0.690132458796796	-0.53373569586792	-1.91762148465405	199
HALLMARK_MTORC1_SIGNALING	6.62249086374348e-07	4.13905678983968e-06	0.659444398037935	0.537822175803026	1.77404119100612	199
HALLMARK_ADIPOGENESIS	2.48154338299432e-06	1.27841816407495e-05	0.627256739718528	-0.507666520059056	-1.81373032172785	195
HALLMARK_COAGULATION	2.5568363281499e-06	1.27841816407495e-05	0.627256739718528	-0.560055023151397	-1.91135232563389	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.37080782373078e-05	0.000153218537442308	0.557332238758646	-0.47215663149513	-1.69637839044028	199
HALLMARK_XENOBIOTIC_METABOLISM	9.90002180327761e-05	0.0004125009084699	0.538434096309916	-0.475278138862497	-1.69478695315693	185
HALLMARK_BILE_ACID_METABOLISM	0.000127313463127705	0.000489667165875789	0.518848077743792	-0.537712367137959	-1.77625068333588	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000465436326809211	0.00166227259574718	0.49849310876659	-0.44520354583939	-1.59535818343194	197
HALLMARK_MYC_TARGETS_V2	0.00068994151301361	0.0022998050433787	0.477270815362862	0.610686575117468	1.7307803871397	57
HALLMARK_IL2_STAT5_SIGNALING	0.00124487115880119	0.00389022237125373	0.45505986738723	-0.416908107835862	-1.48853301796682	196
HALLMARK_PEROXISOME	0.00215638506770151	0.0063423090226515	0.431707695803346	-0.467967438628567	-1.54723276114185	103
HALLMARK_ANGIOGENESIS	0.00381321612821392	0.0105922670228164	0.431707695803346	-0.637814991379032	-1.75417192273952	34
HALLMARK_DNA_REPAIR	0.00493977693576784	0.0129994129888627	0.407017918923954	0.468267014896155	1.49269227402321	148
HALLMARK_HEME_METABOLISM	0.00747832259600369	0.0186958064900092	0.407017918923954	-0.38315738295255	-1.36265129764364	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0167556544489476	0.0398944153546372	0.352487857583619	-0.372608845231926	-1.33036647282613	196
HALLMARK_PANCREAS_BETA_CELLS	0.0210689045360083	0.0478838739454733	0.352487857583619	-0.598988699495083	-1.55575738524675	26
HALLMARK_MYOGENESIS	0.0269266564606432	0.0560972009596734	0.352487857583619	-0.361404431154127	-1.28686860422534	182
HALLMARK_UV_RESPONSE_DN	0.0268714253973802	0.0560972009596734	0.352487857583619	-0.38120529938586	-1.31988500239441	143
HALLMARK_GLYCOLYSIS	0.0313470927273888	0.0626941854547777	0.321775918075361	0.409706181737947	1.35247205119219	195
HALLMARK_KRAS_SIGNALING_UP	0.0450014731330619	0.0865412944866574	0.321775918075361	-0.344417391502995	-1.22971141500576	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0516568247788567	0.0956607866275123	0.321775918075361	-0.336718177415906	-1.21137742334413	200
HALLMARK_UV_RESPONSE_UP	0.0897615708274895	0.160288519334803	0.175204047558551	0.382420641730115	1.23019960927798	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.128129602356406	0.220913107511046	0.148261500475107	0.392959689609833	1.21831125461561	112
HALLMARK_HYPOXIA	0.145669291338583	0.242782152230971	0.234392647294686	-0.316997918156085	-1.13104885198007	193
HALLMARK_ALLOGRAFT_REJECTION	0.170894526034713	0.275636332314053	0.119348440591015	0.34740323952874	1.14458590774875	194
HALLMARK_NOTCH_SIGNALING	0.236040609137056	0.36881345177665	0.142901149386948	-0.418177338636133	-1.13883999834436	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.259036144578313	0.392479006936838	0.10027910675413	0.360999285324619	1.10529510887806	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.270676691729323	0.398053958425475	0.09754492162472	0.35736897581661	1.09448808365324	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.333333333333333	0.476190476190476	0.12563992130984	-0.328071955864522	-1.04811773717417	85
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.368775235531629	0.501406383759325	0.0743625384422526	0.314033993161155	1.03577193887383	198
HALLMARK_PROTEIN_SECRETION	0.3710407239819	0.501406383759325	0.0799858801499946	0.339809132911956	1.03821472792322	96
HALLMARK_KRAS_SIGNALING_DN	0.38787023977433	0.510355578650434	0.0741758965588009	0.317588317538461	1.02317873812171	166
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.403409090909091	0.517191142191142	0.112378519110475	-0.326831389081015	-1.01651521546438	73
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.439473684210526	0.549342105263158	0.102080107662747	-0.336305861927332	-0.985470139464727	48
HALLMARK_COMPLEMENT	0.493975903614458	0.602409638554217	0.122107920287081	-0.273886733369288	-0.978509815800111	195
HALLMARK_APICAL_SURFACE	0.534510433386838	0.624700549146796	0.0646484568421928	0.353328413946304	0.953843082586663	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.537242472266244	0.624700549146796	0.0637845390312975	0.352610678148088	0.944809383019503	41
HALLMARK_INFLAMMATORY_RESPONSE	0.60546875	0.688032670454546	0.106729884364606	-0.264442182646561	-0.947611500565161	197
HALLMARK_ANDROGEN_RESPONSE	0.666666666666667	0.709219858156028	0.0845557442441281	-0.275748022838639	-0.89956626218741	98
HALLMARK_APOPTOSIS	0.65625	0.709219858156028	0.0946646223153342	-0.262742643912271	-0.917663337006172	160
HALLMARK_HEDGEHOG_SIGNALING	0.638752052545156	0.709219858156028	0.0572461135202884	0.342671249053483	0.884148963322722	35
HALLMARK_APICAL_JUNCTION	0.954177897574124	0.992452830188679	0.0293519190331994	0.242602768877298	0.797332910332187	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.992452830188679	0.992452830188679	0.0764767053228531	-0.207892483478512	-0.7479140654107	200
HALLMARK_TGF_BETA_SIGNALING	0.980978260869565	0.992452830188679	0.0607719451853533	-0.223449032242178	-0.667825628348349	54
