pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	2.37916760171862e-42	1.18958380085931e-40	1.69658622309628	0.824277193427973	2.68418981495523	199
HALLMARK_G2M_CHECKPOINT	1.84161593619176e-39	4.60403984047939e-38	1.63441895776255	0.808189660593852	2.63076670549796	198
HALLMARK_MITOTIC_SPINDLE	1.3855615773625e-11	2.30926929560416e-10	0.875325132024659	0.622527119373264	2.02584290444726	197
HALLMARK_MYC_TARGETS_V1	9.02550709123018e-10	1.06989163435314e-08	0.801215574617779	0.596150673238948	1.94131486112325	199
HALLMARK_SPERMATOGENESIS	1.06989163435314e-09	1.06989163435314e-08	0.788186810800237	0.678177156307343	2.05836248600674	104
HALLMARK_FATTY_ACID_METABOLISM	2.06687962315392e-08	1.7223996859616e-07	0.73376198835648	-0.59248653703045	-2.05356933549499	146
HALLMARK_P53_PATHWAY	1.56296358974255e-07	1.11640256410182e-06	0.690132458796796	-0.53373569586792	-1.92100513702646	199
HALLMARK_MTORC1_SIGNALING	1.95134559156569e-06	1.21959099472856e-05	0.627256739718528	0.537822175803026	1.75137298236275	199
HALLMARK_ADIPOGENESIS	2.36387541937852e-06	1.31326412187696e-05	0.627256739718528	-0.507666520059056	-1.81561037018988	195
HALLMARK_COAGULATION	3.79055586865974e-06	1.89527793432987e-05	0.627256739718528	-0.560055023151397	-1.90693266263571	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.17968934564828e-05	0.000144531333893104	0.557332238758646	-0.47215663149513	-1.69937165830427	199
HALLMARK_XENOBIOTIC_METABOLISM	3.93274634817536e-05	0.000163864431173973	0.557332238758646	-0.475278138862497	-1.68515829649255	185
HALLMARK_BILE_ACID_METABOLISM	8.27090429134585e-05	0.000318111703513302	0.538434096309916	-0.537712367137959	-1.78898279559679	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000245569214763457	0.00087703290986949	0.49849310876659	-0.44520354583939	-1.60155029890315	197
HALLMARK_MYC_TARGETS_V2	0.00101630225943015	0.0033876741981005	0.45505986738723	0.610686575117468	1.67332430673724	57
HALLMARK_IL2_STAT5_SIGNALING	0.00172757417634062	0.00508110051864889	0.45505986738723	-0.416908107835862	-1.4957794373579	196
HALLMARK_PEROXISOME	0.00170603470880672	0.00508110051864889	0.45505986738723	-0.467967438628567	-1.54536976055812	103
HALLMARK_DNA_REPAIR	0.00326936242692788	0.00908156229702188	0.431707695803346	0.468267014896155	1.48401479339373	148
HALLMARK_ANGIOGENESIS	0.00360089028701887	0.00947602707110229	0.431707695803346	-0.637814991379032	-1.75790417237714	34
HALLMARK_HEME_METABOLISM	0.00755967296478252	0.0188991824119563	0.407017918923954	-0.38315738295255	-1.35764743037997	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0143040907909081	0.0340573590259717	0.380730400722792	-0.372608845231926	-1.33684291190378	196
HALLMARK_GLYCOLYSIS	0.018371035096651	0.0404543327882329	0.352487857583619	0.409706181737947	1.33469454513697	195
HALLMARK_PANCREAS_BETA_CELLS	0.0186089930825871	0.0404543327882329	0.352487857583619	-0.598988699495083	-1.56639608262835	26
HALLMARK_MYOGENESIS	0.0248583043532104	0.0517881340691883	0.352487857583619	-0.361404431154127	-1.28155258390357	182
HALLMARK_UV_RESPONSE_DN	0.0269912629078275	0.053982525815655	0.352487857583619	-0.38120529938586	-1.31681654453981	143
HALLMARK_KRAS_SIGNALING_UP	0.0387975304708452	0.0746106355208561	0.321775918075361	-0.344417391502995	-1.23569784898847	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0426271343076733	0.0789391376068024	0.321775918075361	-0.336718177415906	-1.21569009492691	200
HALLMARK_UV_RESPONSE_UP	0.0967741935483871	0.172811059907834	0.16823816568964	0.382420641730115	1.21877373029473	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.145953757225434	0.251644409009368	0.136490437780413	0.392959689609833	1.20141569858686	112
HALLMARK_HYPOXIA	0.181467181467181	0.302445302445302	0.206587922696891	-0.316997918156085	-1.12587431575272	193
HALLMARK_ALLOGRAFT_REJECTION	0.197031039136302	0.317791998606939	0.110564716336619	0.34740323952874	1.13242258659389	194
HALLMARK_NOTCH_SIGNALING	0.257372654155496	0.402144772117962	0.140406238523342	-0.418177338636133	-1.13145866837852	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.301587301587302	0.456950456950457	0.0888945288620449	0.360999285324619	1.09798283352917	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.316129032258064	0.464895635673624	0.13880510939114	-0.328071955864522	-1.04630668006196	85
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.353293413173653	0.490685296074518	0.125033367555272	-0.326831389081015	-1.02686672658412	73
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.34978229317852	0.490685296074518	0.0810802057550866	0.35736897581661	1.07298900383261	97
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.405184174624829	0.536975102192494	0.0702812841717392	0.314033993161155	1.02222314128084	198
HALLMARK_KRAS_SIGNALING_DN	0.412413793103448	0.536975102192494	0.0699458736501659	0.317588317538461	1.02384837204824	166
HALLMARK_PROTEIN_SECRETION	0.418840579710145	0.536975102192494	0.0716527366829457	0.339809132911956	1.01926679625287	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.451704545454545	0.564630681818182	0.105125131597001	-0.336305861927332	-0.98454029508285	48
HALLMARK_COMPLEMENT	0.471698113207547	0.575241601472618	0.120985142145252	-0.273886733369288	-0.979524104336964	195
HALLMARK_APICAL_SURFACE	0.572317262830482	0.665686867813608	0.0598603117764473	0.353328413946304	0.932021168835669	43
HALLMARK_INFLAMMATORY_RESPONSE	0.572490706319703	0.665686867813608	0.107140237276725	-0.264442182646561	-0.951289495823083	197
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.596546310832025	0.677893535036392	0.0583452776743612	0.352610678148088	0.920553695208208	41
HALLMARK_ANDROGEN_RESPONSE	0.667731629392971	0.735937044593413	0.0888945288620449	-0.275748022838639	-0.909964903480109	98
HALLMARK_APOPTOSIS	0.691780821917808	0.735937044593413	0.0908241419007155	-0.262742643912271	-0.927579647911483	160
HALLMARK_HEDGEHOG_SIGNALING	0.677777777777778	0.735937044593413	0.0529129848430583	0.342671249053483	0.875385303674949	35
HALLMARK_APICAL_JUNCTION	0.943472409152086	0.982783759533423	0.0298484971250709	0.242602768877298	0.791463679924875	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0747385227439092	-0.207892483478512	-0.750576743180732	200
HALLMARK_TGF_BETA_SIGNALING	0.98	1	0.0632191170859458	-0.223449032242178	-0.667845350562127	54
