pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	2.47982419661514e-43	1.23991209830757e-41	1.71479697260989	0.824277193427973	2.71746780243718	199
HALLMARK_G2M_CHECKPOINT	5.90455814954872e-39	1.47613953738718e-37	1.62169955075295	0.808189660593852	2.66166856879687	198
HALLMARK_MITOTIC_SPINDLE	1.92653960395354e-11	3.21089933992257e-10	0.863415391606693	0.622527119373264	2.04712094727287	197
HALLMARK_MYC_TARGETS_V1	5.64367855264095e-10	7.05459819080118e-09	0.801215574617779	0.596150673238948	1.96538285038655	199
HALLMARK_SPERMATOGENESIS	2.43877544067e-09	2.43877544067e-08	0.774939030136436	0.678177156307343	2.06954158671613	104
HALLMARK_P53_PATHWAY	6.93886554971039e-08	5.782387958092e-07	0.704975715167238	-0.53373569586792	-1.91381451864662	199
HALLMARK_FATTY_ACID_METABOLISM	1.03614533091982e-07	7.4010380779987e-07	0.704975715167238	-0.59248653703045	-2.059222893134	146
HALLMARK_MTORC1_SIGNALING	9.48943041320818e-07	5.93089400825512e-06	0.659444398037935	0.537822175803026	1.77308611451852	199
HALLMARK_ADIPOGENESIS	2.99819471456798e-06	1.66566373031554e-05	0.627256739718528	-0.507666520059056	-1.81916749183193	195
HALLMARK_COAGULATION	5.05978148201338e-06	2.52989074100669e-05	0.610526878385931	-0.560055023151397	-1.8909201650546	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.21977439424554e-05	0.00010089883610207	0.575610261071129	-0.47215663149513	-1.69301064820344	199
HALLMARK_XENOBIOTIC_METABOLISM	5.50298864377183e-05	0.000229291193490493	0.557332238758646	-0.475278138862497	-1.69328456093911	185
HALLMARK_BILE_ACID_METABOLISM	0.00015167382119079	0.000583360850733808	0.518848077743792	-0.537712367137959	-1.75333165902933	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000271247954893655	0.000968742696048766	0.49849310876659	-0.44520354583939	-1.59790838460161	197
HALLMARK_MYC_TARGETS_V2	0.000626014283366656	0.00208671427788885	0.477270815362862	0.610686575117468	1.70854907222552	57
HALLMARK_IL2_STAT5_SIGNALING	0.00150135072643342	0.00469172102010445	0.45505986738723	-0.416908107835862	-1.49445636399732	196
HALLMARK_ANGIOGENESIS	0.00312594994791415	0.00910341349772577	0.431707695803346	-0.637814991379032	-1.74595523459948	34
HALLMARK_DNA_REPAIR	0.00327722885918128	0.00910341349772577	0.431707695803346	0.468267014896155	1.48579590432208	148
HALLMARK_PEROXISOME	0.00420607649419624	0.011068622353148	0.407017918923954	-0.467967438628567	-1.54102443694182	103
HALLMARK_GLYCOLYSIS	0.0110859580887779	0.0277148952219447	0.380730400722792	0.409706181737947	1.34720096611245	195
HALLMARK_HEME_METABOLISM	0.0128903092119852	0.0306912124094887	0.380730400722792	-0.38315738295255	-1.36100512606968	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0143250553465867	0.0325569439695152	0.380730400722792	-0.372608845231926	-1.33566042389796	196
HALLMARK_PANCREAS_BETA_CELLS	0.0169949631802561	0.0369455721309915	0.352487857583619	-0.598988699495083	-1.55225897706349	26
HALLMARK_MYOGENESIS	0.0312339954727653	0.0636944742826267	0.352487857583619	-0.361404431154127	-1.28371616746047	182
HALLMARK_UV_RESPONSE_DN	0.0318472371413133	0.0636944742826267	0.321775918075361	-0.38120529938586	-1.31237687249819	143
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0430121317610759	0.0827156380020691	0.321775918075361	-0.336718177415906	-1.20951494388996	200
HALLMARK_KRAS_SIGNALING_UP	0.0449360196758114	0.0832148512515026	0.321775918075361	-0.344417391502995	-1.23460482760784	196
HALLMARK_UV_RESPONSE_UP	0.113505747126437	0.202688834154351	0.156312403073186	0.382420641730115	1.21942192075321	155
HALLMARK_HYPOXIA	0.132867132867133	0.225546058879392	0.231126709673834	-0.316997918156085	-1.13814972282428	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.135327635327635	0.225546058879392	0.141225119642531	0.392959689609833	1.21231204911059	112
HALLMARK_ALLOGRAFT_REJECTION	0.174581005586592	0.281582267075149	0.120985142145252	0.34740323952874	1.14044126611541	194
HALLMARK_NOTCH_SIGNALING	0.282115869017632	0.436720142602495	0.128788713061714	-0.418177338636133	-1.12865968605197	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.288235294117647	0.436720142602495	0.0925528864684773	0.360999285324619	1.09771298651211	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.316017316017316	0.464731347084288	0.0862865626267245	0.35736897581661	1.08570567895618	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.360606060606061	0.507146150299677	0.124434168630393	-0.328071955864522	-1.04080607889935	85
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.365145228215768	0.507146150299677	0.0762797180809272	0.314033993161155	1.03423051529345	198
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.425714285714286	0.545787545787546	0.109250039480711	-0.326831389081015	-1.02110918414567	73
HALLMARK_KRAS_SIGNALING_DN	0.415841584158416	0.545787545787546	0.0707899094502623	0.317588317538461	1.02279266552227	166
HALLMARK_PROTEIN_SECRETION	0.410480349344978	0.545787545787546	0.0728938564822936	0.339809132911956	1.02585627051394	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.474114441416894	0.592643051771117	0.0995791200495904	-0.336305861927332	-0.975560828721362	48
HALLMARK_COMPLEMENT	0.5	0.609756097560976	0.11331290842208	-0.273886733369288	-0.981443175987829	195
HALLMARK_APICAL_SURFACE	0.5810147299509	0.6916842023225	0.0615706755421678	0.353328413946304	0.933701475060323	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.597014925373134	0.694203401596668	0.0609039347452418	0.352610678148088	0.922841652138383	41
HALLMARK_HEDGEHOG_SIGNALING	0.641109298531811	0.712343665035345	0.0567672387487446	0.342671249053483	0.879853681443506	35
HALLMARK_INFLAMMATORY_RESPONSE	0.637010676156584	0.712343665035345	0.0978773277424561	-0.264442182646561	-0.949126270089793	197
HALLMARK_APOPTOSIS	0.663366336633663	0.721050365906156	0.0911073131586733	-0.262742643912271	-0.92095344571553	160
HALLMARK_ANDROGEN_RESPONSE	0.685064935064935	0.728792484111633	0.0883594442500905	-0.275748022838639	-0.892554615006595	98
HALLMARK_APICAL_JUNCTION	0.93986013986014	0.979020979020979	0.0319257308349884	0.242602768877298	0.795813488919696	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0732558655828455	-0.207892483478512	-0.746764155767786	200
HALLMARK_TGF_BETA_SIGNALING	0.981481481481482	1	0.059476028695732	-0.223449032242178	-0.671869105989	54
