pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	7.51876243916625e-43	3.75938121958312e-41	1.7026781142338	0.824277193427973	2.69813895383836	199
HALLMARK_G2M_CHECKPOINT	3.12577345850206e-38	7.81443364625515e-37	1.60887959037681	0.808189660593852	2.64588848336713	198
HALLMARK_MITOTIC_SPINDLE	1.19218332646776e-11	1.98697221077959e-10	0.875325132024659	0.622527119373264	2.03501816239849	197
HALLMARK_MYC_TARGETS_V1	1.20768503398514e-09	1.50960629248142e-08	0.788186810800237	0.596150673238948	1.95140344370516	199
HALLMARK_SPERMATOGENESIS	4.18788125585105e-09	4.18788125585105e-08	0.761460801445585	0.678177156307343	2.0576044275637	104
HALLMARK_FATTY_ACID_METABOLISM	4.1713579799222e-08	3.47613164993517e-07	0.719512826338911	-0.59248653703045	-2.09219444657411	146
HALLMARK_P53_PATHWAY	1.63594243439979e-07	1.16853031028557e-06	0.690132458796796	-0.53373569586792	-1.92598017357443	199
HALLMARK_ADIPOGENESIS	7.8718224110588e-07	4.91988900691175e-06	0.659444398037935	-0.507666520059056	-1.83690314409308	195
HALLMARK_MTORC1_SIGNALING	1.41407590624555e-06	7.85597725691971e-06	0.643551836150722	0.537822175803026	1.76047447914626	199
HALLMARK_COAGULATION	1.66754896665882e-05	8.3377448332941e-05	0.575610261071129	-0.560055023151397	-1.93729174869378	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.76107937662408e-05	0.000158350296806061	0.557332238758646	-0.47215663149513	-1.70377270645646	199
HALLMARK_XENOBIOTIC_METABOLISM	3.80040712334547e-05	0.000158350296806061	0.557332238758646	-0.475278138862497	-1.71067448536736	185
HALLMARK_BILE_ACID_METABOLISM	0.000226894558098191	0.000872671377300736	0.518848077743792	-0.537712367137959	-1.79099234950168	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000270401558471778	0.000965719851684923	0.49849310876659	-0.44520354583939	-1.60935855340082	197
HALLMARK_MYC_TARGETS_V2	0.000874131977809479	0.00291377325936493	0.477270815362862	0.610686575117468	1.71528360333465	57
HALLMARK_IL2_STAT5_SIGNALING	0.00246015126556153	0.0076879727048798	0.431707695803346	-0.416908107835862	-1.50411668974327	196
HALLMARK_DNA_REPAIR	0.00310366903568553	0.00912843834025155	0.431707695803346	0.468267014896155	1.48032036610244	148
HALLMARK_PEROXISOME	0.00737223558633351	0.0204784321842597	0.407017918923954	-0.467967438628567	-1.56035927790605	103
HALLMARK_ANGIOGENESIS	0.0111757575082309	0.029409888179555	0.380730400722792	-0.637814991379032	-1.7801802745855	34
HALLMARK_HEME_METABOLISM	0.0124665576209791	0.0311663940524477	0.380730400722792	-0.38315738295255	-1.37255541252752	183
HALLMARK_GLYCOLYSIS	0.0157108137285734	0.0374066993537461	0.352487857583619	0.409706181737947	1.33572157930662	195
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0326365826759646	0.0704997367724344	0.321775918075361	-0.372608845231926	-1.34429427570633	196
HALLMARK_PANCREAS_BETA_CELLS	0.0324425026520413	0.0704997367724344	0.321775918075361	-0.598988699495083	-1.5703371295731	26
HALLMARK_UV_RESPONSE_DN	0.0338398736507685	0.0704997367724344	0.321775918075361	-0.38120529938586	-1.33587698844622	143
HALLMARK_MYOGENESIS	0.053390343568813	0.106780687137626	0.321775918075361	-0.361404431154127	-1.29963718980043	182
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0586297929875954	0.112749601899222	0.321775918075361	-0.336718177415906	-1.21473267456537	200
HALLMARK_KRAS_SIGNALING_UP	0.0772050350728681	0.142972287171978	0.287805130535564	-0.344417391502995	-1.24258544523546	196
HALLMARK_UV_RESPONSE_UP	0.112792297111417	0.201414816270387	0.153158808683073	0.382420641730115	1.22108001770816	155
HALLMARK_HYPOXIA	0.123552123552124	0.213020902676075	0.252961123069611	-0.316997918156085	-1.14191045585387	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.135371179039301	0.225618631732169	0.142901149386948	0.392959689609833	1.20606007516464	112
HALLMARK_ALLOGRAFT_REJECTION	0.201351351351351	0.324760244115083	0.109250039480711	0.34740323952874	1.1333463517686	194
HALLMARK_NOTCH_SIGNALING	0.242506811989101	0.37891689373297	0.14641623786055	-0.418177338636133	-1.1523734899748	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.289897510980966	0.439238653001464	0.0919686140000427	0.360999285324619	1.09348862354246	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.318885448916409	0.459334176148335	0.135002033828631	-0.328071955864522	-1.06710768328372	85
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.321533923303835	0.459334176148335	0.0865399737444125	0.35736897581661	1.07166591889951	97
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.375384615384615	0.520571551662239	0.122679189568808	-0.326831389081015	-1.03616216224061	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.393288590604027	0.520571551662239	0.0709609456938284	0.314033993161155	1.02809893073905	198
HALLMARK_KRAS_SIGNALING_DN	0.395634379263302	0.520571551662239	0.0714786287425507	0.317588317538461	1.02312059323132	166
HALLMARK_PROTEIN_SECRETION	0.411851851851852	0.527286135693215	0.0736212741014394	0.339809132911956	1.01735389739987	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.421828908554572	0.527286135693215	0.111918316325105	-0.336305861927332	-1.00523765968842	48
HALLMARK_COMPLEMENT	0.450757575757576	0.54970436067997	0.124434168630393	-0.273886733369288	-0.991011582944064	195
HALLMARK_APICAL_SURFACE	0.551671732522796	0.656752062527138	0.0605092988656667	0.353328413946304	0.949500442840263	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.590214067278288	0.686295427067776	0.057609110864425	0.352610678148088	0.932518596381187	41
HALLMARK_INFLAMMATORY_RESPONSE	0.609195402298851	0.69226750261233	0.105125131597001	-0.264442182646561	-0.955927445995131	197
HALLMARK_ANDROGEN_RESPONSE	0.650306748466258	0.722563053851398	0.0880945010398517	-0.275748022838639	-0.921167655370497	98
HALLMARK_APOPTOSIS	0.690036900369004	0.734081808903195	0.0952879846194844	-0.262742643912271	-0.928612984054417	160
HALLMARK_HEDGEHOG_SIGNALING	0.681458003169572	0.734081808903195	0.0525898950623616	0.342671249053483	0.872478458145567	35
HALLMARK_APICAL_JUNCTION	0.937414965986395	0.976473922902494	0.0307037368093842	0.242602768877298	0.789028215622946	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.996138996138996	0.996138996138996	0.0774767547848578	-0.207892483478512	-0.749985624227132	200
HALLMARK_TGF_BETA_SIGNALING	0.978527607361963	0.996138996138996	0.0667426134241917	-0.223449032242178	-0.675384778627798	54
