pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	6.11711541099631e-42	3.05855770549816e-40	1.68433634284213	0.824277193427973	2.67819179554271	199
HALLMARK_G2M_CHECKPOINT	5.76891289476179e-39	1.44222822369045e-37	1.62807167569582	0.808189660593852	2.62931482914465	198
HALLMARK_MITOTIC_SPINDLE	2.67136193655201e-11	4.45226989425335e-10	0.863415391606693	0.622527119373264	2.02172077142659	197
HALLMARK_SPERMATOGENESIS	1.15469402103536e-09	1.4433675262942e-08	0.788186810800237	0.678177156307343	2.0374319149544	104
HALLMARK_MYC_TARGETS_V1	2.09357747793271e-09	2.09357747793271e-08	0.774939030136436	0.596150673238948	1.93697685039168	199
HALLMARK_FATTY_ACID_METABOLISM	7.51985617877139e-08	6.26654681564282e-07	0.704975715167238	-0.59248653703045	-2.01162445581906	146
HALLMARK_P53_PATHWAY	2.3305534973971e-07	1.66468106956935e-06	0.690132458796796	-0.53373569586792	-1.89705722135925	199
HALLMARK_ADIPOGENESIS	1.60249712050113e-06	1.00156070031321e-05	0.643551836150722	-0.507666520059056	-1.7840861075562	195
HALLMARK_MTORC1_SIGNALING	3.54137964736258e-06	1.96743313742365e-05	0.627256739718528	0.537822175803026	1.7474594107188	199
HALLMARK_COAGULATION	4.22418776347598e-06	2.11209388173799e-05	0.610526878385931	-0.560055023151397	-1.86362989379417	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.073754666143e-05	0.000185170666642864	0.557332238758646	-0.47215663149513	-1.6781867023789	199
HALLMARK_XENOBIOTIC_METABOLISM	5.43536234469382e-05	0.000226473431028909	0.557332238758646	-0.475278138862497	-1.66220952121626	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000124025504457999	0.000477021170992304	0.518848077743792	-0.44520354583939	-1.57544398197697	197
HALLMARK_BILE_ACID_METABOLISM	0.000163081681360915	0.00058243457628898	0.518848077743792	-0.537712367137959	-1.75676638471502	102
HALLMARK_MYC_TARGETS_V2	0.000580490160614287	0.00193496720204762	0.477270815362862	0.610686575117468	1.68982146345887	57
HALLMARK_IL2_STAT5_SIGNALING	0.0013820118024244	0.00431878688257625	0.45505986738723	-0.416908107835862	-1.47509488771445	196
HALLMARK_ANGIOGENESIS	0.00312953044441569	0.00920450130710497	0.431707695803346	-0.637814991379032	-1.74799882296173	34
HALLMARK_DNA_REPAIR	0.00409473612277979	0.0107756213757363	0.407017918923954	0.468267014896155	1.47443418948398	148
HALLMARK_PEROXISOME	0.0039446226522944	0.0107756213757363	0.407017918923954	-0.467967438628567	-1.53758184742991	103
HALLMARK_HEME_METABOLISM	0.00875010153065734	0.0218752538266433	0.380730400722792	-0.38315738295255	-1.34009555702401	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.014804332291268	0.0352484102173048	0.380730400722792	-0.372608845231926	-1.31835623339613	196
HALLMARK_GLYCOLYSIS	0.0167906095025209	0.0379168360732673	0.352487857583619	0.409706181737947	1.33135366064137	195
HALLMARK_MYOGENESIS	0.0174417445937029	0.0379168360732673	0.352487857583619	-0.361404431154127	-1.26336507432467	182
HALLMARK_PANCREAS_BETA_CELLS	0.0203665693132255	0.0424303527358865	0.352487857583619	-0.598988699495083	-1.54463966477558	26
HALLMARK_UV_RESPONSE_DN	0.0320588787767999	0.0641177575535997	0.321775918075361	-0.38120529938586	-1.28986150700785	143
HALLMARK_KRAS_SIGNALING_UP	0.0503325385361778	0.0967933433388034	0.321775918075361	-0.344417391502995	-1.21860986605238	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.112781954887218	0.202529144437858	0.261663521711573	-0.336718177415906	-1.19390517284345	200
HALLMARK_UV_RESPONSE_UP	0.113416320885201	0.202529144437858	0.153158808683073	0.382420641730115	1.21386744067453	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.144329896907216	0.248844649840028	0.13880510939114	0.392959689609833	1.19281178202846	112
HALLMARK_HYPOXIA	0.166666666666667	0.277777777777778	0.211400189384923	-0.316997918156085	-1.11889271435349	193
HALLMARK_ALLOGRAFT_REJECTION	0.207880434782609	0.335291023842917	0.107554375265169	0.34740323952874	1.12598671463626	194
HALLMARK_NOTCH_SIGNALING	0.251351351351351	0.392736486486486	0.142901149386948	-0.418177338636133	-1.13390815597654	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.309880239520958	0.469515514425694	0.0894366833718621	0.360999285324619	1.08258347872877	103
