pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.37895472598045e-43	6.89477362990223e-42	1.72082439707331	0.824277193427973	2.69285118643049	199
HALLMARK_G2M_CHECKPOINT	1.92536203601846e-38	4.81340509004614e-37	1.61530228892975	0.808189660593852	2.64126226138105	198
HALLMARK_MITOTIC_SPINDLE	1.0919471003371e-11	1.81991183389517e-10	0.875325132024659	0.622527119373264	2.0322160749409	197
HALLMARK_MYC_TARGETS_V1	2.61956717028685e-10	3.27445896285856e-09	0.814035837847908	0.596150673238948	1.94757911600901	199
HALLMARK_SPERMATOGENESIS	1.24479074258728e-09	1.24479074258728e-08	0.788186810800237	0.678177156307343	2.06418010084141	104
HALLMARK_FATTY_ACID_METABOLISM	4.44896365064607e-08	3.70746970887173e-07	0.719512826338911	-0.59248653703045	-2.08057990523386	146
HALLMARK_P53_PATHWAY	2.0132004904762e-07	1.43800035034014e-06	0.690132458796796	-0.53373569586792	-1.93142323609662	199
HALLMARK_MTORC1_SIGNALING	5.66359407607837e-07	3.53974629754898e-06	0.659444398037935	0.537822175803026	1.7570243308283	199
HALLMARK_ADIPOGENESIS	3.46593574683551e-06	1.92551985935306e-05	0.627256739718528	-0.507666520059056	-1.82771592102279	195
HALLMARK_COAGULATION	8.4460311181075e-06	4.22301555905375e-05	0.593325476396405	-0.560055023151397	-1.93749968110507	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.93207744366883e-05	0.000224185338348583	0.557332238758646	-0.47215663149513	-1.70858778269249	199
HALLMARK_XENOBIOTIC_METABOLISM	0.000129196268638067	0.000538317785991947	0.518848077743792	-0.475278138862497	-1.70742526405737	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000205089719285952	0.000788806612638277	0.518848077743792	-0.44520354583939	-1.60929915583267	197
HALLMARK_BILE_ACID_METABOLISM	0.000416330063873258	0.00148689308526164	0.49849310876659	-0.537712367137959	-1.79587196200408	102
HALLMARK_MYC_TARGETS_V2	0.00113748854276998	0.00379162847589994	0.45505986738723	0.610686575117468	1.69421431976636	57
HALLMARK_IL2_STAT5_SIGNALING	0.00174587757095196	0.00545586740922486	0.45505986738723	-0.416908107835862	-1.50537129646952	196
HALLMARK_DNA_REPAIR	0.00432910860762197	0.0127326723753587	0.407017918923954	0.468267014896155	1.48513447459724	148
HALLMARK_PEROXISOME	0.00981432447491614	0.0272620124303226	0.380730400722792	-0.467967438628567	-1.56145868800253	103
HALLMARK_ANGIOGENESIS	0.0108431354407983	0.0285345669494693	0.380730400722792	-0.637814991379032	-1.71567241591327	34
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0186091560472826	0.0443075143982918	0.352487857583619	-0.372608845231926	-1.34541557211362	196
HALLMARK_HEME_METABOLISM	0.0184540560722137	0.0443075143982918	0.352487857583619	-0.38315738295255	-1.37612536179124	183
HALLMARK_GLYCOLYSIS	0.0207042134604236	0.0470550305918717	0.352487857583619	0.409706181737947	1.33607604504755	195
HALLMARK_PANCREAS_BETA_CELLS	0.0309598891853503	0.0673041069246745	0.352487857583619	-0.598988699495083	-1.52832468808265	26
HALLMARK_UV_RESPONSE_DN	0.0418785861538446	0.0872470544871763	0.321775918075361	-0.38120529938586	-1.33137962968595	143
HALLMARK_MYOGENESIS	0.0441311437112278	0.0882622874224555	0.321775918075361	-0.361404431154127	-1.29739102196248	182
HALLMARK_KRAS_SIGNALING_UP	0.05858513945545	0.112663729722019	0.321775918075361	-0.344417391502995	-1.2436219047523	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0748365306905619	0.138586167945485	0.287805130535564	-0.336718177415906	-1.21541246822802	200
HALLMARK_UV_RESPONSE_UP	0.108288770053476	0.193372803666921	0.154190966581424	0.382420641730115	1.22057216481395	155
HALLMARK_HYPOXIA	0.118421052631579	0.204174228675136	0.276500599254472	-0.316997918156085	-1.14413100396524	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.141654978962132	0.236091631603553	0.136490437780413	0.392959689609833	1.20740117512633	112
HALLMARK_ALLOGRAFT_REJECTION	0.194587628865979	0.313851014299967	0.108394255853397	0.34740323952874	1.13313929824093	194
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.274928774928775	0.429576210826211	0.0934449219410994	0.360999285324619	1.09671112602373	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.301587301587302	0.443510737628385	0.141225119642531	-0.328071955864522	-1.05601711367515	85
HALLMARK_NOTCH_SIGNALING	0.293193717277487	0.443510737628385	0.128788713061714	-0.418177338636133	-1.11662997191953	32
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.310693641618497	0.443848059454996	0.0873098257637931	0.35736897581661	1.07768832612086	97
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.399390243902439	0.524628879892038	0.11776578836269	-0.326831389081015	-1.02200242351337	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.381748071979434	0.524628879892038	0.0702812841717392	0.314033993161155	1.02630134406555	198
HALLMARK_KRAS_SIGNALING_DN	0.409210526315789	0.524628879892038	0.0679922591544058	0.317588317538461	1.02212191135175	166
HALLMARK_PROTEIN_SECRETION	0.401449275362319	0.524628879892038	0.0738052724171275	0.339809132911956	1.02246616280315	96
HALLMARK_COMPLEMENT	0.497777777777778	0.607046070460705	0.128788713061714	-0.273886733369288	-0.986055064410666	195
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.497076023391813	0.607046070460705	0.100990587455923	-0.336305861927332	-0.974079640785689	48
HALLMARK_APICAL_SURFACE	0.546282245827011	0.650336006936917	0.0609039347452418	0.353328413946304	0.941777072453371	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.567441860465116	0.659816116819903	0.0601186142531851	0.352610678148088	0.927786347563034	41
HALLMARK_INFLAMMATORY_RESPONSE	0.615044247787611	0.698913917940467	0.11378726182188	-0.264442182646561	-0.95589216500352	197
HALLMARK_ANDROGEN_RESPONSE	0.656957928802589	0.72	0.0905428948469474	-0.275748022838639	-0.913986781613601	98
HALLMARK_HEDGEHOG_SIGNALING	0.6624	0.72	0.0543434390269162	0.342671249053483	0.876243311998755	35
HALLMARK_APOPTOSIS	0.685258964143426	0.728998898024922	0.10027910675413	-0.262742643912271	-0.929774045223311	160
HALLMARK_APICAL_JUNCTION	0.943371943371943	0.982679107679108	0.0275885895800029	0.242602768877298	0.789355731940364	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.995515695067265	0.995515695067265	0.0855356947987884	-0.207892483478512	-0.750405334246547	200
HALLMARK_TGF_BETA_SIGNALING	0.976539589442815	0.995515695067265	0.0646484568421928	-0.223449032242178	-0.670435785509123	54
