pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.36147844332069e-43	6.80739221660346e-42	1.72082439707331	0.824277193427973	2.73001001809947	199
HALLMARK_G2M_CHECKPOINT	2.08129086681795e-38	5.20322716704486e-37	1.61530228892975	0.808189660593852	2.67516726074089	198
HALLMARK_MITOTIC_SPINDLE	4.1063316784368e-12	6.843886130728e-11	0.887074988399873	0.622527119373264	2.056084107201	197
HALLMARK_MYC_TARGETS_V1	5.27160926952159e-10	6.58951158690199e-09	0.801215574617779	0.596150673238948	1.97445388907425	199
HALLMARK_SPERMATOGENESIS	2.50982219815145e-09	2.50982219815145e-08	0.774939030136436	0.678177156307343	2.07126507597563	104
HALLMARK_FATTY_ACID_METABOLISM	3.50350304635843e-08	2.91958587196536e-07	0.719512826338911	-0.59248653703045	-2.05740858147847	146
HALLMARK_P53_PATHWAY	2.31113664588071e-07	1.6508118899148e-06	0.690132458796796	-0.53373569586792	-1.92599648990918	199
HALLMARK_MTORC1_SIGNALING	9.93764721179645e-07	6.21102950737278e-06	0.643551836150722	0.537822175803026	1.78126962580655	199
HALLMARK_ADIPOGENESIS	1.72096599993164e-06	9.56092222184245e-06	0.643551836150722	-0.507666520059056	-1.84527252129731	195
HALLMARK_COAGULATION	4.47508592744694e-06	2.23754296372347e-05	0.610526878385931	-0.560055023151397	-1.88087476353439	127
HALLMARK_XENOBIOTIC_METABOLISM	3.20350724336849e-05	0.000145613965607659	0.557332238758646	-0.475278138862497	-1.71147955391105	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.5199030204913e-05	0.000146662625853804	0.557332238758646	-0.47215663149513	-1.70378714031523	199
HALLMARK_BILE_ACID_METABOLISM	0.000256800645997719	0.000968203825335557	0.49849310876659	-0.537712367137959	-1.74605991040054	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000271097071093956	0.000968203825335557	0.49849310876659	-0.44520354583939	-1.61365702612336	197
HALLMARK_MYC_TARGETS_V2	0.00174495030840148	0.00581650102800492	0.45505986738723	0.610686575117468	1.69585262968902	57
HALLMARK_IL2_STAT5_SIGNALING	0.00186499374558171	0.00582810545494284	0.45505986738723	-0.416908107835862	-1.51952242867356	196
HALLMARK_ANGIOGENESIS	0.00461860558978358	0.0121542252362726	0.407017918923954	-0.637814991379032	-1.70490186706716	34
HALLMARK_DNA_REPAIR	0.00424361314491547	0.0121542252362726	0.407017918923954	0.468267014896155	1.4999510828464	148
HALLMARK_PEROXISOME	0.00448621885505116	0.0121542252362726	0.407017918923954	-0.467967438628567	-1.51599475041222	103
HALLMARK_HEME_METABOLISM	0.0128416833386646	0.0321042083466614	0.380730400722792	-0.38315738295255	-1.36988859264222	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.015425094963832	0.0350570340087091	0.380730400722792	-0.372608845231926	-1.35806305229011	196
