pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	3.72092993887187e-43	1.86046496943593e-41	1.70874828719195	0.824277193427973	2.70869784063902	199
HALLMARK_G2M_CHECKPOINT	2.12916677402903e-37	5.32291693507258e-36	1.58945578468201	0.808189660593852	2.65331660655848	198
HALLMARK_MITOTIC_SPINDLE	1.82714663623346e-11	3.04524439372244e-10	0.863415391606693	0.622527119373264	2.0455507908215	197
HALLMARK_MYC_TARGETS_V1	6.82289616562076e-10	8.52862020702595e-09	0.801215574617779	0.596150673238948	1.95904005857823	199
HALLMARK_SPERMATOGENESIS	3.51737405250266e-09	3.51737405250266e-08	0.774939030136436	0.678177156307343	2.04988705638368	104
HALLMARK_FATTY_ACID_METABOLISM	4.43866119641156e-08	3.69888433034296e-07	0.719512826338911	-0.59248653703045	-2.04488606330532	146
HALLMARK_P53_PATHWAY	1.82695364461372e-07	1.3049668890098e-06	0.690132458796796	-0.53373569586792	-1.9238938140346	199
HALLMARK_MTORC1_SIGNALING	1.20069622727645e-06	7.50435142047783e-06	0.643551836150722	0.537822175803026	1.76736391332989	199
HALLMARK_ADIPOGENESIS	2.17152583076117e-06	1.20640323931176e-05	0.627256739718528	-0.507666520059056	-1.82972245107011	195
HALLMARK_COAGULATION	8.30413706130516e-06	4.15206853065258e-05	0.593325476396405	-0.560055023151397	-1.90393389046917	127
HALLMARK_XENOBIOTIC_METABOLISM	3.47697283883598e-05	0.00015804421994709	0.557332238758646	-0.475278138862497	-1.70452004562386	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.20533964793743e-05	0.000175222485330726	0.557332238758646	-0.47215663149513	-1.70192705794533	199
HALLMARK_BILE_ACID_METABOLISM	0.000111473033186515	0.000428742435332751	0.538434096309916	-0.537712367137959	-1.78634520444207	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000183968985315536	0.000657032090412628	0.518848077743792	-0.44520354583939	-1.60495221654714	197
HALLMARK_MYC_TARGETS_V2	0.00100520539108282	0.00335068463694275	0.45505986738723	0.610686575117468	1.69213353680923	57
HALLMARK_IL2_STAT5_SIGNALING	0.00120177946484269	0.00375556082763341	0.45505986738723	-0.416908107835862	-1.50281986357511	196
HALLMARK_DNA_REPAIR	0.00282693652884724	0.00831451920249189	0.431707695803346	0.468267014896155	1.49158960140562	148
HALLMARK_ANGIOGENESIS	0.00331578592613766	0.0092105164614935	0.431707695803346	-0.637814991379032	-1.75687728126129	34
HALLMARK_PEROXISOME	0.00429954486073393	0.0113145917387735	0.407017918923954	-0.467967438628567	-1.55960590300476	103
