pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	3.88840999631076e-43	1.94420499815538e-41	1.70874828719195	0.824277193427973	2.71434668348968	199
HALLMARK_G2M_CHECKPOINT	1.69105611631553e-38	4.22764029078883e-37	1.61530228892975	0.808189660593852	2.66294300282002	198
HALLMARK_MITOTIC_SPINDLE	1.77674161538061e-11	2.96123602563434e-10	0.863415391606693	0.622527119373264	2.05153466553258	197
HALLMARK_MYC_TARGETS_V1	3.29844882915928e-10	4.12306103644909e-09	0.814035837847908	0.596150673238948	1.96312553066855	199
HALLMARK_SPERMATOGENESIS	1.03098758420207e-08	1.03098758420207e-07	0.747739663149885	0.678177156307343	2.07143813917698	104
HALLMARK_FATTY_ACID_METABOLISM	5.85783134940904e-08	4.88152612450753e-07	0.719512826338911	-0.59248653703045	-2.07728283237527	146
HALLMARK_P53_PATHWAY	1.69203652149292e-07	1.20859751535208e-06	0.690132458796796	-0.53373569586792	-1.9314863473835	199
HALLMARK_MTORC1_SIGNALING	1.29348266829655e-06	8.08426667685343e-06	0.643551836150722	0.537822175803026	1.77104965518582	199
HALLMARK_COAGULATION	2.62570889911781e-06	1.45872716617656e-05	0.627256739718528	-0.560055023151397	-1.91101200363382	127
HALLMARK_ADIPOGENESIS	4.97423012704679e-06	2.4871150635234e-05	0.610526878385931	-0.507666520059056	-1.82912022526994	195
HALLMARK_XENOBIOTIC_METABOLISM	3.47697183096918e-05	0.000158044174134963	0.557332238758646	-0.475278138862497	-1.70904151743563	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.661987499904e-05	0.000194249479162667	0.557332238758646	-0.47215663149513	-1.70864361259642	199
HALLMARK_BILE_ACID_METABOLISM	0.000209867689173792	0.000749527461334973	0.518848077743792	-0.537712367137959	-1.75966699284394	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000207722945297016	0.000749527461334973	0.518848077743792	-0.44520354583939	-1.60651096155134	197
HALLMARK_MYC_TARGETS_V2	0.00067796360258842	0.00225987867529473	0.477270815362862	0.610686575117468	1.71501462274735	57
