pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	3.67190582900531e-43	1.83595291450265e-41	1.70874828719195	0.824277193427973	2.70720351819787	199
HALLMARK_G2M_CHECKPOINT	7.52290059475626e-39	1.88072514868907e-37	1.62169955075295	0.808189660593852	2.65486051901657	198
HALLMARK_MITOTIC_SPINDLE	1.73918829193795e-11	2.89864715322992e-10	0.863415391606693	0.622527119373264	2.0433558009444	197
HALLMARK_MYC_TARGETS_V1	7.56808827113083e-10	9.46011033891354e-09	0.801215574617779	0.596150673238948	1.95795930402572	199
HALLMARK_SPERMATOGENESIS	3.93665787171707e-09	3.93665787171707e-08	0.761460801445585	0.678177156307343	2.05918382851807	104
HALLMARK_FATTY_ACID_METABOLISM	4.45434551159322e-08	3.71195459299435e-07	0.719512826338911	-0.59248653703045	-2.0418986027023	146
HALLMARK_P53_PATHWAY	1.51526625745033e-07	1.08233304103595e-06	0.690132458796796	-0.53373569586792	-1.9056129296819	199
HALLMARK_MTORC1_SIGNALING	1.54597243960206e-06	9.66232774751289e-06	0.643551836150722	0.537822175803026	1.76638890182519	199
HALLMARK_ADIPOGENESIS	4.23002884918397e-06	2.35001602732443e-05	0.610526878385931	-0.507666520059056	-1.80702559201709	195
HALLMARK_COAGULATION	4.79053135021936e-06	2.39526567510968e-05	0.610526878385931	-0.560055023151397	-1.90271368476851	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.83339015941005e-05	0.000128790461791366	0.575610261071129	-0.47215663149513	-1.68575530693909	199
HALLMARK_XENOBIOTIC_METABOLISM	7.12861668764192e-05	0.000297025695318413	0.538434096309916	-0.475278138862497	-1.6802993433149	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000186891681408848	0.0007188141592648	0.518848077743792	-0.44520354583939	-1.58742198898654	197
HALLMARK_BILE_ACID_METABOLISM	0.000335852439080527	0.00119947299671617	0.49849310876659	-0.537712367137959	-1.76827049003724	102
HALLMARK_MYC_TARGETS_V2	0.000411283699180996	0.00137094566393665	0.49849310876659	0.610686575117468	1.70225251235123	57
HALLMARK_IL2_STAT5_SIGNALING	0.0024986701876587	0.00780834433643343	0.431707695803346	-0.416908107835862	-1.48449079114478	196
HALLMARK_ANGIOGENESIS	0.00348680939214081	0.0102553217415906	0.431707695803346	-0.637814991379032	-1.71294559318137	34
HALLMARK_PEROXISOME	0.0040526940424532	0.0112574834512589	0.407017918923954	-0.467967438628567	-1.54911966837248	103
HALLMARK_DNA_REPAIR	0.00649759485141105	0.0170989338195028	0.407017918923954	0.468267014896155	1.48779525829344	148
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0212021413309368	0.0504812888831828	0.352487857583619	-0.372608845231926	-1.32675375952068	196
HALLMARK_HEME_METABOLISM	0.0211198116743305	0.0504812888831828	0.352487857583619	-0.38315738295255	-1.35324411407918	183
HALLMARK_GLYCOLYSIS	0.0224428438713274	0.0510064633439259	0.352487857583619	0.409706181737947	1.34167827181841	195
HALLMARK_PANCREAS_BETA_CELLS	0.0246013321094694	0.0534811567597161	0.352487857583619	-0.598988699495083	-1.52621615654248	26
HALLMARK_MYOGENESIS	0.0376988409631312	0.0785392520065233	0.321775918075361	-0.361404431154127	-1.27681144161948	182
