pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.17216855250479e-42	5.86084276252395e-41	1.7026781142338	0.824277193427973	2.70421878926231	199
HALLMARK_G2M_CHECKPOINT	8.72491220582747e-39	2.18122805145687e-37	1.62169955075295	0.808189660593852	2.64879774092337	198
HALLMARK_MITOTIC_SPINDLE	7.75496163361333e-12	1.29249360560222e-10	0.875325132024659	0.622527119373264	2.03633826636241	197
HALLMARK_MYC_TARGETS_V1	6.9108799544897e-10	8.63859994311212e-09	0.801215574617779	0.596150673238948	1.95580062709209	199
HALLMARK_SPERMATOGENESIS	3.99487491072648e-09	3.99487491072648e-08	0.761460801445585	0.678177156307343	2.07986598799879	104
HALLMARK_FATTY_ACID_METABOLISM	5.06725828622426e-08	4.22271523852022e-07	0.719512826338911	-0.59248653703045	-2.05157513060642	146
HALLMARK_P53_PATHWAY	2.24120913687293e-07	1.60086366919495e-06	0.690132458796796	-0.53373569586792	-1.92188541830091	199
HALLMARK_MTORC1_SIGNALING	1.82356996827071e-06	1.13973123016919e-05	0.643551836150722	0.537822175803026	1.76444143388224	199
HALLMARK_ADIPOGENESIS	2.90618054411548e-06	1.61454474673082e-05	0.627256739718528	-0.507666520059056	-1.83085642872298	195
HALLMARK_COAGULATION	4.54286653208265e-06	2.27143326604132e-05	0.610526878385931	-0.560055023151397	-1.88369449149079	127
HALLMARK_XENOBIOTIC_METABOLISM	3.43931323181985e-05	0.000156332419628175	0.557332238758646	-0.475278138862497	-1.69408164555992	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.58021219124236e-05	0.000274175507968432	0.538434096309916	-0.47215663149513	-1.70015037826723	199
HALLMARK_BILE_ACID_METABOLISM	9.36377645646852e-05	0.000360145248325712	0.538434096309916	-0.537712367137959	-1.74481132487403	102
HALLMARK_MYC_TARGETS_V2	0.000506439315275114	0.00180871184026826	0.477270815362862	0.610686575117468	1.70101330292394	57
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000658246239348256	0.00219415413116085	0.477270815362862	-0.44520354583939	-1.60590126099308	197
HALLMARK_DNA_REPAIR	0.0020282527448487	0.00633828982765217	0.431707695803346	0.468267014896155	1.49742520795262	148
HALLMARK_IL2_STAT5_SIGNALING	0.00220228970582738	0.00647732266419818	0.431707695803346	-0.416908107835862	-1.50436720649807	196
HALLMARK_PEROXISOME	0.0026009567458957	0.00722487984971027	0.431707695803346	-0.467967438628567	-1.52225435998484	103
HALLMARK_ANGIOGENESIS	0.00307111151923632	0.00808187241904296	0.431707695803346	-0.637814991379032	-1.71259652905503	34
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0136423357009373	0.0324817516688983	0.380730400722792	-0.372608845231926	-1.34451817338777	196
HALLMARK_HEME_METABOLISM	0.0135939586239836	0.0324817516688983	0.380730400722792	-0.38315738295255	-1.36363680869732	183
HALLMARK_UV_RESPONSE_DN	0.0176817027971139	0.0401856881752589	0.352487857583619	-0.38120529938586	-1.31592900406348	143
HALLMARK_GLYCOLYSIS	0.0188309497444114	0.0409368472704596	0.352487857583619	0.409706181737947	1.34005668365354	195
HALLMARK_PANCREAS_BETA_CELLS	0.0257078109905063	0.0535579395635548	0.352487857583619	-0.598988699495083	-1.52959636643964	26
HALLMARK_MYOGENESIS	0.0326940665744475	0.065388133148895	0.321775918075361	-0.361404431154127	-1.28983402156864	182
HALLMARK_KRAS_SIGNALING_UP	0.04711829721328	0.0906121100255386	0.321775918075361	-0.344417391502995	-1.24279240289734	196
HALLMARK_UV_RESPONSE_UP	0.0688202247191011	0.127444860590928	0.20207170902116	0.382420641730115	1.23569499818244	155
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0721443827782788	0.128829254961212	0.287805130535564	-0.336718177415906	-1.21350792921603	200
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.10966810966811	0.189082947703637	0.159646701919906	0.392959689609833	1.21612299285513	112
HALLMARK_HYPOXIA	0.144366197183099	0.240610328638498	0.222056046145248	-0.316997918156085	-1.14192772429752	193
HALLMARK_ALLOGRAFT_REJECTION	0.187239944521498	0.301999910518545	0.115734447701689	0.34740323952874	1.13587200523111	194
HALLMARK_NOTCH_SIGNALING	0.260526315789474	0.394736842105263	0.138022242496643	-0.418177338636133	-1.12003384880195	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.257686676427526	0.394736842105263	0.0988903007520636	0.360999285324619	1.10542739059669	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.313696612665685	0.461318548037772	0.0878312634480124	0.35736897581661	1.0782870937424	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.367601246105919	0.52514463729417	0.125033367555272	-0.328071955864522	-1.05040117758999	85
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.387586206896552	0.528648060328073	0.0730744399126987	0.314033993161155	1.02922936560114	198
HALLMARK_KRAS_SIGNALING_DN	0.392807745504841	0.528648060328073	0.0725351864394589	0.317588317538461	1.02975817146626	166
HALLMARK_PROTEIN_SECRETION	0.401772525849335	0.528648060328073	0.0747385227439092	0.339809132911956	1.02398157653618	96
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.428571428571429	0.549450549450549	0.110122263835536	-0.326831389081015	-1.01512556456402	73
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.452127659574468	0.565159574468085	0.100990587455923	-0.336305861927332	-0.976042715145618	48
HALLMARK_COMPLEMENT	0.480565371024735	0.586055330517969	0.115240003147781	-0.273886733369288	-0.987749372309927	195
HALLMARK_APICAL_SURFACE	0.583198707592892	0.662725804082832	0.0607719451853533	0.353328413946304	0.937892672289768	43
HALLMARK_INFLAMMATORY_RESPONSE	0.576512455516014	0.662725804082832	0.103958471559957	-0.264442182646561	-0.953873882049171	197
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.577170418006431	0.662725804082832	0.0610363728309177	0.352610678148088	0.932280839674434	41
HALLMARK_APOPTOSIS	0.651724137931034	0.714186176142698	0.0946646223153342	-0.262742643912271	-0.923736449454303	160
HALLMARK_HEDGEHOG_SIGNALING	0.657051282051282	0.714186176142698	0.0547939500773363	0.342671249053483	0.882623098287548	35
HALLMARK_ANDROGEN_RESPONSE	0.70625	0.751329787234043	0.0845557442441281	-0.275748022838639	-0.901453358451575	98
HALLMARK_APICAL_JUNCTION	0.954230235783634	0.993989828941285	0.0307752597613667	0.242602768877298	0.792250309241892	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.996336996336996	0.996336996336996	0.0747385227439092	-0.207892483478512	-0.749229456697785	200
HALLMARK_TGF_BETA_SIGNALING	0.983695652173913	0.996336996336996	0.060640400949416	-0.223449032242178	-0.662003408081796	54
