pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.89674937207885e-43	9.48374686039423e-42	1.71479697260989	0.824277193427973	2.6948139166171	199
HALLMARK_G2M_CHECKPOINT	6.87333727372488e-38	1.71833431843122e-36	1.60243114923556	0.808189660593852	2.64464860453671	198
HALLMARK_MITOTIC_SPINDLE	1.25232201920031e-11	2.08720336533384e-10	0.875325132024659	0.622527119373264	2.03643363661524	197
HALLMARK_MYC_TARGETS_V1	8.71633293527236e-10	1.08954161690905e-08	0.801215574617779	0.596150673238948	1.94899864202703	199
HALLMARK_SPERMATOGENESIS	2.57597812362046e-09	2.57597812362046e-08	0.774939030136436	0.678177156307343	2.05328303136025	104
HALLMARK_FATTY_ACID_METABOLISM	1.73189888855147e-08	1.44324907379289e-07	0.73376198835648	-0.59248653703045	-2.06673423740301	146
HALLMARK_P53_PATHWAY	1.60123740840293e-07	1.14374100600209e-06	0.690132458796796	-0.53373569586792	-1.93834661806759	199
HALLMARK_MTORC1_SIGNALING	2.08761864577105e-06	1.30476165360691e-05	0.627256739718528	0.537822175803026	1.75830496776438	199
HALLMARK_ADIPOGENESIS	4.22826212453072e-06	2.34903451362818e-05	0.610526878385931	-0.507666520059056	-1.83113265318749	195
HALLMARK_COAGULATION	4.88977633998714e-06	2.44488816999357e-05	0.610526878385931	-0.560055023151397	-1.91158637433549	127
HALLMARK_XENOBIOTIC_METABOLISM	3.58823705854656e-05	0.000163101684479389	0.557332238758646	-0.475278138862497	-1.7071253005986	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.37839889270852e-05	0.000182433287196188	0.557332238758646	-0.47215663149513	-1.71471238843888	199
HALLMARK_BILE_ACID_METABOLISM	0.000303279690847012	0.00116646034941159	0.49849310876659	-0.537712367137959	-1.78098355664425	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000366160811858617	0.00130771718520935	0.49849310876659	-0.44520354583939	-1.61438581262757	197
HALLMARK_MYC_TARGETS_V2	0.00120090036935261	0.00400300123117536	0.45505986738723	0.610686575117468	1.68199039110427	57
HALLMARK_IL2_STAT5_SIGNALING	0.00171783488413889	0.00536823401293404	0.45505986738723	-0.416908107835862	-1.50401497182354	196
HALLMARK_ANGIOGENESIS	0.00329229855986232	0.0096534097837345	0.431707695803346	-0.637814991379032	-1.72494370554956	34
HALLMARK_DNA_REPAIR	0.00347522752214442	0.0096534097837345	0.431707695803346	0.468267014896155	1.47731395882947	148
HALLMARK_PEROXISOME	0.0071701549905692	0.0188688289225505	0.407017918923954	-0.467967438628567	-1.55564950215737	103
