gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1970	PGC	protein_coding	76211.2628347824	-5.03452979271482	0.263926230696433	-19.0755188653663	4.03398954287717e-81	9.60654269740769e-77
5942	EDA2R	protein_coding	164.346371081428	-2.10360784893525	0.112984555217938	-18.6185434361144	2.27313215696077e-77	2.70661845929319e-73
13621	GKN2	protein_coding	772.227275877967	-4.09418923413696	0.231426583914482	-17.6910930666888	4.91134039192762e-70	3.89862200311215e-66
7227	COL2A1	protein_coding	139.403346319691	4.08088884023697	0.241963447710109	16.8657244673013	8.04101341661476e-64	4.7872173375816e-60
1037	PLA2G10	protein_coding	285.336586102426	-2.150427459743	0.155999182386638	-13.7848636566136	3.14359938324531e-43	1.49723351425208e-39
7355	DUOX2	protein_coding	584.587833630992	-2.30878620619005	0.17189288738503	-13.431540078901	3.95108049113567e-41	1.56818384693175e-37
6575	FAIM2	protein_coding	270.862399865326	-2.10892897746393	0.157872762244226	-13.3584093132003	1.05800927497303e-40	3.59934755345826e-37
12210	TNFRSF10C	protein_coding	145.342130348437	-1.30621970430659	0.0989538631797996	-13.2002901385789	8.73977833393335e-40	2.60161351555361e-36
6354	REG4	protein_coding	159.637339027084	-3.95876946128607	0.302896641942545	-13.0697040280724	4.90560187507044e-39	1.29802225614364e-35
1986	CDC7	protein_coding	513.829679820439	0.92216410299539	0.0730541693354736	12.6230181163337	1.57660927520791e-36	3.75453732798011e-33
11673	HSD17B13	protein_coding	102.807131616915	-2.13089541795713	0.168976610730393	-12.6105939085086	1.84596664437914e-36	3.99634996993135e-33
5355	PCSK2	protein_coding	894.984424608588	-3.40408987395205	0.277705162984596	-12.257927931073	1.52345732520849e-34	3.02330106187625e-31
7354	DUOXA2	protein_coding	60.0103385879923	-2.25689233225044	0.185177419968856	-12.1877296520818	3.61348487875398e-34	6.61934837712671e-31
9230	SASS6	protein_coding	319.339735266162	0.73152375866284	0.0601242908984795	12.1668588141526	4.66699092599273e-34	7.93855156511364e-31
5506	AUNIP	protein_coding	137.82695561986	1.12734566252204	0.0951556757111838	11.8473822406953	2.22018349132329e-32	3.34530428163774e-29
10783	ASPG	protein_coding	196.952828609652	-2.37565578499659	0.200539005635035	-11.8463526707622	2.24762192433878e-32	3.34530428163774e-29
11996	C5orf34	protein_coding	154.072659722	0.912039733887461	0.0771853489480037	11.8162286796405	3.21809450783287e-32	4.50798250644306e-29
4902	GPSM2	protein_coding	836.41316365502	0.786602068167562	0.0669911979533857	11.7418719503255	7.77462975482846e-32	1.02858351656381e-28
177	CACNA2D2	protein_coding	2474.01513922842	-1.79381368901367	0.15394728780441	-11.6521292099196	2.23796213623607e-31	2.80499106906978e-28
