pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	4.57383996092145e-42	2.28691998046072e-40	1.69047237898449	0.824277193427973	2.69683179904145	199
HALLMARK_G2M_CHECKPOINT	4.99746136202731e-39	1.24936534050683e-37	1.62807167569582	0.808189660593852	2.64512158886905	198
HALLMARK_MITOTIC_SPINDLE	9.74747328844698e-12	1.62457888140783e-10	0.875325132024659	0.622527119373264	2.03992419719892	197
HALLMARK_MYC_TARGETS_V1	1.12824521773347e-09	1.41030652216684e-08	0.788186810800237	0.596150673238948	1.95045805637864	199
HALLMARK_SPERMATOGENESIS	1.44044586672982e-09	1.44044586672982e-08	0.788186810800237	0.678177156307343	2.06150769810402	104
HALLMARK_P53_PATHWAY	5.42619291120561e-08	4.52182742600468e-07	0.719512826338911	-0.53373569586792	-1.88605255838757	199
HALLMARK_FATTY_ACID_METABOLISM	8.6773835105747e-08	6.19813107898193e-07	0.704975715167238	-0.59248653703045	-2.04057917164317	146
HALLMARK_MTORC1_SIGNALING	1.95339526501019e-06	1.22087204063137e-05	0.627256739718528	0.537822175803026	1.75962159028485	199
HALLMARK_ADIPOGENESIS	3.23670700096386e-06	1.79817055609103e-05	0.627256739718528	-0.507666520059056	-1.79921444380643	195
HALLMARK_COAGULATION	1.18395528927026e-05	5.91977644635132e-05	0.593325476396405	-0.560055023151397	-1.8990317101851	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.71005982105096e-05	7.77299918659527e-05	0.575610261071129	-0.47215663149513	-1.66845168813933	199
HALLMARK_XENOBIOTIC_METABOLISM	0.000105866706358808	0.000441111276495032	0.538434096309916	-0.475278138862497	-1.6778717585763	185
HALLMARK_BILE_ACID_METABOLISM	0.000153652556862979	0.00059097137254992	0.518848077743792	-0.537712367137959	-1.75676981270745	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000176666591477331	0.000630952112419038	0.518848077743792	-0.44520354583939	-1.57216150848622	197
