pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	2.79914135459582e-42	1.39957067729791e-40	1.69658622309628	0.824277193427973	2.67406995228655	199
HALLMARK_G2M_CHECKPOINT	4.09980504618193e-38	1.02495126154548e-36	1.60887959037681	0.808189660593852	2.61852459639606	198
HALLMARK_MITOTIC_SPINDLE	8.95583786396724e-12	1.49263964399454e-10	0.875325132024659	0.622527119373264	2.01519018728858	197
HALLMARK_MYC_TARGETS_V1	3.01983332651976e-09	3.38478471015828e-08	0.774939030136436	0.596150673238948	1.93399576629554	199
HALLMARK_SPERMATOGENESIS	3.38478471015828e-09	3.38478471015828e-08	0.774939030136436	0.678177156307343	2.04918138589536	104
HALLMARK_FATTY_ACID_METABOLISM	7.73385862448861e-08	6.44488218707384e-07	0.704975715167238	-0.59248653703045	-2.04860517192077	146
HALLMARK_P53_PATHWAY	1.50440018403073e-07	1.07457156002195e-06	0.690132458796796	-0.53373569586792	-1.93052016528157	199
HALLMARK_ADIPOGENESIS	2.90618054411548e-06	1.81636284007217e-05	0.627256739718528	-0.507666520059056	-1.8318731481838	195
HALLMARK_MTORC1_SIGNALING	4.43399787781372e-06	2.46333215434096e-05	0.610526878385931	0.537822175803026	1.74477000146907	199
HALLMARK_COAGULATION	1.28016323079578e-05	6.40081615397888e-05	0.593325476396405	-0.560055023151397	-1.89822058742028	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.04865519353848e-05	0.000138575236069931	0.575610261071129	-0.47215663149513	-1.70778890250266	199
HALLMARK_XENOBIOTIC_METABOLISM	6.71855636533364e-05	0.000279939848555569	0.538434096309916	-0.475278138862497	-1.68968009195812	185
HALLMARK_BILE_ACID_METABOLISM	0.000148663837484311	0.000571783990324273	0.518848077743792	-0.537712367137959	-1.7511968574007	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000324046280622152	0.00115730814507911	0.49849310876659	-0.44520354583939	-1.60962853226281	197
HALLMARK_MYC_TARGETS_V2	0.00117378439665006	0.00391261465550021	0.45505986738723	0.610686575117468	1.68950619174496	57
HALLMARK_IL2_STAT5_SIGNALING	0.00238109803975271	0.00744093137422721	0.431707695803346	-0.416908107835862	-1.50352282079227	196
