pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	4.447789253337e-42	2.2238946266685e-40	1.69047237898449	0.824277193427973	2.69109442410753	199
HALLMARK_G2M_CHECKPOINT	1.99098875616201e-38	4.97747189040502e-37	1.61530228892975	0.808189660593852	2.64201800007004	198
HALLMARK_MITOTIC_SPINDLE	1.19087373719839e-11	1.98478956199731e-10	0.875325132024659	0.622527119373264	2.03376802811484	197
HALLMARK_MYC_TARGETS_V1	7.74624229620166e-10	9.68280287025207e-09	0.801215574617779	0.596150673238948	1.9463085542976	199
HALLMARK_SPERMATOGENESIS	1.29643422236156e-09	1.29643422236156e-08	0.788186810800237	0.678177156307343	2.06367497852169	104
HALLMARK_FATTY_ACID_METABOLISM	4.62408012455897e-08	3.85340010379914e-07	0.719512826338911	-0.59248653703045	-2.07190232712686	146
HALLMARK_P53_PATHWAY	2.01295967149751e-07	1.43782833678394e-06	0.690132458796796	-0.53373569586792	-1.90393766933252	199
HALLMARK_ADIPOGENESIS	8.12446540916589e-07	5.07779088072868e-06	0.659444398037935	-0.507666520059056	-1.81429162597581	195
HALLMARK_MTORC1_SIGNALING	1.92204129461074e-06	1.06780071922819e-05	0.627256739718528	0.537822175803026	1.75587808325231	199
HALLMARK_COAGULATION	1.43372287057013e-05	7.16861435285065e-05	0.593325476396405	-0.560055023151397	-1.91626180722688	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.89671776719908e-05	0.000216748140641272	0.557332238758646	-0.47215663149513	-1.68427332758195	199
HALLMARK_XENOBIOTIC_METABOLISM	5.20195537539054e-05	0.000216748140641272	0.557332238758646	-0.475278138862497	-1.69301088729677	185
HALLMARK_BILE_ACID_METABOLISM	0.000423698546904984	0.0016296097957884	0.49849310876659	-0.537712367137959	-1.76625290643473	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000458733361630253	0.00163833343439376	0.49849310876659	-0.44520354583939	-1.58447058611221	197
HALLMARK_MYC_TARGETS_V2	0.00060984286095076	0.00203280953650253	0.477270815362862	0.610686575117468	1.70152151187804	57
HALLMARK_IL2_STAT5_SIGNALING	0.00120689828473024	0.00377155713978201	0.45505986738723	-0.416908107835862	-1.4844653750089	196
HALLMARK_PEROXISOME	0.0027170108690678	0.00799120843843469	0.431707695803346	-0.467967438628567	-1.53627164417667	103
HALLMARK_DNA_REPAIR	0.00322598511939697	0.00896106977610268	0.431707695803346	0.468267014896155	1.48350991588164	148
HALLMARK_ANGIOGENESIS	0.00426210572681358	0.011216067702141	0.407017918923954	-0.637814991379032	-1.721328691867	34
HALLMARK_HEME_METABOLISM	0.0124185353442657	0.0310463383606642	0.380730400722792	-0.38315738295255	-1.35647618626013	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0162830451571801	0.038769155136143	0.352487857583619	-0.372608845231926	-1.32673104401848	196
HALLMARK_GLYCOLYSIS	0.0205381989771194	0.0448200640690149	0.352487857583619	0.409706181737947	1.33417412746434	195
HALLMARK_PANCREAS_BETA_CELLS	0.0215136307531272	0.0448200640690149	0.352487857583619	-0.598988699495083	-1.54067510950662	26
HALLMARK_UV_RESPONSE_DN	0.0210540259123105	0.0448200640690149	0.352487857583619	-0.38120529938586	-1.32389622370573	143
HALLMARK_MYOGENESIS	0.0270273655340789	0.0540547310681578	0.352487857583619	-0.361404431154127	-1.28011619700954	182
HALLMARK_KRAS_SIGNALING_UP	0.0520508894578149	0.100097864341952	0.321775918075361	-0.344417391502995	-1.22635104145869	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0576611011784866	0.106779816997197	0.321775918075361	-0.336718177415906	-1.19890554552651	200
HALLMARK_UV_RESPONSE_UP	0.10562414266118	0.188614540466392	0.158514105424824	0.382420641730115	1.2154144184304	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.134094151212553	0.231196812435437	0.142056643575821	0.392959689609833	1.20733000571816	112
HALLMARK_HYPOXIA	0.139917695473251	0.233196159122085	0.245041785430996	-0.316997918156085	-1.12757555256331	193
HALLMARK_ALLOGRAFT_REJECTION	0.182058047493404	0.293642012086135	0.114266502484433	0.34740323952874	1.13271746905246	194
HALLMARK_NOTCH_SIGNALING	0.260989010989011	0.406926406926407	0.141225119642531	-0.418177338636133	-1.11144868071071	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.268571428571429	0.406926406926407	0.0949751525905595	0.360999285324619	1.10129706297759	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.317784256559767	0.455396132252027	0.130777137971974	-0.328071955864522	-1.05675920798591	85
