pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.48969149539403e-42	7.44845747697016e-41	1.69658622309628	0.824277193427973	2.69105300351199	199
HALLMARK_G2M_CHECKPOINT	3.86477191913923e-38	9.66192979784808e-37	1.60887959037681	0.808189660593852	2.63965084439886	198
HALLMARK_MITOTIC_SPINDLE	6.99215529593321e-12	1.16535921598887e-10	0.887074988399873	0.622527119373264	2.03004740030247	197
HALLMARK_MYC_TARGETS_V1	7.00292122329933e-10	8.75365152912417e-09	0.801215574617779	0.596150673238948	1.94627859724418	199
HALLMARK_SPERMATOGENESIS	1.6166200599625e-09	1.6166200599625e-08	0.788186810800237	0.678177156307343	2.07374831374495	104
HALLMARK_FATTY_ACID_METABOLISM	1.82702788940795e-07	1.43800035034014e-06	0.690132458796796	-0.59248653703045	-2.05461387764353	146
HALLMARK_P53_PATHWAY	2.0132004904762e-07	1.43800035034014e-06	0.690132458796796	-0.53373569586792	-1.93312820080289	199
HALLMARK_MTORC1_SIGNALING	1.42564520276324e-06	8.91028251727026e-06	0.643551836150722	0.537822175803026	1.75585105725305	199
HALLMARK_ADIPOGENESIS	2.66564674951195e-06	1.48091486083997e-05	0.627256739718528	-0.507666520059056	-1.82812850274857	195
HALLMARK_COAGULATION	7.09187764664252e-06	3.54593882332126e-05	0.610526878385931	-0.560055023151397	-1.91944050822783	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.66728511612714e-05	0.00025760386891487	0.557332238758646	-0.47215663149513	-1.71009603930482	199
HALLMARK_XENOBIOTIC_METABOLISM	8.23820774052652e-05	0.000343258655855272	0.538434096309916	-0.475278138862497	-1.71095019432444	185
HALLMARK_BILE_ACID_METABOLISM	0.000225454330277713	0.000867132039529666	0.518848077743792	-0.537712367137959	-1.78127248806473	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000339253728134047	0.0012116204576216	0.49849310876659	-0.44520354583939	-1.60542309652625	197
HALLMARK_MYC_TARGETS_V2	0.00108311332864556	0.00361037776215186	0.45505986738723	0.610686575117468	1.67446898019353	57
HALLMARK_DNA_REPAIR	0.00267450326679637	0.00835782270873865	0.431707695803346	0.468267014896155	1.47333652511051	148
HALLMARK_IL2_STAT5_SIGNALING	0.00353679863128653	0.0104023489155486	0.431707695803346	-0.416908107835862	-1.50086162172712	196
HALLMARK_PEROXISOME	0.00572193698774057	0.0158942694103905	0.407017918923954	-0.467967438628567	-1.54573261253862	103
HALLMARK_ANGIOGENESIS	0.00779413540208659	0.02051088263707	0.407017918923954	-0.637814991379032	-1.73962035299459	34
HALLMARK_HEME_METABOLISM	0.0109761664176479	0.0274404160441198	0.380730400722792	-0.38315738295255	-1.37871994040303	183
HALLMARK_GLYCOLYSIS	0.0221502383449737	0.0527386627261279	0.352487857583619	0.409706181737947	1.33222198628972	195
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0258280541667781	0.0587001231063138	0.352487857583619	-0.372608845231926	-1.34138508034205	196
HALLMARK_PANCREAS_BETA_CELLS	0.0306107581474215	0.066545126407438	0.352487857583619	-0.598988699495083	-1.55516501517679	26
HALLMARK_MYOGENESIS	0.041590952664746	0.0866478180515542	0.321775918075361	-0.361404431154127	-1.29904250074043	182
HALLMARK_UV_RESPONSE_DN	0.0434598870486103	0.0869197740972206	0.321775918075361	-0.38120529938586	-1.32500644950676	143
HALLMARK_KRAS_SIGNALING_UP	0.0732294517698053	0.140825868788087	0.287805130535564	-0.344417391502995	-1.23989635856572	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0827901070238066	0.153315013007049	0.287805130535564	-0.336718177415906	-1.22012669318777	200
HALLMARK_UV_RESPONSE_UP	0.0914051841746248	0.163223543168973	0.170932335370056	0.382420641730115	1.20913805553887	155
HALLMARK_HYPOXIA	0.111111111111111	0.191570881226054	0.276500599254472	-0.316997918156085	-1.14148868228855	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.143055555555556	0.238425925925926	0.135002033828631	0.392959689609833	1.20566925768048	112
HALLMARK_ALLOGRAFT_REJECTION	0.198684210526316	0.320458404074703	0.108394255853397	0.34740323952874	1.12778553995289	194
HALLMARK_NOTCH_SIGNALING	0.274566473988439	0.424749587929504	0.141225119642531	-0.418177338636133	-1.12348833811072	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.280334728033473	0.424749587929504	0.0911073131586733	0.360999285324619	1.10015068892702	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.30976430976431	0.442520442520442	0.143758989039275	-0.328071955864522	-1.05972687039965	85
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.306064880112835	0.442520442520442	0.086794975677172	0.35736897581661	1.084508124198	97
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.36969696969697	0.513468013468013	0.122679189568808	-0.326831389081015	-1.03645468630878	73
HALLMARK_PROTEIN_SECRETION	0.385593220338983	0.521071919377004	0.0745500777420554	0.339809132911956	1.0307027743663	96
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.399229781771502	0.525302344436187	0.0679922591544058	0.314033993161155	1.02567520426912	198
HALLMARK_KRAS_SIGNALING_DN	0.428571428571429	0.549450549450549	0.066436413766281	0.317588317538461	1.01522330603299	166
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.446428571428571	0.558035714285714	0.108820126769161	-0.336305861927332	-0.991787369963438	48
HALLMARK_COMPLEMENT	0.497872340425532	0.607161390762844	0.12563992130984	-0.273886733369288	-0.986277652776568	195
HALLMARK_APICAL_SURFACE	0.596923076923077	0.692783094098884	0.0573667426768556	0.353328413946304	0.922202439202842	43
HALLMARK_INFLAMMATORY_RESPONSE	0.609649122807018	0.692783094098884	0.11378726182188	-0.264442182646561	-0.953589861725313	197
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.608294930875576	0.692783094098884	0.0564118388217596	0.352610678148088	0.914853537935036	41
HALLMARK_ANDROGEN_RESPONSE	0.630508474576271	0.700564971751413	0.0956031492204301	-0.275748022838639	-0.910369012863025	98
HALLMARK_APOPTOSIS	0.693486590038314	0.737751691530121	0.0972150808846466	-0.262742643912271	-0.920297210540216	160
HALLMARK_HEDGEHOG_SIGNALING	0.688372093023256	0.737751691530121	0.0511147954416412	0.342671249053483	0.866634744799473	35
HALLMARK_APICAL_JUNCTION	0.954966887417219	0.994757174392936	0.0284333438791734	0.242602768877298	0.785939095719057	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.995594713656388	0.995594713656388	0.0845557442441281	-0.207892483478512	-0.753315934268444	200
HALLMARK_TGF_BETA_SIGNALING	0.985507246376812	0.995594713656388	0.0636424081651019	-0.223449032242178	-0.672351979847566	54
