pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	9.80817235313755e-42	4.90408617656878e-40	1.68433634284213	0.824277193427973	2.7091076661021	199
HALLMARK_G2M_CHECKPOINT	1.92999663849495e-38	4.82499159623739e-37	1.61530228892975	0.808189660593852	2.64921164895478	198
HALLMARK_MITOTIC_SPINDLE	2.74063465403795e-11	4.56772442339658e-10	0.863415391606693	0.622527119373264	2.03802248822626	197
HALLMARK_MYC_TARGETS_V1	3.17038460048518e-09	3.53820994761059e-08	0.774939030136436	0.596150673238948	1.95933646096286	199
HALLMARK_SPERMATOGENESIS	3.53820994761059e-09	3.53820994761059e-08	0.774939030136436	0.678177156307343	2.083924942553	104
HALLMARK_FATTY_ACID_METABOLISM	3.19001347042084e-08	2.65834455868404e-07	0.719512826338911	-0.59248653703045	-2.07650471783795	146
HALLMARK_P53_PATHWAY	7.58719859526714e-07	5.41942756804796e-06	0.659444398037935	-0.53373569586792	-1.89113414815291	199
HALLMARK_ADIPOGENESIS	1.66260810945482e-06	1.03913006840927e-05	0.643551836150722	-0.507666520059056	-1.79431302866124	195
HALLMARK_MTORC1_SIGNALING	3.59599625539842e-06	1.99777569744357e-05	0.627256739718528	0.537822175803026	1.76763131515055	199
HALLMARK_COAGULATION	6.82934259589879e-06	3.4146712979494e-05	0.610526878385931	-0.560055023151397	-1.91336938639337	127
HALLMARK_XENOBIOTIC_METABOLISM	6.1114458244093e-05	0.000277792992018605	0.538434096309916	-0.475278138862497	-1.6706505211845	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000130732237093705	0.000544717654557105	0.518848077743792	-0.47215663149513	-1.67294699606948	199
HALLMARK_BILE_ACID_METABOLISM	0.000417686187859816	0.00160648533792237	0.49849310876659	-0.537712367137959	-1.75991232474983	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000567385815016092	0.00202637791077176	0.477270815362862	-0.44520354583939	-1.58111079366332	197
HALLMARK_MYC_TARGETS_V2	0.000969153227423568	0.00323051075807856	0.477270815362862	0.610686575117468	1.70712565021884	57
HALLMARK_IL2_STAT5_SIGNALING	0.00178172716621345	0.00556789739441704	0.45505986738723	-0.416908107835862	-1.47777117761653	196
HALLMARK_ANGIOGENESIS	0.00202777983402592	0.00596405833537035	0.431707695803346	-0.637814991379032	-1.7500684489585	34
HALLMARK_DNA_REPAIR	0.00244034556825144	0.00677873768958732	0.431707695803346	0.468267014896155	1.48028204441435	148
HALLMARK_PEROXISOME	0.00577325698722948	0.0151927815453407	0.407017918923954	-0.467967438628567	-1.53498008417743	103
HALLMARK_HEME_METABOLISM	0.00794602997089199	0.01986507492723	0.380730400722792	-0.38315738295255	-1.34631357296674	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0217690683017852	0.0518311150042505	0.352487857583619	-0.372608845231926	-1.32074814967499	196
HALLMARK_GLYCOLYSIS	0.0230206406647627	0.0523196378744606	0.352487857583619	0.409706181737947	1.34191487971091	195
HALLMARK_MYOGENESIS	0.0260525999873623	0.0566360869290486	0.352487857583619	-0.361404431154127	-1.27186711837033	182
HALLMARK_PANCREAS_BETA_CELLS	0.0283199838481612	0.0589999663503359	0.352487857583619	-0.598988699495083	-1.55402640185494	26
HALLMARK_UV_RESPONSE_DN	0.0398439193528768	0.0796878387057535	0.321775918075361	-0.38120529938586	-1.32028383751541	143
HALLMARK_KRAS_SIGNALING_UP	0.0584369887877285	0.112378824591786	0.321775918075361	-0.344417391502995	-1.22082081078974	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0653432031176725	0.121005931699393	0.287805130535564	-0.336718177415906	-1.19236205008022	200
HALLMARK_UV_RESPONSE_UP	0.0820584144645341	0.146532882972382	0.183023938384487	0.382420641730115	1.2208261065366	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.115160349854227	0.198552327334875	0.156312403073186	0.392959689609833	1.2124825220387	112
HALLMARK_ALLOGRAFT_REJECTION	0.158536585365854	0.264227642276423	0.12563992130984	0.34740323952874	1.1374069779539	194
HALLMARK_HYPOXIA	0.197761194029851	0.318969667790082	0.193813302725311	-0.316997918156085	-1.12004754556152	193
HALLMARK_NOTCH_SIGNALING	0.256	0.388612348266527	0.140406238523342	-0.418177338636133	-1.13302924360457	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.256484149855908	0.388612348266527	0.0982123351217438	0.360999285324619	1.10894598154328	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.290647482014389	0.427422767668218	0.0908241419007155	0.35736897581661	1.09050354374011	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.317757009345794	0.453938584779706	0.135740943810425	-0.328071955864522	-1.05020982591135	85
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.377204884667571	0.514334884812454	0.0736212741014394	0.314033993161155	1.02939019566152	198
HALLMARK_PROTEIN_SECRETION	0.380607814761216	0.514334884812454	0.0764767053228531	0.339809132911956	1.03282918605438	96
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.394029850746269	0.516381766381766	0.117249716749792	-0.326831389081015	-1.0236327568347	73
HALLMARK_KRAS_SIGNALING_DN	0.402777777777778	0.516381766381766	0.0714786287425507	0.317588317538461	1.02146164544022	166
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.46685878962536	0.5835734870317	0.103958471559957	-0.336305861927332	-0.984757951771321	48
HALLMARK_COMPLEMENT	0.526515151515151	0.642091648189209	0.11378726182188	-0.273886733369288	-0.968034161490131	195
