pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	9.19884701527473e-44	4.59942350763737e-42	1.72082439707331	0.824277193427973	2.691377126822	199
HALLMARK_G2M_CHECKPOINT	5.5279073476648e-38	1.3819768369162e-36	1.60243114923556	0.808189660593852	2.63606393469592	198
HALLMARK_MITOTIC_SPINDLE	1.27500367464267e-11	2.12500612440445e-10	0.875325132024659	0.622527119373264	2.02535679054088	197
HALLMARK_MYC_TARGETS_V1	8.82092893049563e-10	1.10261611631195e-08	0.801215574617779	0.596150673238948	1.9465130163583	199
HALLMARK_SPERMATOGENESIS	2.06763488774508e-09	2.06763488774508e-08	0.774939030136436	0.678177156307343	2.05148081924328	104
HALLMARK_FATTY_ACID_METABOLISM	1.81949956334193e-07	1.51624963611827e-06	0.690132458796796	-0.59248653703045	-2.05286075203422	146
HALLMARK_P53_PATHWAY	8.49783661959185e-07	6.06988329970846e-06	0.659444398037935	-0.53373569586792	-1.92445659658871	199
HALLMARK_MTORC1_SIGNALING	1.54168474946755e-06	9.63552968417217e-06	0.643551836150722	0.537822175803026	1.75606254036239	199
HALLMARK_ADIPOGENESIS	1.80037369228431e-06	1.00020760682462e-05	0.643551836150722	-0.507666520059056	-1.82672741679694	195
HALLMARK_COAGULATION	9.22408706841054e-06	4.61204353420527e-05	0.593325476396405	-0.560055023151397	-1.92176594460528	127
HALLMARK_XENOBIOTIC_METABOLISM	9.95963606468571e-05	0.000452710730212987	0.538434096309916	-0.475278138862497	-1.69696059910232	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000117047205705856	0.000487696690441069	0.538434096309916	-0.47215663149513	-1.70242491019144	199
HALLMARK_BILE_ACID_METABOLISM	0.000226946516784748	0.000872871218402877	0.518848077743792	-0.537712367137959	-1.7754707627853	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000420213766378858	0.00150076345135306	0.49849310876659	-0.44520354583939	-1.61196967946447	197
HALLMARK_MYC_TARGETS_V2	0.000655143431503882	0.00218381143834627	0.477270815362862	0.610686575117468	1.69692876293835	57
HALLMARK_IL2_STAT5_SIGNALING	0.00211705456321236	0.00661579551003863	0.431707695803346	-0.416908107835862	-1.50883849031007	196
HALLMARK_DNA_REPAIR	0.00347688662353538	0.0102261371280452	0.431707695803346	0.468267014896155	1.48914807264189	148
HALLMARK_PEROXISOME	0.00478730299058796	0.0132980638627443	0.407017918923954	-0.467967438628567	-1.5491372790695	103
HALLMARK_ANGIOGENESIS	0.00590778824487057	0.015546811170712	0.407017918923954	-0.637814991379032	-1.72748257605166	34
HALLMARK_HEME_METABOLISM	0.0122244957295115	0.0305612393237788	0.380730400722792	-0.38315738295255	-1.3673823716681	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0208819185764688	0.049718853753497	0.352487857583619	-0.372608845231926	-1.34851435352095	196
HALLMARK_GLYCOLYSIS	0.0248557353387863	0.0564903075881508	0.352487857583619	0.409706181737947	1.33450658965675	195
HALLMARK_MYOGENESIS	0.0424562127299113	0.0884504431873153	0.321775918075361	-0.361404431154127	-1.2893274977582	182
HALLMARK_PANCREAS_BETA_CELLS	0.0414343513311382	0.0884504431873153	0.321775918075361	-0.598988699495083	-1.51672507952724	26
HALLMARK_UV_RESPONSE_DN	0.0495920266032839	0.0991840532065679	0.321775918075361	-0.38120529938586	-1.31762878782843	143
HALLMARK_KRAS_SIGNALING_UP	0.0614014269417905	0.117406573383636	0.321775918075361	-0.344417391502995	-1.24648623345197	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0633995496271633	0.117406573383636	0.287805130535564	-0.336718177415906	-1.21240050137238	200
HALLMARK_HYPOXIA	0.10077519379845	0.173750334135258	0.282013350011725	-0.316997918156085	-1.13927719517137	193
HALLMARK_UV_RESPONSE_UP	0.0976616231086657	0.173750334135258	0.165656695205483	0.382420641730115	1.22325084452861	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.149210903873745	0.248684839789574	0.134273452883202	0.392959689609833	1.19981965144543	112
HALLMARK_ALLOGRAFT_REJECTION	0.167785234899329	0.270621346611821	0.120985142145252	0.34740323952874	1.13169375937251	194
HALLMARK_NOTCH_SIGNALING	0.289617486338798	0.452527322404372	0.132846300606183	-0.418177338636133	-1.11605064360761	32
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3125	0.459558823529412	0.0873098257637931	0.35736897581661	1.0764607847969	97
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.306034482758621	0.459558823529412	0.0878312634480124	0.360999285324619	1.09160778387607	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.338607594936709	0.48372513562387	0.132147260608774	-0.328071955864522	-1.0522909156255	85
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.367052023121387	0.509794476557482	0.119887845115423	-0.326831389081015	-1.0332231015046	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.399463806970509	0.534650534650535	0.070113215764256	0.314033993161155	1.02428145768704	198
HALLMARK_KRAS_SIGNALING_DN	0.409703504043127	0.534650534650535	0.069119845655101	0.317588317538461	1.02164355094215	166
HALLMARK_PROTEIN_SECRETION	0.417027417027417	0.534650534650535	0.0716527366829457	0.339809132911956	1.0222751761605	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.481994459833795	0.602493074792244	0.0995791200495904	-0.336305861927332	-0.984488785220322	48
HALLMARK_COMPLEMENT	0.534883720930233	0.652297220646625	0.114266502484433	-0.273886733369288	-0.985521765123357	195
HALLMARK_APICAL_SURFACE	0.571428571428571	0.680272108843537	0.0598603117764473	0.353328413946304	0.934604222897002	43
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.6078125	0.706758720930233	0.0572461135202884	0.352610678148088	0.923127676408739	41
HALLMARK_INFLAMMATORY_RESPONSE	0.625954198473282	0.711311589174185	0.103197466945307	-0.264442182646561	-0.957478403712992	197
HALLMARK_ANDROGEN_RESPONSE	0.669902912621359	0.728155339805825	0.0894366833718621	-0.275748022838639	-0.904245288430631	98
HALLMARK_HEDGEHOG_SIGNALING	0.665064102564103	0.728155339805825	0.0542315935495841	0.342671249053483	0.875145933097909	35
HALLMARK_APOPTOSIS	0.711111111111111	0.756501182033097	0.0937465422491719	-0.262742643912271	-0.925711081397116	160
HALLMARK_APICAL_JUNCTION	0.952702702702703	0.992398648648649	0.0295645497308931	0.242602768877298	0.788553067332204	191
HALLMARK_TGF_BETA_SIGNALING	0.974576271186441	0.994465582843307	0.0629394692018967	-0.223449032242178	-0.67034349454716	54
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.995983935742972	0.995983935742972	0.0795564677235957	-0.207892483478512	-0.74854572193046	200
