Gene	GeneID	log2FC	AbsLog2FC	padj	baseMean	Rank	Percentile
PGC	1970	-5.03452979271482	5.03452979271482	9.60654269740769e-77	76211.2628347824	1	0
GKN2	13621	-4.09418923413696	4.09418923413696	3.89862200311215e-66	772.227275877967	2	0.0042
COL2A1	7227	4.08088884023697	4.08088884023697	4.7872173375816e-60	139.403346319691	3	0.0084
REG4	6354	-3.95876946128607	3.95876946128607	1.29802225614364e-35	159.637339027084	4	0.0126
PCSK2	5355	-3.40408987395205	3.40408987395205	3.02330106187625e-31	894.984424608588	5	0.0168
TFF2	9593	-3.39905037561338	3.39905037561338	2.45224106093028e-13	442.250153146072	6	0.021
RBFOX1	1359	-3.07383483682351	3.07383483682351	5.16016624995252e-25	37.5945893388086	7	0.0252
PADI3	7652	3.04952077632276	3.04952077632276	1.51754215737912e-22	89.1031216927794	8	0.0294
MUC6	13850	-2.94489112082274	2.94489112082274	2.94086997887334e-25	962.966137703304	9	0.0336
TFF1	9594	-2.86061298738514	2.86061298738514	8.70700635530575e-19	1573.30862521112	10	0.0378
DSCAM-AS1	18263	-2.78639822517848	2.78639822517848	2.76901647370801e-08	709.898871639737	11	0.042
TMEM229A	18127	-2.72359693763912	2.72359693763912	1.48752196774089e-15	60.4461087226894	12	0.0462
CALML5	12910	2.6854853555101	2.6854853555101	9.96590259113078e-14	54.9990054433619	13	0.0504
BPIFB2	1380	-2.59760335802785	2.59760335802785	8.14201001598139e-18	722.67922666684	14	0.0546
SLC14A2	6192	-2.57747078945441	2.57747078945441	2.36403187773729e-19	378.797518482102	15	0.0588
MUC5AC	16403	-2.51481915365009	2.51481915365009	5.61501543768489e-16	8895.05072764616	16	0.063
AC023421.1	21291	-2.38317266903421	2.38317266903421	2.4304710021942e-12	371.546765513743	17	0.0672
ASPG	10783	-2.37565578499659	2.37565578499659	3.34530428163774e-29	196.952828609652	18	0.0714
HMGCS2	6362	-2.32786412345722	2.32786412345722	6.39116503002392e-16	164.086038905067	19	0.0756
AC093866.1	19648	-2.32546405006409	2.32546405006409	6.26268175442461e-21	25.4971655478743	20	0.0798
DUOX2	7355	-2.30878620619005	2.30878620619005	1.56818384693175e-37	584.587833630992	21	0.084
CLDN6	13811	2.30124334751556	2.30124334751556	2.05150299214342e-15	1067.47818802807	22	0.0882
DUOXA2	7354	-2.25689233225044	2.25689233225044	6.61934837712671e-31	60.0103385879923	23	0.0924
PNMA5	15332	2.22661975129251	2.22661975129251	6.30643781108435e-21	25.6076658872622	24	0.0966
INA	8427	2.20479277268657	2.20479277268657	2.17409572105279e-18	181.122484573519	25	0.1008
CAPN6	1319	-2.19158380100273	2.19158380100273	1.87520628780126e-21	397.251029061126	26	0.105
NPAS3	8651	-2.17947129935075	2.17947129935075	1.70552741978991e-27	193.704258118747	27	0.1092
LINC01108	17120	-2.17305002974655	2.17305002974655	1.15859750198987e-17	50.2773609982734	28	0.1134
WIF1	9145	-2.1515747215748	2.1515747215748	2.91796660282099e-20	1478.13201477132	29	0.1176
PLA2G10	1037	-2.150427459743	2.150427459743	1.49723351425208e-39	285.336586102426	30	0.1218
MAGEA1	15235	2.13900581881844	2.13900581881844	5.81164734531795e-06	53.6394958703173	31	0.126
HSD17B13	11673	-2.13089541795713	2.13089541795713	3.99634996993135e-33	102.807131616915	32	0.1302
BPIFA1	15125	-2.12852842651454	2.12852842651454	5.25493495872974e-13	16245.7978064421	33	0.1344
MSMB	21091	-2.1213887223762	2.1213887223762	2.03576553309613e-14	1977.10866274294	34	0.1386
OBP2A	4921	-2.11541741612347	2.11541741612347	4.28725114821651e-14	26.9125582071654	35	0.1428
FAIM2	6575	-2.10892897746393	2.10892897746393	3.59934755345826e-37	270.862399865326	36	0.147
EDA2R	5942	-2.10360784893525	2.10360784893525	2.70661845929319e-73	164.346371081428	37	0.1512
LINC02188	20831	-2.09942648341393	2.09942648341393	1.09097509251458e-18	31.5728622605813	38	0.1554
MTND1P23	17021	2.0682043149878	2.0682043149878	3.63875914691777e-18	236.714203288155	39	0.1596
NFE4	17603	2.05085560162496	2.05085560162496	5.30138514712077e-15	62.5739447840077	40	0.1638
