pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.29421227504949e-42	6.47106137524747e-41	1.7026781142338	0.824277193427973	2.70009284166742	199
HALLMARK_G2M_CHECKPOINT	1.80753117798781e-37	4.51882794496952e-36	1.5959566534683	0.808189660593852	2.64943532186749	198
HALLMARK_MITOTIC_SPINDLE	2.57092423559202e-11	4.2848737259867e-10	0.863415391606693	0.622527119373264	2.03801866846252	197
HALLMARK_MYC_TARGETS_V1	7.25570046531682e-10	9.06962558164603e-09	0.801215574617779	0.596150673238948	1.95281657457183	199
HALLMARK_SPERMATOGENESIS	1.53251075405314e-09	1.53251075405314e-08	0.788186810800237	0.678177156307343	2.05714724926646	104
HALLMARK_FATTY_ACID_METABOLISM	6.36477243962579e-08	5.3039770330215e-07	0.704975715167238	-0.59248653703045	-2.03928320603684	146
HALLMARK_P53_PATHWAY	7.10192354354825e-07	5.07280253110589e-06	0.659444398037935	-0.53373569586792	-1.88750054990606	199
HALLMARK_MTORC1_SIGNALING	1.75191094033738e-06	1.09494433771086e-05	0.643551836150722	0.537822175803026	1.76174934664457	199
HALLMARK_ADIPOGENESIS	2.17281781258481e-06	1.20712100699156e-05	0.627256739718528	-0.507666520059056	-1.79208214313227	195
HALLMARK_COAGULATION	2.80832770212139e-06	1.40416385106069e-05	0.627256739718528	-0.560055023151397	-1.90072830157439	127
HALLMARK_XENOBIOTIC_METABOLISM	3.07628713043745e-05	0.000139831233201702	0.557332238758646	-0.475278138862497	-1.68054976600573	185
HALLMARK_TNFA_SIGNALING_VIA_NFKB	8.41893599331889e-05	0.00035078899972162	0.538434096309916	-0.47215663149513	-1.66973261951247	199
HALLMARK_BILE_ACID_METABOLISM	0.000198520768823202	0.000763541418550775	0.518848077743792	-0.537712367137959	-1.75675924281432	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0002413389738635	0.000861924906655357	0.518848077743792	-0.44520354583939	-1.57516510852142	197
HALLMARK_MYC_TARGETS_V2	0.00116006423020194	0.00386688076733981	0.45505986738723	0.610686575117468	1.69922589918446	57
HALLMARK_IL2_STAT5_SIGNALING	0.00142770990994483	0.00446159346857758	0.45505986738723	-0.416908107835862	-1.47279274581754	196
HALLMARK_DNA_REPAIR	0.00309495086423697	0.0091027966595205	0.431707695803346	0.468267014896155	1.48149588643351	148
HALLMARK_PEROXISOME	0.00482883419798749	0.013413428327743	0.407017918923954	-0.467967438628567	-1.53411032097174	103
HALLMARK_ANGIOGENESIS	0.00555040202804416	0.014606321126432	0.407017918923954	-0.637814991379032	-1.7322529388676	34
HALLMARK_HEME_METABOLISM	0.0153666665738175	0.0384166664345438	0.380730400722792	-0.38315738295255	-1.34729144644779	183
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0162647031611975	0.0387254837171368	0.352487857583619	-0.372608845231926	-1.31629870940549	196
HALLMARK_GLYCOLYSIS	0.0192751499348778	0.043807158942904	0.352487857583619	0.409706181737947	1.34205871803035	195
HALLMARK_PANCREAS_BETA_CELLS	0.0297296936709927	0.064629768849984	0.352487857583619	-0.598988699495083	-1.54088482499594	26
HALLMARK_UV_RESPONSE_DN	0.0346220710220535	0.072129314629278	0.321775918075361	-0.38120529938586	-1.3147825208201	143
HALLMARK_KRAS_SIGNALING_UP	0.0421139707218919	0.0842279414437838	0.321775918075361	-0.344417391502995	-1.21670801360073	196
HALLMARK_MYOGENESIS	0.0453271464533015	0.0871675893332721	0.321775918075361	-0.361404431154127	-1.27142230738375	182
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0826014519233969	0.152965651709994	0.287805130535564	-0.336718177415906	-1.19211682961752	200
HALLMARK_UV_RESPONSE_UP	0.10296191819464	0.183860568204715	0.163180127180689	0.382420641730115	1.21263174321815	155
HALLMARK_HYPOXIA	0.159695817490494	0.275337616362921	0.219250346703755	-0.316997918156085	-1.12356659505366	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.165457184325109	0.275761973875181	0.127505315300183	0.392959689609833	1.19948360404599	112
HALLMARK_ALLOGRAFT_REJECTION	0.175603217158177	0.283230995416414	0.11776578836269	0.34740323952874	1.13725187664713	194
HALLMARK_NOTCH_SIGNALING	0.28125	0.439453125	0.131457611642763	-0.418177338636133	-1.11912294946465	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.303907380607815	0.460465728193659	0.0886261133285098	0.360999285324619	1.0917883659284	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.334319526627219	0.491528968834972	0.128142916898415	-0.328071955864522	-1.05723793511287	85
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.34407027818448	0.491528968834972	0.0824344091527096	0.35736897581661	1.06784166464998	97
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.386968085106383	0.537455673758865	0.0713052987340038	0.314033993161155	1.02947710706531	198
HALLMARK_KRAS_SIGNALING_DN	0.403846153846154	0.545738045738046	0.0707899094502623	0.317588317538461	1.02050090920487	166
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.416167664670659	0.547589032461393	0.11378726182188	-0.326831389081015	-1.0224823280916	73
HALLMARK_PROTEIN_SECRETION	0.433823529411765	0.556184012066365	0.070619624712259	0.339809132911956	1.01250871849574	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.446927374301676	0.558659217877095	0.104732821580651	-0.336305861927332	-0.977155016938066	48
HALLMARK_APICAL_SURFACE	0.591614906832298	0.687924310270114	0.0582216241124161	0.353328413946304	0.939728522717194	43
HALLMARK_COMPLEMENT	0.577075098814229	0.687924310270114	0.110564716336619	-0.273886733369288	-0.966830595909362	195
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.591125198098257	0.687924310270114	0.059221919380382	0.352610678148088	0.928002349065538	41
HALLMARK_ANDROGEN_RESPONSE	0.684542586750789	0.738626535201522	0.086794975677172	-0.275748022838639	-0.899776444676113	98
HALLMARK_APOPTOSIS	0.693877551020408	0.738626535201522	0.0902635484340068	-0.262742643912271	-0.916857413222327	160
HALLMARK_HEDGEHOG_SIGNALING	0.694308943089431	0.738626535201522	0.0529129848430583	0.342671249053483	0.871286498591857	35
HALLMARK_INFLAMMATORY_RESPONSE	0.67843137254902	0.738626535201522	0.0999276973731092	-0.264442182646561	-0.935617209743386	197
HALLMARK_APICAL_JUNCTION	0.952445652173913	0.99213088768116	0.0298484971250709	0.242602768877298	0.791023826217031	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0785029047348687	-0.207892483478512	-0.736022421502953	200
HALLMARK_TGF_BETA_SIGNALING	0.980662983425414	1	0.0615706755421678	-0.223449032242178	-0.666846735889982	54
