STRING_id	Gene	Community
9606.ENSP00000362116	PGC	1
9606.ENSP00000379365	EDA2R	2
9606.ENSP00000329292	GKN2	1
9606.ENSP00000369889	COL2A1	3
9606.ENSP00000393847	PLA2G10	4
9606.ENSP00000373691	DUOX2	5
9606.ENSP00000321951	FAIM2	1
9606.ENSP00000349324	TNFRSF10C	6
9606.ENSP00000346158	REG4	1
9606.ENSP00000333300	HSD17B13	7
9606.ENSP00000262545	PCSK2	8
9606.ENSP00000319705	DUOXA2	5
9606.ENSP00000443647	AUNIP	3
9606.ENSP00000450040	ASPG	9
9606.ENSP00000418081	CACNA2D2	2
9606.ENSP00000348460	NPAS3	2
9606.ENSP00000363345	SLC46A2	5
9606.ENSP00000317997	DUOX1	5
9606.ENSP00000406861	MUC6	1
9606.ENSP00000341914	PTCHD4	10
9606.ENSP00000391269	RBFOX1	2
9606.ENSP00000353864	PAK3	11
9606.ENSP00000376306	CIT	3
9606.ENSP00000234111	ODC1	12
9606.ENSP00000166345	TRIP13	3
9606.ENSP00000397261	SELENBP1	13
9606.ENSP00000407118	SYBU	14
9606.ENSP00000345502	PDE4D	2
9606.ENSP00000497767	ALDOB	15
9606.ENSP00000292377	GPC2	9
9606.ENSP00000361298	KIF2C	3
9606.ENSP00000364609	PADI3	9
9606.ENSP00000267803	DUOXA1	5
9606.ENSP00000310490	SLC16A11	16
9606.ENSP00000295213	SPATA18	5
9606.ENSP00000220478	SCG3	8
9606.ENSP00000497642	LPL	4
9606.ENSP00000356102	SLC26A9	5
9606.ENSP00000340943	CRHR2	3
9606.ENSP00000283713	VILL	17
9606.ENSP00000358813	TTK	3
9606.ENSP00000317214	CAPN6	2
9606.ENSP00000427926	RHOBTB2	1
9606.ENSP00000315931	AHCYL2	13
9606.ENSP00000499683	SFTPB	1
9606.ENSP00000362328	KCNK17	18
9606.ENSP00000388850	PNMA5	19
9606.ENSP00000259470	CTSV	3
9606.ENSP00000264031	UPK2	20
9606.ENSP00000370483	NLGN4X	2
9606.ENSP00000290349	CBR1	4
9606.ENSP00000221856	FSD1	21
9606.ENSP00000286574	WIF1	3
9606.ENSP00000328070	GLTPD2	22
9606.ENSP00000414109	HJURP	3
9606.ENSP00000358755	CHIA	1
9606.ENSP00000346659	OCA2	2
9606.ENSP00000255226	SLC14A2	5
9606.ENSP00000378504	NXF3	23
9606.ENSP00000348838	UBE2C	3
9606.ENSP00000265342	FSTL4	24
9606.ENSP00000291527	TFF1	1
9606.ENSP00000384370	STEAP1B	25
9606.ENSP00000380442	PLA2G4F	4
9606.ENSP00000288025	TMED6	26
9606.ENSP00000358865	INA	20
9606.ENSP00000389356	RPL39L	27
9606.ENSP00000170150	BPIFB2	1
9606.ENSP00000418915	CDKN2A	3
9606.ENSP00000370896	GREB1	4
9606.ENSP00000382330	RNF222	28
9606.ENSP00000327459	APOBEC3B	29
9606.ENSP00000386834	AFF3	30
9606.ENSP00000296694	SCGB3A2	1
9606.ENSP00000256797	ERN2	1
9606.ENSP00000423313	GALNTL6	1
9606.ENSP00000256404	PEBP4	31
9606.ENSP00000494017	SLC26A4	5
9606.ENSP00000217026	MYBL2	3
9606.ENSP00000271971	CAPN9	4
9606.ENSP00000352173	PLAC1	9
9606.ENSP00000313079	SHISA2	32
9606.ENSP00000359942	KLHL31	33
9606.ENSP00000293599	AQP5	1
9606.ENSP00000386452	MEIOC	15
9606.ENSP00000341236	ZNF695	34
9606.ENSP00000485659	MUC5AC	1
9606.ENSP00000499770	LINC00634	35
9606.ENSP00000358414	HMGCS2	4
9606.ENSP00000385780	DGKB	4
9606.ENSP00000393392	MYO1A	5
9606.ENSP00000383456	C9orf152	36
9606.ENSP00000374240	SHOX2	13
9606.ENSP00000395244	TMEM229A	37
9606.ENSP00000369210	SOHLH2	13
9606.ENSP00000380131	CLDN6	1
9606.ENSP00000372067	PRMT8	38
9606.ENSP00000348170	HP	9
9606.ENSP00000310658	SCUBE2	3
9606.ENSP00000444425	ADGRD1	2
9606.ENSP00000340939	CLDN18	1
9606.ENSP00000363394	SLC30A2	39
9606.ENSP00000297325	SUN3	40
9606.ENSP00000324672	C16orf89	31
9606.ENSP00000463092	MSMB	9
9606.ENSP00000222462	WNT16	3
9606.ENSP00000221476	CKM	3
9606.ENSP00000181383	CPB2	9
9606.ENSP00000342097	OBP2A	23
9606.ENSP00000361366	SFTPD	1
9606.ENSP00000285379	CA2	5
9606.ENSP00000384604	ALKAL2	41
9606.ENSP00000283147	BMP6	3
9606.ENSP00000225688	RASD1	2
9606.ENSP00000262450	CHD5	3
9606.ENSP00000369689	CALML5	2
9606.ENSP00000371054	INSL6	42
9606.ENSP00000232892	AADAC	43
9606.ENSP00000361214	NRG3	2
9606.ENSP00000264072	FCER2	44
9606.ENSP00000216144	CABP7	45
9606.ENSP00000291526	TFF2	1
9606.ENSP00000261177	TSPAN11	46
9606.ENSP00000259803	GCM1	9
9606.ENSP00000264059	EFHD1	47
9606.ENSP00000351632	FAM3D	15
9606.ENSP00000301218	GRIK5	2
9606.ENSP00000473361	FXYD4	5
9606.ENSP00000368314	NRCAM	2
9606.ENSP00000305244	IRX1	13
9606.ENSP00000346251	BPIFA1	1
9606.ENSP00000330200	BTNL9	15
9606.ENSP00000498616	MYT1	48
9606.ENSP00000344674	DHRS2	49
9606.ENSP00000262345	IL12RB2	9
9606.ENSP00000296238	CAMK2N2	2
9606.ENSP00000342082	SLPI	9
9606.ENSP00000263576	DDX25	15
9606.ENSP00000386096	MYO18B	3
9606.ENSP00000335292	SLC51B	4
9606.ENSP00000292641	SCGB3A1	1
9606.ENSP00000216492	CHGA	8
9606.ENSP00000318684	VSIG2	15
9606.ENSP00000336571	CLDN2	9
9606.ENSP00000360991	CYP4B1	4
9606.ENSP00000446485	GTSF1	15
9606.ENSP00000364632	BPIFB4	1
9606.ENSP00000358794	SLC16A4	5
9606.ENSP00000383364	PLA2G2A	4
9606.ENSP00000318999	C11orf16	50
9606.ENSP00000229002	RERGL	51
9606.ENSP00000360855	SLC16A12	52
9606.ENSP00000347591	GFRA1	13
9606.ENSP00000360583	ZYG11A	23
9606.ENSP00000416066	SERPINA1	9
9606.ENSP00000427820	C8orf34	53
9606.ENSP00000372313	MSLN	9
9606.ENSP00000293894	SOX8	13
9606.ENSP00000494260	HOXA1	23
9606.ENSP00000249330	VGF	8
9606.ENSP00000330247	NT5DC4	54
9606.ENSP00000457205	INSYN1	5
9606.ENSP00000301202	LAIR2	1
9606.ENSP00000427555	C4orf54	55
9606.ENSP00000321005	CD300LG	15
9606.ENSP00000369320	RS1	56
9606.ENSP00000488437	PRSS2	9
9606.ENSP00000377284	FOLR1	9
9606.ENSP00000464162	GREB1L	57
9606.ENSP00000264029	TREH	15
9606.ENSP00000474621	SLC22A31	23
9606.ENSP00000466090	ELANE	9
9606.ENSP00000332549	GRIN2A	2
9606.ENSP00000304250	CDK5R2	8
9606.ENSP00000350162	SYCP2	15
9606.ENSP00000258729	IGF2BP3	3
9606.ENSP00000250378	CMA1	9
9606.ENSP00000311313	CST6	3
9606.ENSP00000273666	STXBP5L	2
9606.ENSP00000455906	MUC22	1
9606.ENSP00000236495	SLC5A9	58
9606.ENSP00000359668	VGLL1	2
9606.ENSP00000260682	CYP2C9	4
9606.ENSP00000341490	ISM2	59
9606.ENSP00000403954	TENM1	60
9606.ENSP00000329170	POU3F2	13
9606.ENSP00000361871	WFDC12	19
9606.ENSP00000281830	KCNE4	13
9606.ENSP00000216336	CTSG	9
9606.ENSP00000361636	TNNC2	3
9606.ENSP00000314484	MEIOB	15
9606.ENSP00000295731	IHH	3
9606.ENSP00000300061	SCNN1G	5
9606.ENSP00000361400	SFTPA2	1
9606.ENSP00000266980	SLC39A5	39
9606.ENSP00000301896	MAJIN	15
9606.ENSP00000476499	ZBTB8B	46
9606.ENSP00000304127	KCNG3	61
9606.ENSP00000257408	KLB	4
9606.ENSP00000311997	NEFH	20
9606.ENSP00000219406	PDIA2	62
9606.ENSP00000336528	NR1I2	4
9606.ENSP00000436812	MUC5B	1
9606.ENSP00000381775	TNFSF11	3
9606.ENSP00000352936	SPINK5	20
9606.ENSP00000354778	CNTNAP2	2
9606.ENSP00000356842	GPA33	63
9606.ENSP00000299752	CDH16	5
9606.ENSP00000262138	CACNG4	2
9606.ENSP00000405012	WDR87	64
9606.ENSP00000362183	GRIK3	2
9606.ENSP00000295150	FAM228A	65
9606.ENSP00000329943	LRRC36	66
9606.ENSP00000338157	ZBTB16	13
9606.ENSP00000226218	VTN	9
9606.ENSP00000428280	FER1L6	67
9606.ENSP00000397082	SFTPA1	1
9606.ENSP00000369349	KRT81	20
9606.ENSP00000217246	MACROD2	2
9606.ENSP00000411821	ALDH3A1	4
9606.ENSP00000345853	DUSP9	68
9606.ENSP00000356037	C4BPA	9
9606.ENSP00000312942	SEZ6	69
9606.ENSP00000296589	SLC45A2	2
9606.ENSP00000362841	NKAIN1	70
9606.ENSP00000380676	CDHR5	5
9606.ENSP00000313881	MKRN3	2
9606.ENSP00000359629	CRTAC1	71
9606.ENSP00000350036	SMC1B	15
9606.ENSP00000389326	ACE2	9
9606.ENSP00000382083	COL25A1	3
9606.ENSP00000236850	APOA1	9
9606.ENSP00000358963	HTR1B	2
9606.ENSP00000359077	L1CAM	9
9606.ENSP00000428994	GRIA1	2
9606.ENSP00000417182	MUCL3	1
9606.ENSP00000263339	IL1A	9
9606.ENSP00000363259	C10orf71	3
9606.ENSP00000410852	TMEM132C	72
9606.ENSP00000490424	AC007906.2	73
9606.ENSP00000302297	LGI3	1
9606.ENSP00000342952	ADCY2	2
9606.ENSP00000342235	ERBB4	2
9606.ENSP00000297313	RGS20	2
9606.ENSP00000348888	PIGR	1
9606.ENSP00000331268	ANKRD45	62
9606.ENSP00000290552	IRX6	13
9606.ENSP00000356404	B3GALT2	74
9606.ENSP00000295201	TEKT4	75
9606.ENSP00000386845	ZNF385B	13
9606.ENSP00000290705	MT1A	4
9606.ENSP00000306606	ADH1B	4
9606.ENSP00000392411	SLC13A2	5
9606.ENSP00000361998	TAF7L	15
9606.ENSP00000296522	HPGD	4
9606.ENSP00000290722	PGLYRP3	19
9606.ENSP00000368872	INSC	15
9606.ENSP00000259212	IL36RN	9
9606.ENSP00000354536	ASTN1	76
9606.ENSP00000386942	ST6GAL2	77
