from	to	combined_score
9606.ENSP00000181383	9606.ENSP00000215727	764
9606.ENSP00000181383	9606.ENSP00000215727	764
9606.ENSP00000215727	9606.ENSP00000216336	584
9606.ENSP00000215727	9606.ENSP00000216336	584
9606.ENSP00000166345	9606.ENSP00000217026	512
9606.ENSP00000166345	9606.ENSP00000217026	512
9606.ENSP00000167586	9606.ENSP00000220420	417
9606.ENSP00000167586	9606.ENSP00000220420	417
9606.ENSP00000216492	9606.ENSP00000220478	990
9606.ENSP00000216492	9606.ENSP00000220478	990
9606.ENSP00000216336	9606.ENSP00000225474	518
9606.ENSP00000216336	9606.ENSP00000225474	518
9606.ENSP00000181383	9606.ENSP00000226218	436
9606.ENSP00000181383	9606.ENSP00000226218	436
9606.ENSP00000215727	9606.ENSP00000226218	762
9606.ENSP00000215727	9606.ENSP00000226218	762
9606.ENSP00000216492	9606.ENSP00000226218	408
9606.ENSP00000216492	9606.ENSP00000226218	408
9606.ENSP00000216336	9606.ENSP00000233997	977
9606.ENSP00000216336	9606.ENSP00000233997	977
9606.ENSP00000226218	9606.ENSP00000233997	496
9606.ENSP00000226218	9606.ENSP00000233997	496
9606.ENSP00000004531	9606.ENSP00000234111	435
9606.ENSP00000004531	9606.ENSP00000234111	435
9606.ENSP00000215727	9606.ENSP00000236850	614
9606.ENSP00000215727	9606.ENSP00000236850	614
9606.ENSP00000216336	9606.ENSP00000236850	482
9606.ENSP00000216336	9606.ENSP00000236850	482
9606.ENSP00000217407	9606.ENSP00000236850	949
9606.ENSP00000217407	9606.ENSP00000236850	949
9606.ENSP00000220478	9606.ENSP00000236850	459
9606.ENSP00000220478	9606.ENSP00000236850	459
9606.ENSP00000226218	9606.ENSP00000236850	755
9606.ENSP00000226218	9606.ENSP00000236850	755
9606.ENSP00000216336	9606.ENSP00000244336	726
9606.ENSP00000216336	9606.ENSP00000244336	726
9606.ENSP00000225474	9606.ENSP00000244336	519
9606.ENSP00000225474	9606.ENSP00000244336	519
9606.ENSP00000233997	9606.ENSP00000244336	847
9606.ENSP00000233997	9606.ENSP00000244336	847
9606.ENSP00000216492	9606.ENSP00000249330	534
9606.ENSP00000216492	9606.ENSP00000249330	534
9606.ENSP00000220478	9606.ENSP00000249330	661
9606.ENSP00000220478	9606.ENSP00000249330	661
9606.ENSP00000216336	9606.ENSP00000250378	695
9606.ENSP00000216336	9606.ENSP00000250378	695
9606.ENSP00000199280	9606.ENSP00000255226	610
9606.ENSP00000199280	9606.ENSP00000255226	610
9606.ENSP00000216336	9606.ENSP00000259212	400
9606.ENSP00000216336	9606.ENSP00000259212	400
9606.ENSP00000225474	9606.ENSP00000259212	471
