pathway	pval	padj	log2err	ES	NES	size	Rank	Percentile
HALLMARK_E2F_TARGETS	1.15703726950327e-43	5.78518634751634e-42	1.72082439707331	0.824277193427973	2.70328799590614	199	1	0
HALLMARK_G2M_CHECKPOINT	2.03523323916081e-38	5.08808309790203e-37	1.61530228892975	0.808189660593852	2.64833059065433	198	2	0.020408
HALLMARK_MITOTIC_SPINDLE	1.99115077307671e-11	3.31858462179452e-10	0.863415391606693	0.622527119373264	2.03843067679664	197	3	0.040816
HALLMARK_MYC_TARGETS_V1	5.45859677430681e-10	6.82324596788351e-09	0.801215574617779	0.596150673238948	1.95512743961299	199	4	0.061224
HALLMARK_SPERMATOGENESIS	1.29328994457421e-09	1.29328994457421e-08	0.788186810800237	0.678177156307343	2.07502637470649	104	5	0.081633
HALLMARK_P53_PATHWAY	3.58072584015133e-08	2.98393820012611e-07	0.719512826338911	-0.53373569586792	-1.90819968141676	199	6	0.102041
HALLMARK_FATTY_ACID_METABOLISM	5.49186753893076e-08	3.92276252780769e-07	0.719512826338911	-0.59248653703045	-2.06808746229203	146	7	0.122449
HALLMARK_MTORC1_SIGNALING	1.1569130071658e-06	7.23070629478625e-06	0.643551836150722	0.537822175803026	1.76383411232582	199	8	0.142857
HALLMARK_ADIPOGENESIS	1.48659679660841e-06	8.25887109226892e-06	0.643551836150722	-0.507666520059056	-1.80929692632547	195	9	0.163265
HALLMARK_COAGULATION	2.91648614888184e-06	1.45824307444092e-05	0.627256739718528	-0.560055023151397	-1.89960566907976	127	10	0.183673
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.9936098995532e-05	9.06186317978726e-05	0.575610261071129	-0.47215663149513	-1.68804361554408	199	11	0.204082
HALLMARK_XENOBIOTIC_METABOLISM	3.29534197693084e-05	0.000137305915705451	0.557332238758646	-0.475278138862497	-1.69767938297753	185	12	0.22449
HALLMARK_BILE_ACID_METABOLISM	0.000240869647648922	0.000926421721726623	0.518848077743792	-0.537712367137959	-1.78593620706054	102	13	0.244898
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000313898895099732	0.00112106748249904	0.49849310876659	-0.44520354583939	-1.59507676164321	197	14	0.265306
HALLMARK_MYC_TARGETS_V2	0.00111788060258146	0.00372626867527152	0.45505986738723	0.610686575117468	1.71139375830571	57	15	0.285714
HALLMARK_IL2_STAT5_SIGNALING	0.00151760366585621	0.00474251145580064	0.45505986738723	-0.416908107835862	-1.48758215582083	196	16	0.306122
HALLMARK_DNA_REPAIR	0.00256847260787791	0.0075543311996409	0.431707695803346	0.468267014896155	1.49415437362268	148	17	0.326531
HALLMARK_PEROXISOME	0.00330172271647962	0.00917145199022117	0.431707695803346	-0.467967438628567	-1.5598469009123	103	18	0.346939
HALLMARK_ANGIOGENESIS	0.00393794278258042	0.01036300732258	0.407017918923954	-0.637814991379032	-1.73943085137429	34	19	0.367347
HALLMARK_GLYCOLYSIS	0.0100955653890634	0.0252389134726586	0.380730400722792	0.409706181737947	1.34316277545497	195	20	0.387755
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0133072942961426	0.0316840340384347	0.380730400722792	-0.372608845231926	-1.32951664611484	196	21	0.408163
HALLMARK_HEME_METABOLISM	0.0144738179174934	0.0328950407215759	0.380730400722792	-0.38315738295255	-1.36625558290002	183	22	0.428571
HALLMARK_PANCREAS_BETA_CELLS	0.0238013067105297	0.0517419711098471	0.352487857583619	-0.598988699495083	-1.53880104819774	26	23	0.44898
HALLMARK_UV_RESPONSE_DN	0.0326940665744475	0.0681126386967656	0.321775918075361	-0.38120529938586	-1.32685010113236	143	24	0.469388
HALLMARK_KRAS_SIGNALING_UP	0.0366909233985473	0.0733818467970946	0.321775918075361	-0.344417391502995	-1.22892588588353	196	25	0.489796
HALLMARK_MYOGENESIS	0.0412239772131333	0.0792768792560256	0.321775918075361	-0.361404431154127	-1.28993147992404	182	26	0.510204
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0465758789502088	0.0862516276855718	0.321775918075361	-0.336718177415906	-1.20477457578224	200	27	0.530612
HALLMARK_UV_RESPONSE_UP	0.0939226519337017	0.167719021310182	0.169570644405628	0.382420641730115	1.22553338105268	155	28	0.55102
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.124822695035461	0.215211543164588	0.147331213699377	0.392959689609833	1.21193812330687	112	29	0.571429
HALLMARK_HYPOXIA	0.149812734082397	0.249687890137328	0.224966093540314	-0.316997918156085	-1.13274173545885	193	30	0.591837
HALLMARK_ALLOGRAFT_REJECTION	0.173207036535859	0.279366187961063	0.119348440591015	0.34740323952874	1.13813729819262	194	31	0.612245
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.267983074753174	0.418723554301834	0.0943563635421779	0.360999285324619	1.10423251100382	103	32	0.632653
HALLMARK_NOTCH_SIGNALING	0.284153005464481	0.430534856764365	0.134273452883202	-0.418177338636133	-1.11489423767537	32	33	0.653061
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.306267806267806	0.450393832746774	0.0873098257637931	0.35736897581661	1.08568405464394	97	34	0.673469
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.32258064516129	0.460829493087558	0.137250779610133	-0.328071955864522	-1.06242494976545	85	35	0.693878
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.384615384615385	0.518053375196232	0.120985142145252	-0.326831389081015	-1.03473823356535	73	36	0.714286
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.388586956521739	0.518053375196232	0.0721797965581253	0.314033993161155	1.02904784748535	198	37	0.734694
HALLMARK_KRAS_SIGNALING_DN	0.404081632653061	0.518053375196232	0.0702812841717392	0.317588317538461	1.02796733525537	166	38	0.755102
HALLMARK_PROTEIN_SECRETION	0.402597402597403	0.518053375196232	0.0734381410838857	0.339809132911956	1.02860390983345	96	39	0.77551
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.473087818696884	0.591359773371105	0.102080107662747	-0.336305861927332	-0.982119095243764	48	40	0.795918
HALLMARK_APICAL_SURFACE	0.557142857142857	0.653149838092435	0.0621124188949471	0.353328413946304	0.946673024875838	43	41	0.816327
HALLMARK_COMPLEMENT	0.551724137931034	0.653149838092435	0.11146266692298	-0.273886733369288	-0.976117993340848	195	42	0.836735
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.561708860759494	0.653149838092435	0.0615706755421678	0.352610678148088	0.939754252632742	41	43	0.857143
HALLMARK_INFLAMMATORY_RESPONSE	0.615671641791045	0.699626865671642	0.102821842840815	-0.264442182646561	-0.947444341536998	197	44	0.877551
HALLMARK_HEDGEHOG_SIGNALING	0.667194928684628	0.741327698538475	0.0535669384770951	0.342671249053483	0.881484184642041	35	45	0.897959
HALLMARK_ANDROGEN_RESPONSE	0.691525423728814	0.745486782720825	0.0902635484340068	-0.275748022838639	-0.907857891199073	98	46	0.918367
HALLMARK_APOPTOSIS	0.700757575757576	0.745486782720825	0.0959206777921745	-0.262742643912271	-0.919659937252043	160	47	0.938776
HALLMARK_APICAL_JUNCTION	0.945054945054945	0.984432234432234	0.0307752597613667	0.242602768877298	0.791922433730158	191	48	0.959184
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0760837160951725	-0.207892483478512	-0.743837414758202	200	49	0.979592
HALLMARK_TGF_BETA_SIGNALING	0.982507288629738	1	0.0640703750499722	-0.223449032242178	-0.661197096973468	54	50	1
