Gene	STRING_id	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore	Rank	Percentile
ALB	9606.ENSP00000295897	132	0.27842040607073	0.44141689373297	1	0.0255843551475958	50.7013624587103	1	0
CALML5	9606.ENSP00000369689	58	0.0843722408557984	0.370285714285714	0.252956824254673	0.0146700236031975	18.1184565638253	2	0.002326
MUC5B	9606.ENSP00000436812	54	0.0201081637616133	0.338912133891213	0.450289241660986	0.00940457924029798	12.7608040336489	3	0.004651
MUC5AC	9606.ENSP00000485659	52	0.0277040476266565	0.345047923322684	0.410240448173876	0.00927103058737024	12.6611467371402	4	0.006977
SERPINA1	9606.ENSP00000416066	48	0.00986912465482615	0.340336134453782	0.552612804995363	0.00850982014661965	12.1351260231722	5	0.009302
ELANE	9606.ENSP00000466090	44	0.0149856784786742	0.335056876938987	0.500018978911346	0.00797381340724461	11.307814287813	6	0.011628
CDKN2A	9606.ENSP00000418915	28	0.0492956518513663	0.35027027027027	0.179534836861292	0.00652034638193047	8.36899758342526	7	0.013953
VTN	9606.ENSP00000226218	32	0.0189623276503559	0.330612244897959	0.338759198984605	0.00657618141680515	8.20164027349091	8	0.016279
APOA1	9606.ENSP00000236850	32	0.0163591118472059	0.327603640040445	0.349438352834421	0.00659330891677304	8.12471748941358	9	0.018605
IL1A	9606.ENSP00000263339	32	0.0049884853028567	0.334365325077399	0.385847285656604	0.00591203199762336	7.44643309012939	10	0.02093
ORM1	9606.ENSP00000259396	30	0.00516410686535092	0.329268292682927	0.392665291404964	0.00543243135549428	7.08769578793025	11	0.023256
PRSS1	9606.ENSP00000308720	32	0.00826485859263502	0.334710743801653	0.313159777008676	0.00620018734786284	7.08287445499728	12	0.025581
HP	9606.ENSP00000348170	30	0.00399551223144975	0.32694248234107	0.390343007176861	0.0053962626821818	6.95620500603546	13	0.027907
CTSG	9606.ENSP00000216336	30	0.00454926394815699	0.327935222672065	0.361634651931632	0.00543828762766547	6.73444466522347	14	0.030233
SFTPD	9606.ENSP00000361366	30	0.00967794553680054	0.32694248234107	0.322292634166578	0.00548728934656768	6.70324394953529	15	0.032558
AGTR2	9606.ENSP00000360973	26	0.0293992344451829	0.335751295336788	0.223138087641131	0.00538330934184962	6.67327083499421	16	0.034884
SERPIND1	9606.ENSP00000215727	30	0.00217101587541753	0.321747765640516	0.360846824807981	0.00562304383007167	6.61958188057088	17	0.037209
GRIA1	9606.ENSP00000428994	30	0.0221454698029825	0.333676622039135	0.179332406250327	0.00634077378673787	6.56005481571612	18	0.039535
SFTPC	9606.ENSP00000316152	32	0.0108045760641637	0.302521008403361	0.257558354684217	0.00614398567719498	6.48541934127009	19	0.04186
ACE2	9606.ENSP00000389326	26	0.0122153204625339	0.346153846153846	0.320676636014782	0.00495691554182334	6.35581004447061	20	0.044186
CHGA	9606.ENSP00000216492	26	0.0203859762738268	0.338557993730408	0.213913459330828	0.00561374459844584	6.10809060091249	21	0.046512
KRT14	9606.ENSP00000167586	26	0.0203534622847113	0.333676622039135	0.148396809291274	0.0068793208237511	6.02739664913538	22	0.048837
MUC6	9606.ENSP00000406861	32	0.0108220240804963	0.307400379506641	0.216162273744393	0.00582014032839894	5.95201897302099	23	0.051163
CLDN18	9606.ENSP00000340939	34	0.00669874217293954	0.293212669683258	0.201154161455854	0.00615834098359357	5.78691339595069	24	0.053488
PLA2G2A	9606.ENSP00000383364	26	0.0125579288286578	0.338557993730408	0.237094418699019	0.00540439474363617	5.7180159382925	25	0.055814
MUC2	9606.ENSP00000494061	28	0.00602478509709798	0.329268292682927	0.263142582341334	0.00504703837989989	5.49882776390387	26	0.05814
PIGR	9606.ENSP00000348888	24	0.0107882170170592	0.328267477203647	0.277850929119721	0.00459102494377076	5.37753922576597	27	0.060465
CPB2	9606.ENSP00000181383	24	0.00694261856281124	0.322709163346614	0.29549220234203	0.00480642558129382	5.36580631738385	28	0.062791
GRIN2A	9606.ENSP00000332549	32	0.0144609280470674	0.299722479185939	0.0783384822528971	0.00702750320909837	5.35541502986397	29	0.065116
CYP2C9	9606.ENSP00000260682	28	0.00853859589459886	0.316715542521994	0.204419629790636	0.00574427184174455	5.3406881038211	30	0.067442
LGALS4	9606.ENSP00000302100	18	0.0356238572547155	0.339979013641133	0.115995887488311	0.00509217394494161	5.18917153568492	31	0.069767
ORM2	9606.ENSP00000394936	24	0.00331764392279799	0.321110009910803	0.309843736991777	0.00454310312592232	5.132854248342	32	0.072093
CYP2B6	9606.ENSP00000324648	28	0.00974482649394543	0.31609756097561	0.161148985838992	0.00603055471595661	5.12424310183131	33	0.074419
TNFSF11	9606.ENSP00000381775	22	0.0188849868960155	0.330612244897959	0.167880970331288	0.00532043011428311	5.00489152348363	34	0.076744
SLC26A4	9606.ENSP00000494017	26	0.0204931549988762	0.274576271186441	0.0415921750721123	0.00744570041976556	4.89982287150935	35	0.07907
CMA1	9606.ENSP00000250378	22	0.00369071528884348	0.324974924774323	0.298767525984396	0.00410808202677616	4.68378499024156	36	0.081395
CSF3	9606.ENSP00000225474	22	0.00542331447768454	0.317647058823529	0.257866468392108	0.00460999390015292	4.58844344169932	37	0.083721
CASR	9606.ENSP00000420194	20	0.0146807439420667	0.341052631578947	0.178254339157228	0.00452886817300454	4.3337402016445	38	0.086047
AQP2	9606.ENSP00000199280	18	0.0202386434232169	0.332307692307692	0.123714851442161	0.00524003930355115	4.26742131607707	39	0.088372
TFF3	9606.ENSP00000430690	24	0.00763700716246246	0.286979627989371	0.190386457521112	0.00470501869129465	4.11319313047366	40	0.090698
TFF2	9606.ENSP00000291526	26	0.00159830436448949	0.280519480519481	0.19427914419867	0.00471345396589098	3.89721921366574	41	0.093023
PAX7	9606.ENSP00000364524	16	0.0299811509437726	0.326283987915408	0.078000017256915	0.00442014101816563	3.8581288634466	42	0.095349
SLPI	9606.ENSP00000342082	22	0.00284974693311843	0.288	0.237708294664925	0.0041133735718063	3.80845756330759	43	0.097674
WFDC12	9606.ENSP00000361871	4	1.08418713069876e-05	1	6.26983994638207e-18	0.00408754924929098	3.80720809612929	44	0.1
SFTPA1	9606.ENSP00000397082	24	0.00132349995991163	0.285211267605634	0.206558583575352	0.00421083090893376	3.60922670670662	45	0.102326
AQP5	9606.ENSP00000293599	22	0.0051734378414003	0.3008356545961	0.182512244895923	0.00431209668901859	3.58582034996458	46	0.104651
NOS1	9606.ENSP00000477999	18	0.0129333639935266	0.338912133891213	0.146699286076644	0.00413916185477773	3.52702063848065	47	0.106977
NR1I2	9606.ENSP00000336528	20	0.00860997251340797	0.321747765640516	0.129398499324106	0.004825871079247	3.47335822375707	48	0.109302
C4BPA	9606.ENSP00000356037	18	0.00134746280205321	0.320474777448071	0.260545230570409	0.00343013387851846	3.44012467354896	49	0.111628
POU4F1	9606.ENSP00000366413	14	0.0228267041244342	0.330275229357798	0.127827975598625	0.00330244280535587	3.18927776865654	50	0.113953
PRSS2	9606.ENSP00000488437	20	0.00105781005788318	0.291629162916292	0.205035907314447	0.00380941840991841	3.06219013032343	51	0.116279
PLA2G10	9606.ENSP00000393847	18	0.00501487631329357	0.326283987915408	0.17334183222638	0.00378578782637147	3.02286018033134	52	0.118605
ODC1	9606.ENSP00000234111	2	0	1	1.06497431395766e-18	0.00280072818933041	3.0164523008447	53	0.12093
PEBP4	9606.ENSP00000256404	2	0	1	0	0.00280072818933041	3.0164523008447	54	0.123256
SLC30A2	9606.ENSP00000363394	2	0	1	1.22609736529988e-18	0.00280072818933041	3.0164523008447	55	0.125581
INSL6	9606.ENSP00000371054	2	0	1	2.59846897097214e-18	0.00280072818933041	3.0164523008447	56	0.127907
TSPAN11	9606.ENSP00000261177	2	0	1	1.77341968788053e-19	0.00280072818933041	3.0164523008447	57	0.130233
RERGL	9606.ENSP00000229002	2	0	1	5.07753744297363e-18	0.00280072818933041	3.0164523008447	58	0.132558
RS1	9606.ENSP00000369320	2	0	1	1.63700358888066e-18	0.00280072818933041	3.0164523008447	59	0.134884
TEKT4	9606.ENSP00000295201	2	0	1	3.04604656519512e-18	0.00280072818933041	3.0164523008447	60	0.137209
C16orf89	9606.ENSP00000324672	2	0	1	1.71490875982014e-18	0.00280072818932827	3.01645230084368	61	0.139535
SLC39A5	9606.ENSP00000266980	2	0	1	0	0.00280072818932827	3.01645230084368	62	0.14186
ZBTB8B	9606.ENSP00000476499	2	0	1	2.54470021054051e-18	0.00280072818932827	3.01645230084368	63	0.144186
PIK3C2G	9606.ENSP00000445381	2	0	1	4.19565716083415e-18	0.00280072818932827	3.01645230084368	64	0.146512
SLC7A2	9606.ENSP00000004531	2	0	1	4.77263190682533e-18	0.00280072818932827	3.01645230084368	65	0.148837
C9orf135	9606.ENSP00000366402	2	0	1	2.89940630168076e-18	0.00280072818932827	3.01645230084368	66	0.151163
CNGA3	9606.ENSP00000272602	2	0	1	4.34285358330827e-18	0.00280072818932827	3.01645230084368	67	0.153488
INSL4	9606.ENSP00000239316	2	0	1	4.11365024281757e-18	0.00280072818932827	3.01645230084368	68	0.155814
SCGB3A2	9606.ENSP00000296694	22	0.000684390446189814	0.277873070325901	0.18635950460285	0.00391842165991698	3.00418078697156	69	0.15814
DMBT1	9606.ENSP00000357905	18	0.00196325016017636	0.323676323676324	0.218922983885038	0.00324466762147121	2.99990902890377	70	0.160465
BPIFA1	9606.ENSP00000346251	18	0.0119796840112535	0.273648648648649	0.142778261118216	0.00392333433449893	2.93920963366755	71	0.162791
MAGEA3	9606.ENSP00000473093	16	0.0201845732261114	0.314868804664723	0.0883229340580288	0.00372474191466895	2.91271081403043	72	0.165116
TFF1	9606.ENSP00000291527	20	0.00716352080106965	0.275276125743415	0.132523575542748	0.00426458628221668	2.8694584085507	73	0.167442
KIF2C	9606.ENSP00000361298	18	0.0197525125052812	0.272727272727273	0.0202564687401834	0.00506795958478443	2.77904984851012	74	0.169767
CPB1	9606.ENSP00000417222	14	0.014685558927823	0.313649564375605	0.143962275579834	0.00325209958980903	2.68617889769325	75	0.172093
REG4	9606.ENSP00000346158	20	0.00500245604591519	0.285966460723742	0.131565233126224	0.00394748234423443	2.62898294398401	76	0.174419
PRAME	9606.ENSP00000445675	20	0.0125651537567838	0.267768595041322	0.0253678595376156	0.00528159082721514	2.60469658533462	77	0.176744
SFTPB	9606.ENSP00000499683	20	0.000995645210819756	0.281494352736751	0.166059706239406	0.00357878907307003	2.50337150125769	78	0.17907
SERPINA6	9606.ENSP00000342850	14	1.72801814388682e-05	0.313649564375605	0.253775629354666	0.00261314161317941	2.49585064490737	79	0.181395
L1CAM	9606.ENSP00000359077	14	0.0142709932638767	0.322388059701493	0.0948264595835529	0.00360462894030423	2.39018884120722	80	0.183721
FGL1	9606.ENSP00000381133	14	0.00701182538391841	0.310642377756472	0.150035832861253	0.00355131092691276	2.35997285247731	81	0.186047
MMP13	9606.ENSP00000260302	14	0.00816244428750745	0.320792079207921	0.142103324786315	0.00329036750823545	2.29405891447906	82	0.188372
MYO1A	9606.ENSP00000393392	12	0.0248106422141094	0.291105121293801	0.0305872317315901	0.00381325119113937	2.18883941154894	83	0.190698
LHX1	9606.ENSP00000477829	18	0.0111358432027718	0.267326732673267	0.0145442482489434	0.00520764514451314	2.18386028601739	84	0.193023
ERBB4	9606.ENSP00000342235	18	0.0117763910752084	0.289027653880464	0.0410127536600388	0.00423104649051099	2.15386441349583	85	0.195349
DUOX1	9606.ENSP00000317997	14	0.00675811621020475	0.328600405679513	0.115227834508076	0.00337105837194197	2.01857929644927	86	0.197674
ZBTB16	9606.ENSP00000338157	14	0.0170365926135332	0.282722513089005	0.0296281401820941	0.00423202237034987	1.99232786940883	87	0.2
DUOX2	9606.ENSP00000373691	14	0.00717611828760299	0.325301204819277	0.106647749075985	0.00343029524037347	1.97005873806237	88	0.202326
MYBL2	9606.ENSP00000217026	16	0.0163721377877657	0.274111675126904	0.01883081613237	0.00420822515022761	1.96036904775604	89	0.204651
MSLN	9606.ENSP00000372313	12	0.0096427670291138	0.326612903225806	0.136966825828819	0.00275179535367042	1.93992557474511	90	0.206977
PGC	9606.ENSP00000362116	18	0.00195537662515383	0.28125	0.119108734899291	0.00344995583434535	1.8588094036194	91	0.209302
TRIP13	9606.ENSP00000166345	16	0.0173065850463157	0.233766233766234	0.00381570189253343	0.00466888557813835	1.8548090098882	92	0.211628
