pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	9.7347523108973e-43	4.86737615544865e-41	1.7026781142338	0.824277193427973	2.70743840513718	199
HALLMARK_G2M_CHECKPOINT	7.1811824065837e-39	1.79529560164593e-37	1.62169955075295	0.808189660593852	2.65251451940528	198
HALLMARK_MITOTIC_SPINDLE	1.49632384509159e-11	2.49387307515265e-10	0.863415391606693	0.622527119373264	2.04280072992365	197
HALLMARK_MYC_TARGETS_V1	2.99363171210365e-10	3.74203964012957e-09	0.814035837847908	0.596150673238948	1.95812918377991	199
HALLMARK_SPERMATOGENESIS	4.32825572723329e-09	4.32825572723329e-08	0.761460801445585	0.678177156307343	2.06668421061527	104
HALLMARK_FATTY_ACID_METABOLISM	1.19883720488655e-07	9.99031004072121e-07	0.690132458796796	-0.59248653703045	-2.0706293143975	146
HALLMARK_P53_PATHWAY	1.83203409088575e-07	1.30859577920411e-06	0.690132458796796	-0.53373569586792	-1.93303159105628	199
HALLMARK_MTORC1_SIGNALING	7.27419681279788e-07	4.54637300799867e-06	0.659444398037935	0.537822175803026	1.76654216022634	199
HALLMARK_ADIPOGENESIS	1.45555436055844e-06	8.08641311421354e-06	0.643551836150722	-0.507666520059056	-1.82365686188101	195
HALLMARK_COAGULATION	5.14487862464616e-06	2.57243931232308e-05	0.610526878385931	-0.560055023151397	-1.91090361260376	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.69259598920193e-05	0.000167845272236451	0.557332238758646	-0.47215663149513	-1.71001057578256	199
HALLMARK_XENOBIOTIC_METABOLISM	6.82946265303185e-05	0.000284560943876327	0.538434096309916	-0.475278138862497	-1.69392514470085	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000307367568568698	0.00118218295603345	0.49849310876659	-0.44520354583939	-1.61167055328891	197
HALLMARK_BILE_ACID_METABOLISM	0.000337717812243131	0.00120613504372547	0.49849310876659	-0.537712367137959	-1.76787601057526	102
HALLMARK_MYC_TARGETS_V2	0.00153556143238307	0.00511853810794355	0.45505986738723	0.610686575117468	1.7129891895603	57
HALLMARK_IL2_STAT5_SIGNALING	0.00245316910691591	0.00766615345911221	0.431707695803346	-0.416908107835862	-1.50313214512715	196
HALLMARK_ANGIOGENESIS	0.00284422725205954	0.00836537427076334	0.431707695803346	-0.637814991379032	-1.76843771299496	34
HALLMARK_PEROXISOME	0.00351938175326273	0.00977606042572982	0.431707695803346	-0.467967438628567	-1.53681306056377	103
HALLMARK_DNA_REPAIR	0.00516231217799959	0.0135850320473674	0.407017918923954	0.468267014896155	1.48732306740702	148
HALLMARK_HEME_METABOLISM	0.00929429998160974	0.0232357499540243	0.380730400722792	-0.38315738295255	-1.36527470107651	183
HALLMARK_GLYCOLYSIS	0.0182520780885294	0.0434573287822127	0.352487857583619	0.409706181737947	1.34809022916119	195
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0199175292323689	0.0452671118917475	0.352487857583619	-0.372608845231926	-1.34341434551165	196
HALLMARK_PANCREAS_BETA_CELLS	0.0284091206726407	0.0617589579840016	0.352487857583619	-0.598988699495083	-1.5695840334763	26
HALLMARK_UV_RESPONSE_DN	0.0312574430266919	0.0651196729722748	0.321775918075361	-0.38120529938586	-1.32392108493774	143
HALLMARK_MYOGENESIS	0.0349844038362797	0.0699688076725594	0.321775918075361	-0.361404431154127	-1.28830561298228	182
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0551640213308552	0.106084656405491	0.321775918075361	-0.336718177415906	-1.22243055630133	200
HALLMARK_KRAS_SIGNALING_UP	0.0757606601649923	0.14029751882406	0.287805130535564	-0.344417391502995	-1.24177209024876	196
HALLMARK_UV_RESPONSE_UP	0.0949105914718019	0.169483199056789	0.16823816568964	0.382420641730115	1.22142375362237	155
HALLMARK_HYPOXIA	0.1328125	0.226724553786782	0.245041785430996	-0.316997918156085	-1.13734225633145	193
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.136034732272069	0.226724553786782	0.142056643575821	0.392959689609833	1.20408381072607	112
HALLMARK_ALLOGRAFT_REJECTION	0.164218958611482	0.264869288083035	0.122107920287081	0.34740323952874	1.14189705221797	194
HALLMARK_NOTCH_SIGNALING	0.216358839050132	0.338060686015831	0.153158808683073	-0.418177338636133	-1.14615781085367	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.283823529411765	0.430035650623886	0.0934449219410994	0.360999285324619	1.09877957380846	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.310850439882698	0.457132999827497	0.0880945010398517	0.35736897581661	1.08437265021687	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.376996805111821	0.523606673766418	0.125033367555272	-0.328071955864522	-1.04498415281801	85
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.373315363881402	0.523606673766418	0.0738052724171275	0.314033993161155	1.0306735746096	198
