pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	3.04377731810446e-43	1.52188865905223e-41	1.71479697260989	0.824277193427973	2.70661972508987	199
HALLMARK_G2M_CHECKPOINT	2.14710964076069e-38	5.36777410190172e-37	1.61530228892975	0.808189660593852	2.65236276254745	198
HALLMARK_MITOTIC_SPINDLE	6.76173783352703e-12	1.12695630558784e-10	0.887074988399873	0.622527119373264	2.0404275952314	197
HALLMARK_MYC_TARGETS_V1	4.56635227701315e-10	5.70794034626643e-09	0.814035837847908	0.596150673238948	1.95753708118959	199
HALLMARK_SPERMATOGENESIS	8.88068718578103e-09	8.88068718578103e-08	0.747739663149885	0.678177156307343	2.07064155789186	104
HALLMARK_FATTY_ACID_METABOLISM	2.72839299849675e-08	2.27366083208062e-07	0.73376198835648	-0.59248653703045	-2.07527542695042	146
HALLMARK_P53_PATHWAY	5.18790740360072e-08	3.70564814542909e-07	0.719512826338911	-0.53373569586792	-1.8991995296405	199
HALLMARK_MTORC1_SIGNALING	1.35648830896606e-06	8.4780519310379e-06	0.643551836150722	0.537822175803026	1.76600799006144	199
HALLMARK_ADIPOGENESIS	2.94325642015605e-06	1.63514245564225e-05	0.627256739718528	-0.507666520059056	-1.80043433604446	195
HALLMARK_COAGULATION	8.63783409965546e-06	4.31891704982773e-05	0.593325476396405	-0.560055023151397	-1.91684865724247	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.0497625159404e-05	9.31710234518365e-05	0.575610261071129	-0.47215663149513	-1.6800818446179	199
HALLMARK_XENOBIOTIC_METABOLISM	4.38724451167855e-05	0.000182801854653273	0.557332238758646	-0.475278138862497	-1.66908881395831	185
HALLMARK_BILE_ACID_METABOLISM	0.000108405864244517	0.000416945631709682	0.538434096309916	-0.537712367137959	-1.78729895628424	102
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000117355368018086	0.000419126314350306	0.538434096309916	-0.44520354583939	-1.58203623392327	197
HALLMARK_IL2_STAT5_SIGNALING	0.00093535089928576	0.00311702867701705	0.477270815362862	-0.416908107835862	-1.48281157207977	196
HALLMARK_MYC_TARGETS_V2	0.000997449176645456	0.00311702867701705	0.45505986738723	0.610686575117468	1.71153800226193	57
HALLMARK_DNA_REPAIR	0.00253771391279881	0.00746386444940827	0.431707695803346	0.468267014896155	1.49251505766866	148
HALLMARK_ANGIOGENESIS	0.00283674244350148	0.00787984012083745	0.431707695803346	-0.637814991379032	-1.74693938868943	34
HALLMARK_PEROXISOME	0.00537441887310606	0.0141432075608054	0.407017918923954	-0.467967438628567	-1.56176527622022	103
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00953001697544347	0.0238250424386087	0.380730400722792	-0.372608845231926	-1.32525296866307	196
HALLMARK_HEME_METABOLISM	0.0116418731322306	0.02771874555293	0.380730400722792	-0.38315738295255	-1.3444793545771	183
HALLMARK_GLYCOLYSIS	0.0198239117281817	0.0450543448367767	0.352487857583619	0.409706181737947	1.34143782947211	195
HALLMARK_MYOGENESIS	0.0233004107283516	0.0506530668007643	0.352487857583619	-0.361404431154127	-1.26932123629152	182
HALLMARK_PANCREAS_BETA_CELLS	0.0270175899190345	0.0562866456646552	0.352487857583619	-0.598988699495083	-1.54085667279424	26
HALLMARK_UV_RESPONSE_DN	0.0290749183336507	0.0581498366673015	0.352487857583619	-0.38120529938586	-1.33110710956889	143
HALLMARK_KRAS_SIGNALING_UP	0.0422532548855973	0.0812562593953795	0.321775918075361	-0.344417391502995	-1.22498479676302	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0748589665940269	0.138627715914865	0.287805130535564	-0.336718177415906	-1.19843612255225	200
HALLMARK_UV_RESPONSE_UP	0.0809018567639257	0.144467601364153	0.179782316298324	0.382420641730115	1.23366118028132	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.123769338959212	0.213395411998642	0.147331213699377	0.392959689609833	1.210623916251	112
HALLMARK_ALLOGRAFT_REJECTION	0.179921773142112	0.29986962190352	0.114266502484433	0.34740323952874	1.13652863576733	194
HALLMARK_HYPOXIA	0.1875	0.30241935483871	0.211400189384923	-0.316997918156085	-1.12098488619031	193
HALLMARK_NOTCH_SIGNALING	0.266149870801034	0.415859173126615	0.135002033828631	-0.418177338636133	-1.12221612470192	32
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.288793103448276	0.424695740365112	0.0911073131586733	0.35736897581661	1.08444196092618	97
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.280626780626781	0.424695740365112	0.0922597260527354	0.360999285324619	1.10137136360902	103
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.34384858044164	0.491212257773772	0.130777137971974	-0.328071955864522	-1.04914662116608	85
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.358208955223881	0.497512437810945	0.12384217120105	-0.326831389081015	-1.02488769971154	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.384114583333333	0.519073761261261	0.070619624712259	0.314033993161155	1.03061460724788	198
HALLMARK_KRAS_SIGNALING_DN	0.402925531914894	0.525733259546209	0.0692836467392548	0.317588317538461	1.02607835305962	166
HALLMARK_PROTEIN_SECRETION	0.410071942446043	0.525733259546209	0.0723570851036907	0.339809132911956	1.03123570843008	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.473087818696884	0.591359773371105	0.102080107662747	-0.336305861927332	-0.976914921898172	48
HALLMARK_APICAL_SURFACE	0.533333333333333	0.625838987047854	0.0630790410571939	0.353328413946304	0.952539017882346	43
HALLMARK_COMPLEMENT	0.516949152542373	0.625838987047854	0.122679189568808	-0.273886733369288	-0.971336614610233	195
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.538221528861154	0.625838987047854	0.0629394692018967	0.352610678148088	0.943507557165531	41
HALLMARK_HEDGEHOG_SIGNALING	0.631410256410256	0.717511655011655	0.0566484183613995	0.342671249053483	0.893386585392794	35
HALLMARK_INFLAMMATORY_RESPONSE	0.654008438818565	0.726676043131739	0.106729884364606	-0.264442182646561	-0.939698523595184	197
HALLMARK_ANDROGEN_RESPONSE	0.696666666666667	0.756316489361702	0.0888945288620449	-0.275748022838639	-0.910601980766938	98
HALLMARK_APOPTOSIS	0.7109375	0.756316489361702	0.096887770327544	-0.262742643912271	-0.916574782852201	160
HALLMARK_APICAL_JUNCTION	0.94750656167979	0.986986001749781	0.0283628487151644	0.242602768877298	0.792423647057383	191
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0.0815265143256594	-0.207892483478512	-0.739924003271157	200
HALLMARK_TGF_BETA_SIGNALING	0.991549295774648	1	0.0619762736001998	-0.223449032242178	-0.665998938090079	54
