pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	5.08309730217961e-43	2.54154865108981e-41	1.70874828719195	0.824277193427973	2.70891370168645	199
HALLMARK_G2M_CHECKPOINT	2.9319945567191e-39	7.32998639179776e-38	1.63441895776255	0.808189660593852	2.6525509355032	198
HALLMARK_MITOTIC_SPINDLE	4.83443249141323e-12	8.05738748568872e-11	0.887074988399873	0.622527119373264	2.04094838233217	197
HALLMARK_MYC_TARGETS_V1	6.39648085889698e-10	7.99560107362122e-09	0.801215574617779	0.596150673238948	1.95919617803632	199
HALLMARK_SPERMATOGENESIS	4.20160908813756e-09	4.20160908813756e-08	0.761460801445585	0.678177156307343	2.08191723276338	104
HALLMARK_FATTY_ACID_METABOLISM	1.10005180699272e-07	9.16709839160597e-07	0.704975715167238	-0.59248653703045	-2.07139593357039	146
HALLMARK_P53_PATHWAY	2.11926869792081e-07	1.51376335565772e-06	0.690132458796796	-0.53373569586792	-1.93649446635007	199
HALLMARK_ADIPOGENESIS	1.94294872475861e-06	1.15567148277556e-05	0.627256739718528	-0.507666520059056	-1.82530321908083	195
HALLMARK_MTORC1_SIGNALING	2.080208668996e-06	1.15567148277556e-05	0.627256739718528	0.537822175803026	1.76750475776805	199
HALLMARK_COAGULATION	1.15379299616228e-05	5.7689649808114e-05	0.593325476396405	-0.560055023151397	-1.9206790702831	127
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.06454523339909e-05	0.00023020660151814	0.557332238758646	-0.47215663149513	-1.71307392632602	199
HALLMARK_XENOBIOTIC_METABOLISM	0.000127104829094044	0.000529603454558518	0.518848077743792	-0.475278138862497	-1.7111491145645	185
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000239848787627191	0.000922495337027659	0.518848077743792	-0.44520354583939	-1.60858101830074	197
HALLMARK_BILE_ACID_METABOLISM	0.00026213433698169	0.000936194060648892	0.49849310876659	-0.537712367137959	-1.7793568366951	102
HALLMARK_MYC_TARGETS_V2	0.00074799579451793	0.00249331931505977	0.477270815362862	0.610686575117468	1.70373856196896	57
HALLMARK_IL2_STAT5_SIGNALING	0.00196210937858508	0.00613159180807839	0.431707695803346	-0.416908107835862	-1.5030841719931	196
HALLMARK_DNA_REPAIR	0.0030103893652141	0.00885408636827677	0.431707695803346	0.468267014896155	1.50344350964527	148
HALLMARK_ANGIOGENESIS	0.00426541180405243	0.0118483661223679	0.407017918923954	-0.637814991379032	-1.75635162876115	34
HALLMARK_PEROXISOME	0.00849488683039935	0.0223549653431562	0.380730400722792	-0.467967438628567	-1.54970464858339	103
HALLMARK_GLYCOLYSIS	0.0128206584651944	0.032051646162986	0.380730400722792	0.409706181737947	1.3430651628918	195
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0135374543430592	0.0322320341501409	0.380730400722792	-0.372608845231926	-1.34337146984254	196
HALLMARK_HEME_METABOLISM	0.0188246432394952	0.0427832800897619	0.352487857583619	-0.38315738295255	-1.37910136401128	183
HALLMARK_MYOGENESIS	0.0305498539698383	0.0664127260213875	0.352487857583619	-0.361404431154127	-1.30064962410269	182
HALLMARK_UV_RESPONSE_DN	0.03903995826044	0.0813332463759166	0.321775918075361	-0.38120529938586	-1.32269757991439	143
HALLMARK_PANCREAS_BETA_CELLS	0.0462921874948088	0.0925843749896177	0.321775918075361	-0.598988699495083	-1.53256817270593	26
HALLMARK_KRAS_SIGNALING_UP	0.0512858063114841	0.098626550599008	0.321775918075361	-0.344417391502995	-1.24173245853764	196
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.073464882584235	0.136046078859694	0.287805130535564	-0.336718177415906	-1.22231270292866	200
HALLMARK_UV_RESPONSE_UP	0.0882758620689655	0.157635467980296	0.175204047558551	0.382420641730115	1.23240295578208	155
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.132956152758133	0.229234746134712	0.142056643575821	0.392959689609833	1.22259901184708	112
HALLMARK_HYPOXIA	0.15	0.25	0.227987202850442	-0.316997918156085	-1.14153156380916	193
HALLMARK_ALLOGRAFT_REJECTION	0.179245283018868	0.289105295191722	0.116739204791222	0.34740323952874	1.13897600091676	194
HALLMARK_NOTCH_SIGNALING	0.259946949602122	0.39385901454867	0.13880510939114	-0.418177338636133	-1.12872616801755	32
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.257510729613734	0.39385901454867	0.09754492162472	0.360999285324619	1.10828131087743	103
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.295058139534884	0.43390902872777	0.0905428948469474	0.35736897581661	1.08782896591526	97
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.324242424242424	0.463203463203463	0.132147260608774	-0.328071955864522	-1.06579199415979	85
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.402439024390244	0.519101455700879	0.117249716749792	-0.326831389081015	-1.02668098193196	73
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.394557823129252	0.519101455700879	0.0714786287425507	0.314033993161155	1.03068772462067	198
HALLMARK_KRAS_SIGNALING_DN	0.376712328767123	0.519101455700879	0.0741758965588009	0.317588317538461	1.02987332056599	166
HALLMARK_PROTEIN_SECRETION	0.404899135446686	0.519101455700879	0.0730744399126987	0.339809132911956	1.03476624111081	96
HALLMARK_COMPLEMENT	0.478927203065134	0.584057564713578	0.120985142145252	-0.273886733369288	-0.984753408643805	195
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.467647058823529	0.584057564713578	0.105125131597001	-0.336305861927332	-0.986976648784079	48
HALLMARK_APICAL_SURFACE	0.590138674884438	0.671487603305785	0.0579754757571486	0.353328413946304	0.934750362681852	43
HALLMARK_INFLAMMATORY_RESPONSE	0.582706766917293	0.671487603305785	0.106729884364606	-0.264442182646561	-0.955465605381171	197
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.590909090909091	0.671487603305785	0.0571258510018113	0.352610678148088	0.92761114572853	41
HALLMARK_APOPTOSIS	0.618881118881119	0.687645687645688	0.0985499803531691	-0.262742643912271	-0.936426922193119	160
HALLMARK_ANDROGEN_RESPONSE	0.638095238095238	0.693581780538302	0.0911073131586733	-0.275748022838639	-0.916393832905576	98
