Rank	Driver	DriverConfidence	ConfidenceTier	QualityScore	QualityTier	ReliabilityScore	NormalizedScore	Completed	DriverReport	DriverManifest
1	A2M	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/A2M/Driver_Report.json	results/evidence/A2M/Driver_Manifest.json
2	ACTB	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/ACTB/Driver_Report.json	results/evidence/ACTB/Driver_Manifest.json
3	ACTG1	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/ACTG1/Driver_Report.json	results/evidence/ACTG1/Driver_Manifest.json
4	ADAMTS12	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/ADAMTS12/Driver_Report.json	results/evidence/ADAMTS12/Driver_Manifest.json
5	AHNAK	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/AHNAK/Driver_Report.json	results/evidence/AHNAK/Driver_Manifest.json
6	AHNAK2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/AHNAK2/Driver_Report.json	results/evidence/AHNAK2/Driver_Manifest.json
7	B2M	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/B2M/Driver_Report.json	results/evidence/B2M/Driver_Manifest.json
8	COL11A1	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL11A1/Driver_Report.json	results/evidence/COL11A1/Driver_Manifest.json
9	COL1A1	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL1A1/Driver_Report.json	results/evidence/COL1A1/Driver_Manifest.json
10	COL1A2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL1A2/Driver_Report.json	results/evidence/COL1A2/Driver_Manifest.json
11	COL3A1	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL3A1/Driver_Report.json	results/evidence/COL3A1/Driver_Manifest.json
12	COL4A1	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL4A1/Driver_Report.json	results/evidence/COL4A1/Driver_Manifest.json
13	COL4A2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL4A2/Driver_Report.json	results/evidence/COL4A2/Driver_Manifest.json
14	COL5A2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL5A2/Driver_Report.json	results/evidence/COL5A2/Driver_Manifest.json
15	COL6A3	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/COL6A3/Driver_Report.json	results/evidence/COL6A3/Driver_Manifest.json
16	DST	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/DST/Driver_Report.json	results/evidence/DST/Driver_Manifest.json
