Driver	Source
PGC	results/evidence/TP53/transcriptomics/DEGs.tsv
EDA2R	results/evidence/TP53/transcriptomics/DEGs.tsv
GKN2	results/evidence/TP53/transcriptomics/DEGs.tsv
COL2A1	results/evidence/TP53/transcriptomics/DEGs.tsv
PLA2G10	results/evidence/TP53/transcriptomics/DEGs.tsv
DUOX2	results/evidence/TP53/transcriptomics/DEGs.tsv
FAIM2	results/evidence/TP53/transcriptomics/DEGs.tsv
TNFRSF10C	results/evidence/TP53/transcriptomics/DEGs.tsv
REG4	results/evidence/TP53/transcriptomics/DEGs.tsv
CDC7	results/evidence/TP53/transcriptomics/DEGs.tsv
HSD17B13	results/evidence/TP53/transcriptomics/DEGs.tsv
PCSK2	results/evidence/TP53/transcriptomics/DEGs.tsv
DUOXA2	results/evidence/TP53/transcriptomics/DEGs.tsv
SASS6	results/evidence/TP53/transcriptomics/DEGs.tsv
AUNIP	results/evidence/TP53/transcriptomics/DEGs.tsv
ASPG	results/evidence/TP53/transcriptomics/DEGs.tsv
C5orf34	results/evidence/TP53/transcriptomics/DEGs.tsv
GPSM2	results/evidence/TP53/transcriptomics/DEGs.tsv
CACNA2D2	results/evidence/TP53/transcriptomics/DEGs.tsv
RNF145	results/evidence/TP53/transcriptomics/DEGs.tsv
DELE1	results/evidence/TP53/transcriptomics/DEGs.tsv
NPAS3	results/evidence/TP53/transcriptomics/DEGs.tsv
RPS27L	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC46A2	results/evidence/TP53/transcriptomics/DEGs.tsv
SKP2	results/evidence/TP53/transcriptomics/DEGs.tsv
DSN1	results/evidence/TP53/transcriptomics/DEGs.tsv
DUOX1	results/evidence/TP53/transcriptomics/DEGs.tsv
MUC6	results/evidence/TP53/transcriptomics/DEGs.tsv
PTCHD4	results/evidence/TP53/transcriptomics/DEGs.tsv
RBFOX1	results/evidence/TP53/transcriptomics/DEGs.tsv
EME1	results/evidence/TP53/transcriptomics/DEGs.tsv
PAK3	results/evidence/TP53/transcriptomics/DEGs.tsv
RFTN1	results/evidence/TP53/transcriptomics/DEGs.tsv
XRCC2	results/evidence/TP53/transcriptomics/DEGs.tsv
CIT	results/evidence/TP53/transcriptomics/DEGs.tsv
RFC4	results/evidence/TP53/transcriptomics/DEGs.tsv
ODC1	results/evidence/TP53/transcriptomics/DEGs.tsv
NUP155	results/evidence/TP53/transcriptomics/DEGs.tsv
TRIP13	results/evidence/TP53/transcriptomics/DEGs.tsv
SELENBP1	results/evidence/TP53/transcriptomics/DEGs.tsv
SYBU	results/evidence/TP53/transcriptomics/DEGs.tsv
PDE4D	results/evidence/TP53/transcriptomics/DEGs.tsv
ALDOB	results/evidence/TP53/transcriptomics/DEGs.tsv
GPC2	results/evidence/TP53/transcriptomics/DEGs.tsv
KIF2C	results/evidence/TP53/transcriptomics/DEGs.tsv
PADI3	results/evidence/TP53/transcriptomics/DEGs.tsv
DUOXA1	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC16A11	results/evidence/TP53/transcriptomics/DEGs.tsv
FIGNL1	results/evidence/TP53/transcriptomics/DEGs.tsv
SPATA18	results/evidence/TP53/transcriptomics/DEGs.tsv
SCG3	results/evidence/TP53/transcriptomics/DEGs.tsv
CST3	results/evidence/TP53/transcriptomics/DEGs.tsv
LPL	results/evidence/TP53/transcriptomics/DEGs.tsv
POLR3H	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC26A9	results/evidence/TP53/transcriptomics/DEGs.tsv
PSRC1	results/evidence/TP53/transcriptomics/DEGs.tsv
CRHR2	results/evidence/TP53/transcriptomics/DEGs.tsv
VILL	results/evidence/TP53/transcriptomics/DEGs.tsv
TTK	results/evidence/TP53/transcriptomics/DEGs.tsv
BARD1	results/evidence/TP53/transcriptomics/DEGs.tsv
HSD17B4	results/evidence/TP53/transcriptomics/DEGs.tsv
CAPN6	results/evidence/TP53/transcriptomics/DEGs.tsv
SGO2	results/evidence/TP53/transcriptomics/DEGs.tsv
CDCA8	results/evidence/TP53/transcriptomics/DEGs.tsv
RHOBTB2	results/evidence/TP53/transcriptomics/DEGs.tsv
TTF2	results/evidence/TP53/transcriptomics/DEGs.tsv
STIL	results/evidence/TP53/transcriptomics/DEGs.tsv
AHCYL2	results/evidence/TP53/transcriptomics/DEGs.tsv
SFTPB	results/evidence/TP53/transcriptomics/DEGs.tsv
SFTA1P	results/evidence/TP53/transcriptomics/DEGs.tsv
KCNK17	results/evidence/TP53/transcriptomics/DEGs.tsv
AC093866.1	results/evidence/TP53/transcriptomics/DEGs.tsv
PNMA5	results/evidence/TP53/transcriptomics/DEGs.tsv
MTF2	results/evidence/TP53/transcriptomics/DEGs.tsv
RAD54L	results/evidence/TP53/transcriptomics/DEGs.tsv
DCLRE1B	results/evidence/TP53/transcriptomics/DEGs.tsv
CDCA5	results/evidence/TP53/transcriptomics/DEGs.tsv
CTSV	results/evidence/TP53/transcriptomics/DEGs.tsv
UPK2	results/evidence/TP53/transcriptomics/DEGs.tsv
BTG2	results/evidence/TP53/transcriptomics/DEGs.tsv
NLGN4X	results/evidence/TP53/transcriptomics/DEGs.tsv
CCDC18	results/evidence/TP53/transcriptomics/DEGs.tsv
NCAPG2	results/evidence/TP53/transcriptomics/DEGs.tsv
RBL1	results/evidence/TP53/transcriptomics/DEGs.tsv
DDIAS	results/evidence/TP53/transcriptomics/DEGs.tsv
CBR1	results/evidence/TP53/transcriptomics/DEGs.tsv
FSD1	results/evidence/TP53/transcriptomics/DEGs.tsv
STMN1	results/evidence/TP53/transcriptomics/DEGs.tsv
WIF1	results/evidence/TP53/transcriptomics/DEGs.tsv
GLTPD2	results/evidence/TP53/transcriptomics/DEGs.tsv
CIP2A	results/evidence/TP53/transcriptomics/DEGs.tsv
BORCS7	results/evidence/TP53/transcriptomics/DEGs.tsv
GINS4	results/evidence/TP53/transcriptomics/DEGs.tsv
GINS1	results/evidence/TP53/transcriptomics/DEGs.tsv
RMI2	results/evidence/TP53/transcriptomics/DEGs.tsv
WDHD1	results/evidence/TP53/transcriptomics/DEGs.tsv
ST6GALNAC4	results/evidence/TP53/transcriptomics/DEGs.tsv
IFRD1	results/evidence/TP53/transcriptomics/DEGs.tsv
HJURP	results/evidence/TP53/transcriptomics/DEGs.tsv
